player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Patrick Mainka,1. FC Heidenheim,CB,76,30,46,44,46,59,78,84,194,Right,2018-07-01,2029-06-01,7000000
"Marvin Pieringer,1. FC Heidenheim,""ST CAM"",75,25,65,74,56,71,79,83,191,Right,2023-07-03,2027-06-01,8000000"
Diant Ramaj,1. FC Heidenheim,GK,75,23,29,26,38,47,48,64,188,Right,2025-02-03,2026-06-30,8500000
"Eren Dinkçi,1. FC Heidenheim,""CAM RM CM"",74,23,85,71,68,74,62,59,188,Right,2024-07-01,2026-06-30,8000000"
"Niklas Dorsch,1. FC Heidenheim,""CM CDM"",74,27,71,70,71,77,71,68,178,Right,2024-08-30,2028-06-01,5500000"
"Omar Haktab Traoré,1. FC Heidenheim,""RB RM"",73,27,85,54,59,70,75,65,187,Right,2023-07-01,2026-06-01,3500000"
"Jan Schöppner,1. FC Heidenheim,""CDM CM"",73,26,65,52,58,63,82,77,190,Right,2020-08-05,2028-06-01,4000000"
"Mathias Honsak,1. FC Heidenheim,""LM LW ST"",73,28,87,66,67,70,70,71,188,Left,2024-07-01,2027-06-01,3600000"
Tim Siersleben,1. FC Heidenheim,CB,72,25,66,39,45,59,73,81,187,Left,2023-06-29,2028-06-01,3300000
"Jonas Föhrenbach,1. FC Heidenheim,""LB LM"",72,29,71,44,55,63,74,75,184,Left,2019-07-01,2027-06-01,2400000"
"Marnon Busch,1. FC Heidenheim,""RB CB RM"",72,30,85,51,65,68,75,74,182,Right,2017-07-01,2027-06-01,2400000"
"Leart Paçarada,1. FC Heidenheim,""LB LM"",72,30,69,49,74,70,72,66,184,Left,2025-08-28,2027-06-01,2400000"
"Julian Niehues,1. FC Heidenheim,""CDM CM"",71,24,56,54,56,59,76,84,195,Right,2024-07-01,2027-06-01,2700000"
"Adrian Beck,1. FC Heidenheim,""CAM CM RM"",71,28,63,69,66,69,77,74,185,Right,2022-07-01,2028-06-01,2200000"
"Leonidas Stergiou,1. FC Heidenheim,""RB CB RM"",71,23,78,43,53,69,76,77,180,Right,2024-05-15,2026-06-30,4200000"
Budu Zivzivadze,1. FC Heidenheim,ST,71,31,64,68,55,65,72,78,189,Right,2025-01-03,2029-06-01,1900000
"Benedikt Gimber,1. FC Heidenheim,""CB CDM"",71,28,60,43,51,61,77,78,187,Left,2023-07-01,2028-06-01,2200000"
"Arijon Ibrahimović,1. FC Heidenheim,""LM RM LW"",70,19,72,66,67,70,55,47,176,Right,2022-01-07,2026-06-30,4100000"
Frank Feller,1. FC Heidenheim,GK,69,21,31,15,23,33,34,41,183,Right,2023-07-01,2029-06-01,3200000
"Luca Kerber,1. FC Heidenheim,""CDM CM"",69,23,65,56,61,70,73,69,180,Right,2024-07-01,2027-06-01,3100000"
"Sirlord Conteh,1. FC Heidenheim,""ST RM RW"",69,28,95,62,51,72,67,60,178,Right,2024-07-01,2027-06-01,1700000"
Stefan Schimmer,1. FC Heidenheim,ST,69,31,63,69,47,65,72,77,185,Right,2019-08-06,2026-06-01,1400000
"Christian Conteh,1. FC Heidenheim,""RM ST CAM RW"",68,25,93,55,49,74,60,52,182,Right,2026-01-12,2029-06-01,1700000"
"Mikkel Kaufmann,1. FC Heidenheim,""ST LM"",68,24,80,66,50,64,71,75,190,Right,2024-07-01,2028-06-01,2200000"
Hennes Behrens,1. FC Heidenheim,LB,66,20,65,35,47,62,57,50,175,Left,2025-01-23,2026-06-30,1400000
Adam Kölle,1. FC Heidenheim,CB,63,19,58,40,37,46,68,77,195,Right,2025-07-01,2029-06-01,1100000
"Yannik Wagner,1. FC Heidenheim,""LM ST LW"",60,18,69,59,52,60,49,55,182,Left,2025-07-30,2029-06-01,725000"
Paul Tschernuth,1. FC Heidenheim,GK,59,23,18,16,17,27,32,41,186,Right,2021-07-01,2027-06-01,500000
"Tobias Weigel,1. FC Heidenheim,""RM RW"",59,18,66,51,54,62,47,49,175,Right,2025-09-27,2026-06-01,625000"
"Nick Rothweiler,1. FC Heidenheim,""CM CDM"",59,19,66,51,55,54,66,72,190,Right,2025-07-01,2027-06-01,625000"
