player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Marvin Schwäbe,1. FC Köln,GK,78,30,46,24,36,48,51,70,190,Right,2021-07-01,2027-06-01,12500000
"Eric Martel,1. FC Köln,""CDM CB CM"",76,23,62,48,58,71,81,81,188,Right,2022-07-01,2026-06-01,12000000"
"Jakub Kamiński,1. FC Köln,""LM LW CAM"",76,23,85,63,66,75,62,54,179,Right,2022-07-01,2026-06-30,13500000"
"Marius Bülter,1. FC Köln,""ST LM LW CAM"",76,32,80,75,65,72,77,77,188,Right,2025-07-31,2027-06-01,7000000"
"Alessio Castro-Montes,1. FC Köln,""RM LM RB RW"",76,28,74,69,74,74,73,66,175,Right,2025-09-01,2028-06-01,9000000"
"Said El Mala,1. FC Köln,""LM CAM ST LW"",75,18,82,69,62,79,62,68,187,Right,2024-07-01,2030-06-01,14000000"
"Tom Krauß,1. FC Köln,""CDM CM"",74,24,72,67,60,70,79,75,183,Right,2023-07-14,2026-06-30,6000000"
"Ísak Bergmann Jóhannesson,1. FC Köln,""CM CAM"",74,22,72,65,73,74,72,63,180,Left,2025-06-01,2029-06-01,10000000"
Ragnar Ache,1. FC Köln,ST,75,26,80,69,48,69,78,88,183,Right,2025-06-01,2029-06-01,6000000
Ron-Robert Zieler,1. FC Köln,GK,74,36,48,21,21,42,45,55,187,Right,2025-07-07,2027-06-01,130000
"Sebastian Sebulonsen,1. FC Köln,""RB RM CB"",73,25,89,64,62,69,78,73,187,Right,2025-07-18,2028-06-01,4400000"
"Linton Maina,1. FC Köln,""LM ST CAM LW"",73,26,91,59,64,75,60,48,173,Right,2022-07-01,2028-06-01,4200000"
Timo Hübers,1. FC Köln,CB,73,28,72,41,51,62,78,78,190,Right,2021-07-01,2026-06-01,3400000
"Luca Waldschmidt,1. FC Köln,""CAM ST CM"",73,29,68,78,68,74,60,61,181,Left,2024-07-01,2027-06-01,3500000"
"Florian Kainz,1. FC Köln,""CAM CM LM"",73,32,60,73,75,76,62,54,176,Right,2019-01-18,2026-06-01,2900000"
"Denis Huseinbašić,1. FC Köln,""CM CDM CAM"",72,23,67,57,58,72,71,67,184,Right,2022-07-01,2027-06-01,4200000"
Joël Schmied,1. FC Köln,CB,72,26,71,32,37,52,72,79,188,Right,2025-01-13,2029-06-01,3000000
"Jan Thielmann,1. FC Köln,""RM RW RB"",72,23,81,66,63,72,71,58,178,Right,2019-07-01,2028-06-01,4200000"
Dominique Heintz,1. FC Köln,CB,72,31,52,40,56,58,71,83,188,Left,2023-08-31,2026-06-01,1900000
"Kristoffer Lund,1. FC Köln,""LB LM"",71,23,87,55,64,68,71,63,185,Left,2023-08-21,2026-06-30,4200000"
"Rav van den Berg,1. FC Köln,""CB RB CDM"",70,20,66,37,44,61,71,76,190,Right,2025-08-13,2030-06-01,3900000"
Cenk Özkacar,1. FC Köln,CB,70,24,57,39,49,61,70,78,190,Left,2023-07-01,2026-06-30,2600000
Luca Kilian,1. FC Köln,CB,68,25,50,37,49,53,63,79,192,Right,2022-05-17,2026-06-01,1500000
Jahmai Simpson-Pusey,1. FC Köln,CB,68,19,67,31,46,61,69,73,187,Right,2023-07-01,2026-06-30,2900000
"Sargis Adamyan,1. FC Köln,""ST CAM LM CM"",66,32,69,65,60,69,67,67,184,Right,2022-07-05,2026-06-01,825000"
"Fynn Schenten,1. FC Köln,""ST LW"",65,17,66,61,46,57,55,65,189,Right,2025-12-20,2030-06-01,1200000"
"Cenny Neumann,1. FC Köln,""RB RM"",61,18,68,43,49,60,54,52,178,Right,2025-12-13,2027-06-01,950000"
"Youssoupha Niang,1. FC Köln,""RW ST RM"",60,19,69,58,51,60,50,53,185,Right,2026-01-10,2027-06-01,750000"
"Felipe Chávez,1. FC Köln,""CM CAM CDM"",60,18,62,49,56,60,54,49,177,Left,2025-12-21,2026-06-30,725000"
"Fayssal Harchaoui,1. FC Köln,""CDM CM"",60,19,63,37,48,63,53,48,175,Right,2024-08-01,2028-06-01,725000"
"Malek El Mala,1. FC Köln,""ST LM"",59,20,59,55,43,60,59,63,193,Right,2024-07-01,2030-06-01,650000"
"Emin Kujović,1. FC Köln,""CM CDM"",58,20,57,50,59,54,61,72,190,Right,2025-01-25,2028-06-01,575000"
Matthias Köbbing,1. FC Köln,GK,56,28,33,14,22,28,43,60,196,Right,2021-07-01,2027-06-01,160000
