player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Danilho Doekhi,1. FC Union Berlin,CB,80,27,63,43,52,68,84,89,190,Right,2022-07-01,2026-06-01,25000000
Frederik Rønnow,1. FC Union Berlin,GK,80,32,47,19,23,34,46,67,188,Right,2021-07-20,2029-06-01,12500000
Diogo Leite,1. FC Union Berlin,CB,77,26,63,38,44,65,78,78,190,Left,2023-06-01,2026-06-01,14500000
Leopold Querfeld,1. FC Union Berlin,CB,76,21,45,48,52,60,76,85,190,Right,2024-07-01,2029-06-01,18500000
"Rani Khedira,1. FC Union Berlin,""CDM CM"",76,31,57,46,52,64,82,83,189,Right,2021-07-01,2026-06-01,6000000"
"Derrick Köhn,1. FC Union Berlin,""LB LM"",75,26,87,64,71,74,72,72,180,Left,2025-08-19,2029-06-01,7000000"
"Christopher Trimmel,1. FC Union Berlin,""RB RM"",75,38,66,64,74,65,78,82,189,Right,2014-07-01,2026-06-01,1500000"
Andrej Ilić,1. FC Union Berlin,ST,74,25,71,68,51,65,80,84,189,Right,2025-07-01,2027-06-01,6500000
"Tom Rothe,1. FC Union Berlin,""LB LM CB"",74,20,61,49,66,65,76,79,192,Left,2024-08-07,2030-06-01,9500000"
"Josip Juranović,1. FC Union Berlin,""RB RM"",74,29,80,68,76,76,69,61,173,Right,2023-01-22,2027-06-01,4400000"
"András Schäfer,1. FC Union Berlin,""CM CAM CDM"",74,26,72,60,63,77,71,63,178,Right,2022-01-21,2027-06-01,6500000"
"Janik Haberer,1. FC Union Berlin,""CM CDM"",74,31,61,67,68,71,70,67,186,Right,2022-07-01,2027-06-01,4100000"
"Ilyas Ansah,1. FC Union Berlin,""ST CAM LW CM"",73,20,83,68,56,67,71,80,197,Right,2025-06-06,2030-06-01,8000000"
"Aljoscha Kemlein,1. FC Union Berlin,""CM CDM"",73,20,53,57,61,74,70,68,185,Right,2022-09-01,2030-06-01,5500000"
"Alex Král,1. FC Union Berlin,""CM CAM CDM"",73,27,71,65,68,75,79,76,187,Right,2024-07-01,2028-06-01,4100000"
"Jeong Woo Yeong,1. FC Union Berlin,""CAM ST CM"",73,25,76,60,62,77,63,54,179,Right,2024-08-27,2028-06-01,4800000"
"Tim Skarke,1. FC Union Berlin,""ST RM CAM"",73,28,87,71,60,74,67,68,181,Right,2022-07-01,2030-06-01,3700000"
"Oliver Burke,1. FC Union Berlin,""ST RM CAM RW"",73,28,93,66,63,67,76,80,188,Right,2025-07-01,2029-06-01,3700000"
"Robert Skov,1. FC Union Berlin,""LB RB RM LM"",73,29,76,77,79,75,70,68,185,Left,2024-09-04,2030-06-01,3200000"
"Stanley Nsoki,1. FC Union Berlin,""CB LB"",71,26,77,40,56,65,77,78,184,Left,2022-08-03,2026-06-30,2900000"
"Livan Burcu,1. FC Union Berlin,""LM LW RW"",70,20,79,59,65,72,62,52,178,Right,2024-07-20,2030-06-01,4100000"
Matheo Raab,1. FC Union Berlin,GK,70,26,24,16,22,32,37,45,186,Right,2025-07-11,2026-06-01,2000000
Carl Klaus,1. FC Union Berlin,GK,67,31,30,16,22,31,38,51,189,Right,2024-07-28,2029-06-01,625000
"Andrik Markgraf,1. FC Union Berlin,""LB LM"",63,19,72,41,51,62,56,45,172,Left,2025-07-01,2028-06-01,1300000"
"David Preu,1. FC Union Berlin,""LM CAM ST LW"",62,20,68,53,57,65,42,39,172,Right,2023-07-01,2030-06-01,1100000"
Dmytro Bohdanov,1. FC Union Berlin,ST,58,18,67,57,39,57,55,63,188,Right,2025-08-13,2029-06-01,575000
