player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Nadiem Amiri,1. FSV Mainz 05,""CM CAM"",80,28,66,77,81,82,72,68,180,Right,2024-01-31,2028-06-01,25000000"
"Kaishū Sano,1. FSV Mainz 05,""CDM CM"",79,24,79,55,61,79,79,65,176,Right,2024-07-03,2028-06-01,27000000"
"Anthony Caci,1. FSV Mainz 05,""RB RM CB"",78,28,72,56,69,72,77,72,185,Right,2022-07-01,2028-06-01,15000000"
"Stefan Posch,1. FSV Mainz 05,""RB CB"",78,28,75,55,64,64,76,75,190,Right,2026-01-22,2026-06-30,15000000"
"Paul Nebel,1. FSV Mainz 05,""CAM CM RM"",77,22,72,71,68,82,62,48,169,Right,2020-07-01,2027-06-01,20000000"
Robin Zentner,1. FSV Mainz 05,GK,77,30,62,20,21,37,59,83,194,Right,2017-05-17,2028-06-01,8500000
"Lee Jae Sung,1. FSV Mainz 05,""CAM CM"",76,32,72,69,70,79,72,56,181,Left,2021-07-08,2026-06-01,7000000"
"Dominik Kohr,1. FSV Mainz 05,""CB CDM"",76,31,74,58,56,70,82,76,183,Right,2022-05-12,2028-06-01,6000000"
"Benedict Hollerbach,1. FSV Mainz 05,""ST CAM LM"",75,24,86,73,60,77,80,71,180,Right,2025-06-01,2029-06-01,9500000"
Andreas Hanche-Olsen,1. FSV Mainz 05,CB,75,28,70,39,50,67,81,81,185,Right,2023-01-13,2028-06-01,6500000
"Phillipp Mwene,1. FSV Mainz 05,""LB LM RM"",75,31,78,54,65,77,70,66,172,Right,2023-08-23,2026-06-01,4800000"
"Danny da Costa,1. FSV Mainz 05,""CB RB RM"",75,31,80,56,62,68,78,78,187,Right,2022-07-01,2026-06-01,4500000"
"Tom Krauß,1. FSV Mainz 05,""CDM CM"",74,24,72,67,60,70,79,75,183,Right,2023-07-14,2026-06-30,6000000"
"Silas,1. FSV Mainz 05,""RM RW ST"",73,26,88,69,55,75,71,77,189,Right,2026-01-06,2026-06-01,3900000"
Phillip Tietz,1. FSV Mainz 05,ST,73,27,59,73,55,67,81,84,190,Right,2026-01-02,2028-06-01,3900000
"Sheraldo Becker,1. FSV Mainz 05,""ST LM RM CAM"",73,30,92,71,66,75,72,73,180,Right,2025-09-02,2026-06-30,3500000"
"Silvan Widmer,1. FSV Mainz 05,""RB RM LM"",73,32,73,61,68,73,73,76,183,Right,2021-07-09,2026-06-01,2500000"
Stefan Bell,1. FSV Mainz 05,CB,73,33,42,37,48,52,69,84,192,Right,2010-07-01,2026-06-01,1700000
"Lennard Maloney,1. FSV Mainz 05,""CDM CB CM"",72,25,61,44,52,62,83,84,187,Right,2025-01-21,2028-06-01,3100000"
"Sota Kawasaki,1. FSV Mainz 05,""CM CDM CAM"",71,23,72,60,62,76,65,52,172,Right,2020-02-01,2028-06-01,3300000"
"Armindo Sieb,1. FSV Mainz 05,""ST CAM"",71,22,83,68,53,75,67,70,175,Right,2024-07-01,2026-06-30,5000000"
"William Bøving,1. FSV Mainz 05,""ST CAM LM"",71,22,81,66,65,76,66,61,176,Right,2025-09-01,2029-06-01,4500000"
Maxim Leitsch,1. FSV Mainz 05,CB,71,27,72,39,51,61,63,75,189,Left,2022-07-01,2026-06-01,2000000
"Nelson Weiper,1. FSV Mainz 05,""ST CAM CM"",70,20,74,64,48,65,73,78,192,Right,2022-03-18,2029-06-01,4600000"
"Nikolas Veratschnig,1. FSV Mainz 05,""RB RM RW"",69,22,82,49,54,65,69,66,180,Right,2024-07-01,2028-06-01,3500000"
Daniel Batz,1. FSV Mainz 05,GK,69,34,35,20,24,39,44,61,191,Right,2023-07-01,2026-06-01,275000
Lasse Rieß,1. FSV Mainz 05,GK,67,23,33,15,20,31,43,65,192,Right,2021-07-01,2027-06-01,2100000
"Niklas Tauer,1. FSV Mainz 05,""CDM CM CB"",66,24,67,44,53,64,69,70,183,Right,2019-09-27,2029-06-01,1400000"
Kacper Potulski,1. FSV Mainz 05,CB,65,17,60,31,35,46,70,77,195,Right,2025-07-01,2028-06-01,2000000
"Kasey Bos,1. FSV Mainz 05,""LB LM"",65,21,73,45,49,61,54,65,186,Left,2025-07-01,2029-06-01,2000000"
"Fabio Moreno Fell,1. FSV Mainz 05,""ST LW LM"",62,25,57,60,48,60,64,76,189,Right,2025-11-01,2028-06-01,625000"
"Daniel Gleiber,1. FSV Mainz 05,""CM CAM CDM"",61,20,61,56,64,65,53,52,181,Left,2024-09-28,2028-06-01,925000"
Maxim Dal,1. FSV Mainz 05,CB,58,19,59,42,39,50,60,69,189,Left,2024-08-22,2027-06-01,575000
