player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Patrik Schick,Bayer 04 Leverkusen,ST,85,29,72,81,69,80,78,85,191,Left,2020-09-08,2030-06-01,63500000
"Grimaldo,Bayer 04 Leverkusen,""LM LB LW"",85,29,72,74,88,85,70,53,171,Left,2023-07-01,2027-06-01,62500000"
"Exequiel Palacios,Bayer 04 Leverkusen,""CM CDM"",84,26,63,75,75,82,73,67,178,Right,2020-01-01,2030-06-01,58000000"
"Aleix García,Bayer 04 Leverkusen,""CM CDM"",84,28,66,73,84,84,68,65,173,Right,2024-07-01,2029-06-01,49500000"
"Malik Tillman,Bayer 04 Leverkusen,""CAM CM LW"",81,23,84,72,77,80,77,82,187,Right,2025-07-12,2030-06-01,46000000"
Edmond Tapsoba,Bayer 04 Leverkusen,CB,81,26,75,53,61,72,80,83,192,Right,2020-01-31,2028-06-01,33000000
Victor Boniface,Bayer 04 Leverkusen,ST,80,24,67,80,64,75,78,90,190,Right,2023-07-22,2026-06-30,36000000
"Robert Andrich,Bayer 04 Leverkusen,""CB CM CDM"",80,30,58,74,76,71,81,84,186,Right,2021-08-16,2028-06-01,20500000"
"Martin Terrier,Bayer 04 Leverkusen,""ST CAM LM"",79,28,77,78,73,78,72,74,184,Right,2024-07-18,2029-06-01,21000000"
Loïc Badé,Bayer 04 Leverkusen,CB,78,25,60,40,48,65,77,84,191,Right,2025-08-21,2030-06-01,22000000
"Nathan Tella,Bayer 04 Leverkusen,""RM ST CAM RW"",78,25,83,72,66,78,63,52,173,Right,2023-08-27,2028-06-01,20000000"
Mark Flekken,Bayer 04 Leverkusen,GK,78,32,33,23,35,42,49,72,195,Right,2025-06-03,2028-06-01,8000000
"Jonas Hofmann,Bayer 04 Leverkusen,""CAM ST CM"",78,32,65,77,77,79,68,66,176,Right,2023-07-05,2027-06-01,13000000"
"Ibrahim Maza,Bayer 04 Leverkusen,""CAM CM"",77,19,75,67,70,79,64,62,180,Right,2025-07-01,2030-06-01,27000000"
"Lucas Vázquez,Bayer 04 Leverkusen,""RB RM"",77,34,76,71,79,78,70,56,173,Right,2025-08-26,2027-06-01,4600000"
"Ernest Poku,Bayer 04 Leverkusen,""RM RW CAM"",76,21,94,66,64,76,68,63,173,Right,2025-08-12,2030-06-01,20000000"
"Ezequiel Fernández,Bayer 04 Leverkusen,""CDM CM"",76,22,69,50,62,74,78,79,178,Left,2025-09-01,2030-06-01,18500000"
Jarell Quansah,Bayer 04 Leverkusen,CB,75,22,70,38,56,67,75,79,190,Right,2025-07-02,2030-06-01,14000000
"Eliesse Ben Seghir,Bayer 04 Leverkusen,""CAM LM CM"",75,20,77,72,69,78,63,61,178,Right,2025-09-01,2030-06-01,14500000"
Christian Kofane,Bayer 04 Leverkusen,ST,75,18,78,73,58,70,72,70,189,Right,2025-07-11,2029-06-01,14000000
Jonas Omlin,Bayer 04 Leverkusen,GK,74,31,52,24,28,43,49,69,190,Right,2023-01-19,2026-06-30,2600000
"Arthur,Bayer 04 Leverkusen,""RM RB RW"",73,22,83,48,65,73,62,49,174,Right,2023-07-01,2028-06-01,5500000"
Janis Blaswich,Bayer 04 Leverkusen,GK,73,34,43,23,29,40,53,74,193,Right,2025-08-11,2027-06-01,625000
"Tim Oermann,Bayer 04 Leverkusen,""CB RB RM"",72,21,82,33,49,62,76,79,187,Right,2022-07-01,2029-06-01,6000000"
"Jeanuël Belocian,Bayer 04 Leverkusen,""CB LB"",70,20,67,44,61,66,68,72,182,Left,2024-07-01,2026-06-30,4300000"
Axel Tape,Bayer 04 Leverkusen,CB,67,17,70,44,55,64,61,58,180,Right,2025-07-01,2030-06-01,2800000
Niklas Lomb,Bayer 04 Leverkusen,GK,66,31,39,18,22,37,49,68,186,Right,2012-07-01,2027-06-01,525000
Alejo Sarco,Bayer 04 Leverkusen,ST,64,19,73,62,48,66,60,68,179,Left,2025-01-02,2026-06-30,1800000
"Montrell Culbreath,Bayer 04 Leverkusen,""CAM RW RM CM"",63,17,69,56,58,68,45,40,172,Right,2025-10-18,2030-06-01,1400000"
"Jeremiah Mensah,Bayer 04 Leverkusen,""CM CAM CDM"",62,17,68,54,60,63,55,55,176,Right,2025-08-15,2027-06-01,1300000"
"Naba Mensah,Bayer 04 Leverkusen,""CM CDM"",60,18,67,48,57,61,56,50,172,Right,2025-11-25,2027-06-01,725000"
"Ben Hawighorst,Bayer 04 Leverkusen,""CB CDM"",60,17,54,33,41,51,60,64,185,Left,2025-11-25,2026-06-01,875000"
Ferdinand Pohl,Bayer 04 Leverkusen,CB,59,18,60,37,44,52,58,57,184,Right,2025-11-25,2026-06-01,625000
Jesper Schlich,Bayer 04 Leverkusen,GK,57,17,24,16,24,29,36,51,182,Right,2025-11-25,2026-06-01,425000
