player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Nico Schlotterbeck,Borussia Dortmund,CB,86,25,75,59,71,74,85,87,191,Left,2022-07-01,2027-06-01,89000000
Gregor Kobel,Borussia Dortmund,GK,86,27,45,17,28,46,52,81,195,Right,2021-07-01,2028-06-01,78500000
Serhou Guirassy,Borussia Dortmund,ST,85,29,72,84,74,82,84,85,187,Right,2024-07-18,2028-06-01,63500000
"Felix Nmecha,Borussia Dortmund,""CM CDM"",84,24,82,74,73,81,87,90,194,Right,2023-07-03,2028-06-01,64000000"
Waldemar Anton,Borussia Dortmund,CB,83,28,69,48,59,69,84,86,189,Right,2024-07-08,2028-06-01,37000000
"Julian Brandt,Borussia Dortmund,""CAM CM"",83,29,73,76,82,84,68,72,185,Right,2019-07-01,2026-06-01,42000000"
"Karim Adeyemi,Borussia Dortmund,""RM LW CAM RW"",82,23,96,78,70,82,74,67,180,Left,2022-07-01,2027-06-01,51500000"
"Emre Can,Borussia Dortmund,""CB CDM CM"",82,31,76,77,71,75,84,86,186,Right,2020-02-18,2026-06-01,24500000"
"Marcel Sabitzer,Borussia Dortmund,""CDM CM"",81,31,75,81,79,80,76,75,178,Right,2023-07-24,2027-06-01,21500000"
"Ramy Bensebaini,Borussia Dortmund,""CB LB"",80,30,73,69,68,74,81,78,187,Left,2023-07-01,2027-06-01,20500000"
"Yan Couto,Borussia Dortmund,""RB RM"",79,23,79,62,72,81,62,51,168,Right,2025-07-01,2030-06-01,27500000"
"Maximilian Beier,Borussia Dortmund,""ST CAM LM"",79,22,86,77,66,79,67,53,185,Right,2024-08-12,2029-06-01,32000000"
"Fábio Silva,Borussia Dortmund,""ST LW LM"",79,22,81,77,60,79,80,74,185,Right,2025-08-29,2030-06-01,33500000"
"Julian Ryerson,Borussia Dortmund,""RB LB RM"",79,27,75,60,67,76,81,80,183,Right,2023-01-17,2028-06-01,20000000"
"Niklas Süle,Borussia Dortmund,""CB RB"",79,29,59,52,60,64,73,92,195,Right,2022-07-01,2026-06-01,17500000"
"Daniel Svensson,Borussia Dortmund,""LB CM LM"",78,23,77,58,73,77,76,68,178,Left,2025-05-14,2029-06-01,23500000"
"Carney Chukwuemeka,Borussia Dortmund,""CAM CM"",78,21,75,67,71,80,67,76,187,Right,2025-08-26,2030-06-01,26500000"
"Jobe Bellingham,Borussia Dortmund,""CM CDM"",75,19,70,67,69,73,82,77,191,Right,2025-07-01,2030-06-01,14500000"
Diant Ramaj,Borussia Dortmund,GK,75,23,29,26,38,47,48,64,188,Right,2025-02-03,2026-06-30,8500000
Alexander Meyer,Borussia Dortmund,GK,75,34,42,17,22,33,47,79,195,Right,2022-07-01,2026-06-01,1100000
"Salih Özcan,Borussia Dortmund,""CDM CM CB"",74,27,71,58,63,74,79,78,182,Right,2022-07-01,2026-06-01,5000000"
Patrick Drewes,Borussia Dortmund,GK,71,32,30,22,23,37,55,77,194,Right,2025-07-01,2027-06-01,1100000
"Cole Campbell,Borussia Dortmund,""RM RW"",67,19,89,56,56,71,44,36,170,Left,2024-07-09,2026-06-30,2900000"
"Filippo Mane,Borussia Dortmund,""CB RB"",65,20,68,27,38,60,62,69,188,Right,2024-07-01,2028-06-01,1900000"
Almugera Kabar,Borussia Dortmund,LB,64,19,77,43,58,64,71,75,181,Left,2024-08-07,2028-06-01,1700000
Silas Ostrzinski,Borussia Dortmund,GK,63,21,30,14,19,26,44,68,198,Right,2021-11-23,2027-06-01,1200000
"Mussa Kaba,Borussia Dortmund,""CDM CM"",61,16,57,35,53,58,58,67,197,Right,2026-01-09,2027-06-01,1200000"
