player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Franck Honorat,Borussia M'gladbach,""RM RW CAM"",81,28,84,77,79,78,66,56,180,Right,2023-07-11,2029-06-01,30500000"
Tim Kleindienst,Borussia M'gladbach,ST,81,29,67,81,59,69,88,87,194,Left,2024-07-01,2029-06-01,30500000
"Rocco Reitz,Borussia M'gladbach,""CM CDM"",77,23,71,67,71,77,72,55,176,Right,2020-08-07,2028-06-01,19500000"
"Robin Hack,Borussia M'gladbach,""LM LW ST"",77,26,79,73,71,79,62,58,178,Right,2023-07-01,2029-06-01,13500000"
Moritz Nicolas,Borussia M'gladbach,GK,76,27,22,18,30,35,48,74,193,Right,2016-07-01,2029-06-01,8000000
"Kevin Diks,Borussia M'gladbach,""CB LB RB CM"",76,28,74,65,66,73,80,79,182,Right,2025-06-01,2030-06-01,8500000"
Nico Elvedi,Borussia M'gladbach,CB,76,28,70,41,55,65,76,79,189,Right,2015-07-01,2027-06-01,7500000
"Philipp Sander,Borussia M'gladbach,""CDM CM CB"",75,27,69,59,69,75,69,66,185,Right,2024-07-01,2028-06-01,7000000"
"Joe Scally,Borussia M'gladbach,""RB CB RM"",75,22,83,47,55,70,78,74,184,Right,2021-01-01,2027-06-01,8500000"
"Florian Neuhaus,Borussia M'gladbach,""CM CAM CDM"",75,28,72,68,73,76,67,66,185,Right,2017-07-01,2027-06-01,6500000"
Haris Tabaković,Borussia M'gladbach,ST,75,31,60,72,47,68,79,87,194,Right,2024-08-23,2026-06-30,5500000
"Shuto Machino,Borussia M'gladbach,""ST CAM"",74,25,83,73,67,74,75,75,185,Right,2025-07-26,2029-06-01,6500000"
"Giovanni Reyna,Borussia M'gladbach,""RM CAM LM RW"",74,22,67,70,71,77,66,74,185,Right,2025-08-23,2028-06-01,7500000"
Jonas Omlin,Borussia M'gladbach,GK,74,31,52,24,28,43,49,69,190,Right,2023-01-19,2026-06-30,2600000
"Kevin Stöger,Borussia M'gladbach,""CAM CM LM"",74,31,55,71,78,76,59,63,175,Left,2024-07-01,2027-06-01,4100000"
"Lukas Ullrich,Borussia M'gladbach,""LB LM"",73,21,71,52,58,71,72,68,180,Left,2023-07-01,2029-06-01,7500000"
"Jens Castrop,Borussia M'gladbach,""CM CAM RM"",73,21,80,58,66,77,74,62,177,Right,2025-06-01,2029-06-01,7500000"
Kota Takai,Borussia M'gladbach,CB,72,20,66,34,49,61,70,76,192,Right,2025-07-08,2026-06-30,5000000
"Yannik Engelhardt,Borussia M'gladbach,""CDM CM"",72,24,66,47,58,65,72,66,184,Right,2024-08-01,2026-06-30,3600000"
"Nathan Ngoumou,Borussia M'gladbach,""RM RW LM"",72,25,89,70,62,68,63,67,183,Right,2022-08-30,2027-06-01,3700000"
Marvin Friedrich,Borussia M'gladbach,CB,71,29,58,40,48,55,70,79,193,Right,2022-01-11,2026-06-01,2300000
"Hugo Bolin,Borussia M'gladbach,""LM RM CM LW"",69,21,76,65,65,72,59,50,179,Right,2022-01-01,2026-06-30,2600000"
Fabio Chiarodia,Borussia M'gladbach,CB,68,20,67,35,45,61,67,73,186,Left,2023-07-01,2027-06-01,2900000
Jan Olschowsky,Borussia M'gladbach,GK,67,23,20,16,24,31,31,42,184,Right,2020-07-13,2027-06-01,2100000
Tiago Pereira Cardoso,Borussia M'gladbach,GK,67,19,22,15,31,31,35,50,190,Right,2025-03-03,2028-06-01,2500000
"Wael Mohya,Borussia M'gladbach,""CAM LM CM"",66,16,72,46,58,68,39,29,176,Right,2025-07-06,2026-06-01,2500000"
Tobias Sippel,Borussia M'gladbach,GK,64,37,46,21,22,38,51,65,183,Right,2015-07-01,2026-06-01,80000
Alejo Sarco,Borussia M'gladbach,ST,64,19,73,62,48,66,60,68,179,Left,2025-01-02,2026-06-30,1800000
"Fritz Fleck,Borussia M'gladbach,""RW CAM RM"",62,18,68,57,59,65,47,40,170,Left,2025-12-13,2027-06-01,1100000"
Jan Urbich,Borussia M'gladbach,ST,62,21,55,63,47,59,59,68,188,Right,2025-10-05,2027-06-01,1200000
"Niklas Swider,Borussia M'gladbach,""CDM CM"",60,18,53,53,60,59,62,62,188,Right,2024-12-14,2027-06-01,750000"
