player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Jonathan Burkardt,Eintracht Frankfurt,ST,82,24,83,81,63,80,77,76,181,Right,2025-07-04,2030-06-01,49500000
"Ritsu Doan,Eintracht Frankfurt,""RM CAM RB"",82,27,82,69,76,85,68,59,172,Left,2025-08-07,2030-06-01,38500000"
"Mario Götze,Eintracht Frankfurt,""CM CAM CDM"",81,33,60,78,82,84,66,65,176,Right,2022-07-01,2026-06-01,18500000"
"Arthur Theate,Eintracht Frankfurt,""CB LB"",80,25,67,39,64,70,82,82,185,Left,2025-02-02,2029-06-01,31000000"
Robin Koch,Eintracht Frankfurt,CB,80,28,62,43,53,68,82,82,192,Right,2024-07-01,2030-06-01,21500000
"Rasmus Kristensen,Eintracht Frankfurt,""RB RM CB"",80,27,69,66,67,71,83,78,187,Right,2025-07-01,2029-06-01,24000000"
"Nathaniel Brown,Eintracht Frankfurt,""LB LM"",79,22,83,51,71,80,61,41,180,Left,2024-01-03,2030-06-01,31000000"
"Can Uzun,Eintracht Frankfurt,""CAM ST CM"",78,19,70,76,71,79,64,66,186,Right,2024-07-02,2029-06-01,36000000"
"Hugo Larsson,Eintracht Frankfurt,""CM CDM"",78,21,77,69,67,79,77,74,187,Right,2023-07-01,2029-06-01,33500000"
"Ellyes Skhiri,Eintracht Frankfurt,""CDM CM"",78,30,65,69,70,74,76,69,185,Right,2023-07-05,2027-06-01,14000000"
"Ansgar Knauff,Eintracht Frankfurt,""RM LM CAM RB"",77,23,89,67,65,76,68,55,180,Right,2023-06-09,2028-06-01,18000000"
Arnaud Kalimuendo,Eintracht Frankfurt,ST,77,23,80,77,62,79,74,72,178,Right,2025-08-18,2026-06-30,18000000
"Farès Chaïbi,Eintracht Frankfurt,""CAM LW CM"",76,22,70,66,77,76,70,69,183,Right,2023-08-30,2028-06-01,13500000"
Michael Zetterer,Eintracht Frankfurt,GK,76,29,42,23,35,40,51,70,187,Right,2025-08-20,2029-06-01,7000000
"Jean-Mattéo Bahoya,Eintracht Frankfurt,""LM CAM LW"",75,20,94,65,65,75,60,60,180,Right,2024-01-25,2029-06-01,14500000"
Michy Batshuayi,Eintracht Frankfurt,ST,75,31,73,76,62,73,74,81,185,Right,2025-02-03,2027-06-01,5500000
"Nnamdi Collins,Eintracht Frankfurt,""CB RB RM"",74,21,86,32,55,67,78,79,191,Right,2023-08-09,2030-06-01,10500000"
"Oscar Højlund,Eintracht Frankfurt,""CM CDM"",73,20,78,62,63,75,72,69,184,Right,2024-07-10,2029-06-01,8000000"
"Mahmoud Dahoud,Eintracht Frankfurt,""CM CDM"",73,29,65,67,70,77,65,59,178,Right,2024-08-30,2026-06-01,3500000"
"Elias Baum,Eintracht Frankfurt,""RB RM"",72,19,76,49,56,67,73,65,180,Right,2023-10-26,2028-06-01,6500000"
Aurèle Amenda,Eintracht Frankfurt,CB,72,21,68,31,43,50,73,90,194,Right,2024-07-01,2029-06-01,6000000
Kauã Santos,Eintracht Frankfurt,GK,71,22,38,14,24,30,44,64,196,Right,2023-08-29,2030-06-01,4300000
"Keita Kosugi,Eintracht Frankfurt,""LB LM"",71,19,85,39,54,70,68,54,172,Left,2026-01-01,2031-06-01,4600000"
Younes Ebnoutalib,Eintracht Frankfurt,ST,70,21,76,67,52,64,71,75,191,Right,2026-01-01,2031-06-01,4300000
Jessic Ngankam,Eintracht Frankfurt,ST,69,24,80,65,55,70,73,78,184,Right,2023-07-14,2028-06-01,2500000
"Ayoube Amaimouni,Eintracht Frankfurt,""RM RW"",66,20,73,64,56,69,54,51,177,Left,2026-01-02,2031-06-01,2400000"
"Timmy Chandler,Eintracht Frankfurt,""RB RM"",64,35,39,65,65,61,67,76,187,Right,2014-07-01,2026-06-01,210000"
Jens Grahl,Eintracht Frankfurt,GK,63,36,45,19,19,40,53,74,192,Right,2021-07-19,2026-06-01,15000
"Love Arrhov,Eintracht Frankfurt,""CAM CM"",63,17,73,55,53,66,59,50,178,Right,2026-01-01,2028-06-01,1300000"
Alexander Staff,Eintracht Frankfurt,ST,61,17,60,60,43,57,55,56,182,Right,2025-12-20,2028-06-01,1200000
"Marvin Dills,Eintracht Frankfurt,""CAM RM CM"",60,18,61,53,59,60,45,44,177,Right,2025-12-20,2028-06-01,925000"
Fousseny Doumbia,Eintracht Frankfurt,CB,59,20,55,32,47,51,59,67,190,Left,2025-07-03,2028-06-01,650000
Amil Šiljević,Eintracht Frankfurt,GK,58,18,19,13,17,25,38,61,188,Right,2024-11-28,2028-06-01,550000
