player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Chrislain Matsima,FC Augsburg,CB,77,23,74,36,44,60,79,82,193,Right,2025-01-30,2030-06-01,26000000
Jeffrey Gouweleeuw,FC Augsburg,CB,77,33,67,58,62,68,79,78,188,Right,2016-01-09,2027-06-01,6000000
Finn Dahmen,FC Augsburg,GK,76,27,53,17,28,45,43,55,188,Right,2023-07-01,2026-06-01,7500000
"Alexis Claude-Maurice,FC Augsburg,""CAM CM LW"",76,27,76,70,73,80,69,61,175,Right,2024-08-31,2027-06-01,10000000"
"Dimitris Giannoulis,FC Augsburg,""LB LM"",76,29,83,57,65,73,69,56,175,Left,2024-07-23,2028-06-01,8000000"
"Kristijan Jakić,FC Augsburg,""CDM CM CB"",75,28,70,61,58,70,82,76,181,Right,2024-05-24,2028-06-01,6000000"
Keven Schlotterbeck,FC Augsburg,CB,75,28,63,33,46,59,72,84,189,Left,2024-07-01,2027-06-01,6500000
Michael Gregoritsch,FC Augsburg,ST,75,31,37,76,69,66,74,86,193,Left,2025-08-20,2026-06-30,5500000
"Robin Fellhauer,FC Augsburg,""CDM CM RM"",74,27,79,55,63,71,76,70,182,Right,2025-07-01,2027-06-01,4700000"
"Fabian Rieder,FC Augsburg,""CAM CM RM"",74,23,74,66,72,75,61,59,179,Left,2025-09-01,2030-06-01,10000000"
"Han-Noah Massengo,FC Augsburg,""CDM CM"",74,23,68,52,61,77,73,72,175,Right,2025-07-15,2030-06-01,7000000"
Cédric Zesiger,FC Augsburg,CB,74,27,65,43,47,59,83,90,194,Left,2025-05-27,2029-06-01,5500000
"Marius Wolf,FC Augsburg,""RB RM"",74,30,75,68,71,71,78,76,188,Right,2024-08-08,2027-06-01,4300000"
Arthur Chaves,FC Augsburg,CB,74,24,78,36,44,58,76,70,188,Right,2024-08-31,2026-06-30,7000000
Nediljko Labrović,FC Augsburg,GK,73,25,40,16,27,41,51,78,196,Right,2024-07-01,2029-06-01,3200000
"Elvis Rexhbeçaj,FC Augsburg,""CM CDM CAM"",73,27,60,66,65,71,74,70,182,Left,2022-07-27,2026-06-01,3800000"
"Arne Maier,FC Augsburg,""CM RM CDM CAM"",73,26,66,59,67,72,71,77,187,Right,2022-05-24,2026-06-01,4200000"
"Mert Kömür,FC Augsburg,""CAM ST CM"",72,19,68,66,64,72,55,49,183,Right,2023-02-08,2029-06-01,6000000"
"Anton Kade,FC Augsburg,""RM LM ST RW"",72,21,76,66,65,70,61,69,185,Right,2025-08-25,2029-06-01,6000000"
"Ismaël Gharbi,FC Augsburg,""LM CAM LW"",72,21,78,65,67,76,59,50,173,Right,2024-08-31,2026-06-30,6000000"
Samuel Essende,FC Augsburg,ST,72,27,74,68,46,64,80,89,192,Right,2024-07-01,2028-06-01,3000000
"Yannik Keitel,FC Augsburg,""CDM CM CB"",71,25,63,48,58,66,74,73,186,Right,2024-07-01,2026-06-30,2600000"
"Mads Pedersen,FC Augsburg,""LB LM RB"",71,28,78,54,60,72,69,58,174,Left,2019-07-01,2027-06-01,2000000"
Noahkai Banks,FC Augsburg,CB,71,18,61,38,46,61,72,77,193,Right,2024-07-10,2027-06-01,4800000
"Rodrigo Ribeiro,FC Augsburg,""ST CAM LW CM"",68,20,71,63,52,68,58,68,185,Right,2022-05-01,2026-06-30,3100000"
Uchenna Ogundu,FC Augsburg,ST,67,19,56,62,45,56,61,91,188,Right,2026-02-02,2031-06-01,1700000
Thomas Kastanaras,FC Augsburg,ST,63,22,61,63,51,60,59,73,186,Right,2026-02-02,2027-06-01,1300000
Daniel Klein,FC Augsburg,GK,61,24,24,14,19,28,37,57,191,Right,2021-07-02,2026-06-01,500000
Felix Meiser,FC Augsburg,CB,60,18,49,36,41,51,62,64,189,Right,2025-02-15,2027-06-01,625000
"Mahmut Kücüksahin,FC Augsburg,""CDM CM"",60,21,54,37,52,61,49,39,177,Right,2024-05-18,2027-06-01,675000"
"Tim Schnitzer,FC Augsburg,""CDM CB CM"",58,17,57,47,51,57,57,59,182,Right,2025-12-20,2028-06-01,625000"
Oliver Sorg,FC Augsburg,LB,58,17,64,33,46,55,53,51,176,Left,2025-07-01,2027-06-01,625000
