player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Nikola Vasilj,FC St. Pauli,GK,78,29,33,16,26,38,47,72,193,Right,2021-07-01,2029-06-01,11500000
"Jackson Irvine,FC St. Pauli,""CM CDM"",75,32,67,66,68,69,82,76,189,Right,2021-07-05,2029-06-01,5000000"
Hauke Wahl,FC St. Pauli,CB,74,31,53,32,45,66,73,79,189,Right,2023-07-01,2028-06-01,3400000
"Eric Smith,FC St. Pauli,""CB CDM CM"",74,28,66,57,65,67,78,82,192,Right,2021-07-01,2030-06-01,4300000"
"Mathias Pereira Lage,FC St. Pauli,""ST LW CAM LM"",73,28,84,72,72,73,68,64,180,Right,2025-07-01,2028-06-01,3700000"
"Mathias Rasmussen,FC St. Pauli,""CM CAM CDM"",73,27,73,64,70,77,70,64,180,Left,2026-01-24,2029-06-01,3800000"
Martijn Kaars,FC St. Pauli,ST,72,26,82,68,65,70,75,66,183,Right,2025-08-28,2027-06-01,3500000
"James Sands,FC St. Pauli,""CDM CM CB"",72,24,49,45,54,65,75,70,186,Right,2017-07-01,2026-06-30,3400000"
"Manolis Saliakas,FC St. Pauli,""RB RM CM"",72,28,70,59,67,72,69,61,177,Right,2022-07-01,2030-06-01,2500000"
"Joel Chima Fujita,FC St. Pauli,""CM CAM CDM"",71,23,68,59,64,72,73,69,175,Right,2025-07-01,2029-06-01,4400000"
"Danel Sinani,FC St. Pauli,""CAM RW RM CM"",71,28,62,68,72,70,62,70,185,Left,2023-07-04,2029-06-01,2200000"
David Nemeth,FC St. Pauli,CB,71,24,58,32,40,56,76,90,191,Right,2022-07-01,2029-06-01,2900000
Karol Mets,FC St. Pauli,CB,71,32,64,47,52,60,78,85,191,Left,2023-05-31,2026-06-01,1400000
"Louis Oppie,FC St. Pauli,""LB LM CM"",70,23,76,61,66,66,79,78,184,Left,2025-07-11,2026-06-01,2600000"
"Andréas Hountondji,FC St. Pauli,""ST RM LM"",70,22,77,65,55,72,65,76,190,Right,2024-07-17,2026-06-30,4300000"
Tomoya Andō,FC St. Pauli,CB,70,26,60,34,44,57,71,74,190,Right,2026-01-01,2028-06-01,2200000
"Arkadiusz Pyrka,FC St. Pauli,""RB RM CM"",69,22,84,57,56,67,60,59,177,Right,2025-07-01,2029-06-01,2500000"
"Connor Metcalfe,FC St. Pauli,""CM CDM RW CAM"",69,25,72,58,62,71,75,75,178,Left,2022-07-01,2028-06-01,2100000"
"Lars Ritzka,FC St. Pauli,""LB CB LM CM"",69,27,75,50,58,65,67,68,182,Left,2021-07-01,2028-06-01,1700000"
"Taichi Hara,FC St. Pauli,""ST RM LM"",68,26,64,64,53,59,70,80,191,Right,2026-01-31,2028-06-01,1700000"
"Adam Dźwigała,FC St. Pauli,""CB RB CDM"",68,29,68,47,50,60,74,75,185,Right,2020-12-17,2029-06-01,1200000"
Ben Voll,FC St. Pauli,GK,67,24,25,16,19,33,42,67,195,Right,2024-07-01,2029-06-01,1500000
"Ricky-Jade Jones,FC St. Pauli,""ST LM LW"",66,22,93,61,55,66,69,69,183,Right,2025-07-01,2029-06-01,1600000"
Abdoulie Ceesay,FC St. Pauli,ST,66,21,74,62,43,60,63,76,185,Right,2025-01-03,2028-06-01,2300000
Jannik Robatsch,FC St. Pauli,CB,65,20,67,30,42,57,65,68,190,Left,2025-06-06,2030-06-01,1700000
"Fin Stevens,FC St. Pauli,""RB RM"",63,22,63,44,56,65,62,62,179,Right,2024-07-26,2029-06-01,1200000"
Emil Gazdov,FC St. Pauli,GK,62,21,38,16,18,31,44,64,194,Right,2025-02-28,2026-06-30,925000
Simon Spari,FC St. Pauli,GK,61,23,25,14,19,27,39,63,196,Right,2025-07-01,2028-06-01,750000
"Romeo Aigbekaen,FC St. Pauli,""ST LW"",59,21,67,56,49,55,53,68,188,Left,2024-12-15,2028-06-01,600000"
"Marwin Schmitz,FC St. Pauli,""CDM CM"",59,18,62,35,49,55,55,55,180,Right,2024-10-18,2028-06-01,650000"
"Nick Schmidt,FC St. Pauli,""CM CDM"",58,17,66,38,52,60,50,48,180,Right,2025-08-23,2028-06-01,600000"
