player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Luka Vušković,Hamburger SV,CB,80,18,59,57,56,60,79,85,193,Right,2025-06-01,2026-06-30,32500000
"Fábio Vieira,Hamburger SV,""CAM CM RW"",77,25,72,72,76,76,55,48,173,Left,2022-07-01,2026-06-30,17500000"
Daniel Heuer Fernandes,Hamburger SV,GK,77,32,41,19,31,37,49,69,188,Right,2019-07-01,2026-06-01,6000000
"Albert Sambi Lokonga,Hamburger SV,""CM CDM"",76,25,60,61,73,74,71,68,183,Right,2025-09-01,2028-06-01,11000000"
"Miro Muheim,Hamburger SV,""LB LM"",75,27,74,65,73,72,75,68,182,Left,2022-03-20,2027-06-01,7000000"
"Jean-Luc Dompé,Hamburger SV,""LW LM"",75,29,78,71,75,80,57,50,170,Right,2022-08-18,2027-06-01,6500000"
"Albert Grønbæk,Hamburger SV,""CAM CM LM ST"",74,24,75,66,70,78,71,65,176,Right,2024-07-15,2026-06-30,7500000"
Jordan Torunarigha,Hamburger SV,CB,74,27,82,42,52,66,80,89,191,Left,2025-07-01,2027-06-01,4600000
"Nicolai Remberg,Hamburger SV,""CM CDM"",73,25,65,56,60,71,86,85,187,Right,2025-06-02,2028-06-01,5000000"
"Daniel Elfadli,Hamburger SV,""CB CDM CM"",73,28,66,48,57,63,78,76,188,Right,2024-07-01,2028-06-01,3600000"
"Philip Otele,Hamburger SV,""LM LW ST"",73,26,92,70,61,76,73,73,178,Right,2025-01-15,2026-06-30,4200000"
Warmed Omari,Hamburger SV,CB,73,25,60,36,51,62,73,77,188,Right,2026-02-02,2030-06-01,4500000
"Nicolás Capaldo,Hamburger SV,""CM CDM CB"",73,26,76,67,66,75,78,72,177,Right,2025-07-10,2028-06-01,4200000"
Yussuf Poulsen,Hamburger SV,ST,73,31,66,68,62,69,82,80,192,Right,2025-07-14,2027-06-01,3000000
"Rayan Philippe,Hamburger SV,""ST RW"",72,24,90,68,51,73,67,67,182,Left,2025-07-02,2029-06-01,4200000"
Robert Glatzel,Hamburger SV,ST,72,31,57,72,48,63,75,85,193,Right,2021-07-01,2027-06-01,2300000
Damion Downs,Hamburger SV,ST,70,20,71,67,51,61,67,75,192,Right,2025-07-09,2026-06-30,4200000
"Giorgi Gocholeishvili,Hamburger SV,""RB RM"",70,24,85,54,59,69,73,68,178,Right,2023-01-01,2026-06-30,2500000"
Sander Tangvik,Hamburger SV,GK,70,22,57,20,29,41,44,61,193,Right,2026-01-22,2030-06-01,3700000
"Ransford-Yeboah Königsdörffer,Hamburger SV,""ST CAM RW CM"",70,23,81,66,60,74,66,64,182,Right,2022-07-01,2026-06-01,3800000"
"William Mikelbrencis,Hamburger SV,""RB RM"",69,21,78,46,58,68,63,53,182,Right,2022-08-31,2026-06-01,3500000"
Guilherme Ramos,Hamburger SV,CB,68,27,60,33,41,55,73,82,191,Right,2023-07-01,2026-06-01,1500000
"Noah Katterbach,Hamburger SV,""LB RM LM"",68,24,69,42,52,72,57,54,180,Left,2024-01-31,2027-06-01,2700000"
"Bakery Jatta,Hamburger SV,""RW RM RB"",68,27,79,65,62,65,74,77,184,Right,2016-07-01,2029-06-01,1500000"
"Levin Öztunalı,Hamburger SV,""RW CM RM"",67,29,74,64,66,68,66,71,184,Right,2023-07-01,2026-06-01,1200000"
"Fabio Baldé,Hamburger SV,""LW RW RM LM"",66,19,83,56,58,63,60,64,182,Right,2024-08-01,2029-06-01,2200000"
"Otto Stange,Hamburger SV,""ST LM"",64,18,63,64,48,61,59,67,187,Right,2024-11-08,2028-06-01,1800000"
"Alexander Røssing-Lelesiit,Hamburger SV,""LW RM LM"",63,18,74,54,52,65,39,37,184,Right,2025-02-03,2029-06-01,1400000"
"Bilal Yalçınkaya,Hamburger SV,""CAM RW LW CM"",59,19,69,52,53,62,46,52,182,Right,2023-11-10,2027-06-01,750000"
Shafiq Nandja,Hamburger SV,CB,59,18,61,33,36,49,61,67,186,Right,2025-07-01,2026-06-01,575000
"Omar Megeed,Hamburger SV,""LW CAM LM"",58,19,65,51,51,56,49,62,188,Right,2026-01-10,2026-06-01,625000"
Fernando Dickes,Hamburger SV,GK,57,17,34,15,25,32,41,56,193,Left,2025-07-01,2028-06-01,475000
Hannes Hermann,Hamburger SV,GK,57,20,23,15,18,24,29,43,189,Right,2024-07-01,2027-06-01,375000
