player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Péter Gulácsi,RB Leipzig,GK,85,35,43,21,26,42,54,74,193,Right,2015-07-01,2026-06-01,7000000
Willi Orban,RB Leipzig,CB,84,32,57,39,48,61,84,85,186,Right,2015-07-01,2027-06-01,32500000
"David Raum,RB Leipzig,""LB LM"",83,27,86,61,81,79,81,77,181,Left,2022-07-31,2027-06-01,45000000"
"Castello Lukeba,RB Leipzig,""CB LB"",80,22,72,44,60,74,77,78,183,Left,2023-08-11,2029-06-01,52500000"
"Christoph Baumgartner,RB Leipzig,""CAM ST CM"",80,25,75,73,70,80,68,55,180,Right,2023-07-01,2028-06-01,31000000"
"Benjamin Henrichs,RB Leipzig,""RB RM LB"",80,28,74,58,73,75,74,74,185,Right,2021-04-12,2028-06-01,22500000"
"Nicolas Seiwald,RB Leipzig,""CDM CM CB"",79,24,72,62,72,75,78,74,180,Right,2023-07-01,2028-06-01,30000000"
"Ridle Baku,RB Leipzig,""RB RM RW"",79,27,82,70,72,80,77,74,176,Right,2025-01-10,2027-06-01,20000000"
"Xaver Schlager,RB Leipzig,""CDM CM"",79,27,69,69,71,76,76,77,174,Left,2022-07-01,2026-06-01,21000000"
"Johan Bakayoko,RB Leipzig,""RW RM"",78,22,85,70,69,79,62,68,179,Left,2025-07-16,2030-06-01,33500000"
"Rômulo,RB Leipzig,""ST LW CAM"",78,23,68,76,68,73,77,84,193,Right,2025-08-15,2030-06-01,25500000"
"Antonio Nusa,RB Leipzig,""LM CAM LW"",77,20,89,69,68,81,65,59,183,Right,2024-08-13,2029-06-01,27500000"
"Lukas Klostermann,RB Leipzig,""CB RB"",77,29,82,47,55,69,77,78,189,Right,2014-08-22,2028-06-01,11500000"
"Yan Diomande,RB Leipzig,""RW LW LM RM"",77,18,89,70,65,78,59,65,181,Right,2025-07-16,2030-06-01,26000000"
Maarten Vandevoordt,RB Leipzig,GK,76,23,40,16,38,44,43,59,192,Right,2024-07-01,2029-06-01,17000000
"Conrad Harder,RB Leipzig,""ST CAM LW CM"",75,20,75,74,65,72,78,81,185,Left,2025-09-01,2030-06-01,14500000"
El Chadaille Bitshiabu,RB Leipzig,CB,75,20,70,36,54,54,77,92,196,Left,2023-07-18,2029-06-01,15000000
"Brajan Gruda,RB Leipzig,""CAM RM CM"",74,21,76,72,70,77,65,62,178,Left,2024-08-14,2026-06-30,11000000"
"Assan Ouédraogo,RB Leipzig,""CM CAM"",73,19,76,64,64,79,69,77,191,Right,2024-07-01,2029-06-01,8500000"
"Ezechiel Banzuzi,RB Leipzig,""CM CDM"",72,20,67,59,60,66,74,74,191,Right,2025-06-01,2030-06-01,6500000"
"Kosta Nedeljković,RB Leipzig,""RB RM"",72,19,81,45,63,68,70,64,184,Right,2024-01-22,2026-06-30,5500000"
"Andrija Maksimović,RB Leipzig,""RW CAM RM"",71,18,71,69,72,71,56,65,182,Left,2025-07-16,2030-06-01,4700000"
"Tidiam Gomis,RB Leipzig,""LM RM ST LW"",69,18,85,59,58,72,52,54,183,Right,2025-02-03,2030-06-01,4200000"
"Max Finkgräfe,RB Leipzig,""LB LM"",69,21,75,45,60,71,66,67,183,Left,2025-07-03,2030-06-01,3500000"
Leopold Zingerle,RB Leipzig,GK,69,31,43,16,19,38,41,54,182,Right,2023-07-01,2026-06-01,875000
"Suleman Sani,RB Leipzig,""LW LM"",68,18,79,61,57,72,56,62,175,Right,2026-01-13,2031-06-01,3300000"
"Ayodele Thomas,RB Leipzig,""LW ST LM"",64,17,78,59,55,68,52,53,177,Right,2026-02-02,2031-06-01,1900000"
"Viggo Gebel,RB Leipzig,""CAM LM RM CM"",63,17,72,56,60,71,48,44,175,Right,2024-08-17,2028-06-01,1400000"
"Joyeux Masanka Bungi,RB Leipzig,""LM LW"",61,18,68,52,58,56,63,63,186,Left,2025-07-01,2027-06-01,975000"
"Jonathan Norbye,RB Leipzig,""CB LB"",61,18,46,31,40,50,65,86,194,Left,2024-05-17,2028-06-01,925000"
"Benno Kaltefleiter,RB Leipzig,""CDM CM"",59,17,58,44,53,55,59,60,189,Right,2025-12-20,2026-06-01,675000"
