player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Oliver Baumann,TSG 1899 Hoffenheim,GK,84,35,39,21,27,43,52,69,187,Right,2014-07-01,2028-06-01,5500000
"Andrej Kramarić,TSG 1899 Hoffenheim,""CAM CM"",81,34,68,84,78,83,74,68,177,Right,2015-01-16,2026-06-01,14500000"
Fisnik Asllani,TSG 1899 Hoffenheim,ST,78,22,67,75,60,75,74,77,191,Right,2021-11-20,2029-06-01,19500000
"Adam Hložek,TSG 1899 Hoffenheim,""ST RM CAM RW"",77,22,78,76,71,75,79,83,188,Right,2024-08-17,2029-06-01,20000000"
Vladimír Coufal,TSG 1899 Hoffenheim,RB,77,32,71,60,71,71,74,68,175,Right,2025-08-05,2026-06-01,8500000
"Tim Lemperle,TSG 1899 Hoffenheim,""ST RW CAM"",77,23,76,70,61,73,76,75,187,Right,2025-07-01,2029-06-01,13000000"
"Wouter Burger,TSG 1899 Hoffenheim,""CDM CM"",76,24,75,60,70,69,81,81,191,Left,2025-07-22,2030-06-01,11000000"
Koki Machida,TSG 1899 Hoffenheim,CB,76,27,78,38,50,56,82,88,190,Left,2025-07-01,2028-06-01,8000000
"Grischa Prömel,TSG 1899 Hoffenheim,""CM CDM"",76,30,62,70,66,72,80,76,184,Right,2022-07-01,2026-06-01,8500000"
Ozan Kabak,TSG 1899 Hoffenheim,CB,75,25,60,37,51,66,80,82,186,Right,2022-07-23,2026-06-01,8000000
"Bernardo,TSG 1899 Hoffenheim,""LB CB CDM"",75,30,69,56,61,69,77,73,186,Left,2025-07-01,2028-06-01,5500000"
Haris Tabaković,TSG 1899 Hoffenheim,ST,75,31,60,72,47,68,79,87,194,Right,2024-08-23,2026-06-30,5500000
"Bazoumana Touré,TSG 1899 Hoffenheim,""LM CAM LW"",75,19,91,59,61,76,54,50,175,Left,2025-02-01,2029-06-01,14500000"
"Leon Avdullahu,TSG 1899 Hoffenheim,""CDM CM CB"",74,21,61,55,73,69,69,68,185,Right,2025-07-01,2028-06-01,7500000"
Robin Hranáč,TSG 1899 Hoffenheim,CB,74,25,75,40,44,54,77,84,189,Right,2024-08-25,2028-06-01,5500000
"Alexander Prass,TSG 1899 Hoffenheim,""LB LM CM"",74,24,75,65,72,75,74,73,180,Left,2024-08-05,2028-06-01,6500000"
"Albian Hajdari,TSG 1899 Hoffenheim,""CB LB CDM"",74,22,60,33,46,55,79,82,189,Left,2025-08-25,2029-06-01,7000000"
"Valentin Gendrey,TSG 1899 Hoffenheim,""RB RM"",74,25,76,38,56,69,75,70,179,Right,2024-08-27,2028-06-01,6500000"
"Ihlas Bebou,TSG 1899 Hoffenheim,""ST RW RM"",74,31,82,73,63,75,58,68,185,Right,2019-07-01,2026-06-01,4200000"
Arthur Chaves,TSG 1899 Hoffenheim,CB,74,24,78,36,44,58,76,70,188,Right,2024-08-31,2026-06-30,7000000
"Kevin Akpoguma,TSG 1899 Hoffenheim,""CB RB"",73,30,76,47,51,64,74,80,192,Right,2013-07-01,2026-06-01,2900000"
"Muhammed Damar,TSG 1899 Hoffenheim,""CAM LM CM"",72,21,68,66,69,73,60,63,185,Right,2022-07-07,2029-06-01,6000000"
"Stanley Nsoki,TSG 1899 Hoffenheim,""CB LB"",71,26,77,40,56,65,77,78,184,Left,2022-08-03,2026-06-30,2900000"
Max Moerstedt,TSG 1899 Hoffenheim,ST,70,19,61,66,45,61,62,67,194,Right,2024-02-01,2027-06-01,3900000
Luca Philipp,TSG 1899 Hoffenheim,GK,68,24,27,14,19,27,35,50,192,Right,2020-07-31,2026-06-01,1600000
"Cole Campbell,TSG 1899 Hoffenheim,""RM RW"",67,19,89,56,56,71,44,36,170,Left,2024-07-09,2026-06-30,2900000"
Yannick Eduardo,TSG 1899 Hoffenheim,ST,67,19,69,65,48,59,70,75,193,Left,2026-02-02,2028-06-01,2900000
"Deniz Zeitler,TSG 1899 Hoffenheim,""ST LW"",65,18,77,58,50,64,57,60,180,Right,2025-07-10,2027-06-01,2000000"
"Luca Erlein,TSG 1899 Hoffenheim,""RB CB"",65,17,60,38,46,52,65,69,190,Right,2025-10-28,2026-06-01,1800000"
"Luis Engelns,TSG 1899 Hoffenheim,""CM RM CDM"",65,18,62,52,56,63,64,56,188,Right,2026-02-02,2027-06-01,2000000"
"Luka Đurić,TSG 1899 Hoffenheim,""CM CDM"",64,22,63,52,56,57,62,59,180,Right,2025-07-01,2026-06-01,1100000"
Hennes Behrens,TSG 1899 Hoffenheim,LB,66,20,65,35,47,62,57,50,175,Left,2025-01-23,2026-06-30,1400000
Lúkas Petersson,TSG 1899 Hoffenheim,GK,63,21,34,15,22,28,46,66,195,Right,2024-07-01,2027-06-01,975000
"Florian Micheler,TSG 1899 Hoffenheim,""CM CAM CDM"",61,20,58,54,60,63,53,59,185,Right,2024-08-16,2027-06-01,925000"
Kelven Frees,TSG 1899 Hoffenheim,CB,60,20,59,26,31,41,67,85,203,Right,2025-07-01,2029-06-01,600000
