player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Victor Boniface,Werder Bremen,ST,80,24,67,80,64,75,78,90,190,Right,2023-07-22,2026-06-30,36000000
"Jens Stage,Werder Bremen,""CM CDM"",79,28,65,72,70,76,83,78,185,Right,2022-07-01,2028-06-01,20500000"
"Romano Schmid,Werder Bremen,""CAM CM RM"",78,25,77,65,75,83,59,49,168,Right,2019-01-03,2026-06-01,22000000"
"Mitchell Weiser,Werder Bremen,""RB RM"",78,31,78,64,70,81,74,64,177,Right,2022-07-15,2026-06-01,12000000"
"Marco Friedl,Werder Bremen,""CB LB"",77,27,75,47,58,69,78,77,187,Left,2019-05-29,2027-06-01,13500000"
"Senne Lynen,Werder Bremen,""CDM CM CB"",76,26,67,60,70,68,77,75,185,Right,2023-08-08,2029-06-01,10500000"
"Puertas,Werder Bremen,""CAM CM RM"",76,26,74,74,77,76,76,73,178,Right,2024-08-26,2026-06-30,10500000"
Amos Pieper,Werder Bremen,CB,76,27,66,35,48,58,74,78,192,Right,2022-07-01,2029-06-01,9500000
"Marco Grüll,Werder Bremen,""LM ST RM LW"",75,26,79,73,70,74,68,72,182,Right,2024-07-01,2027-06-01,7000000"
"Felix Agu,Werder Bremen,""LB LM"",75,25,91,55,60,76,70,54,180,Right,2020-07-01,2027-06-01,8000000"
"Yukinari Sugawara,Werder Bremen,""RB RM"",75,25,75,56,74,73,72,67,178,Right,2024-07-14,2026-06-30,8500000"
"Maximilian Wöber,Werder Bremen,""CB LB CDM"",75,27,64,53,66,64,75,79,188,Left,2023-01-03,2026-06-30,6500000"
Mio Backhaus,Werder Bremen,GK,74,21,24,14,21,34,38,56,194,Right,2022-04-03,2027-06-01,9500000
Niklas Stark,Werder Bremen,CB,74,30,79,49,55,67,77,81,190,Right,2022-07-01,2027-06-01,4100000
"Samuel Mbangula,Werder Bremen,""LM LW"",74,21,79,71,67,73,59,46,179,Right,2025-07-23,2030-06-01,11000000"
"Justin Njinmah,Werder Bremen,""ST RM RW"",73,24,88,72,61,73,62,62,184,Right,2022-01-05,2027-06-01,5500000"
Karl Hein,Werder Bremen,GK,73,23,36,16,25,31,45,62,193,Right,2019-05-09,2026-06-30,7000000
"Leonardo Bittencourt,Werder Bremen,""CAM CM"",73,31,74,69,71,79,62,46,171,Right,2020-07-01,2026-06-01,3000000"
"Isaac Schmidt,Werder Bremen,""LB RB LM"",72,25,87,54,55,75,68,60,172,Right,2024-08-30,2026-06-30,3400000"
"Olivier Deman,Werder Bremen,""LB LM CM"",71,25,65,61,66,70,74,66,181,Left,2023-08-31,2026-06-01,2700000"
"Julián Malatini,Werder Bremen,""CB RB"",69,24,71,39,53,65,74,75,191,Right,2024-01-16,2028-06-01,3100000"
"Karim Coulibaly,Werder Bremen,""CB CDM"",69,18,65,33,44,60,65,67,191,Left,2025-03-01,2029-06-01,3600000"
Keke Topp,Werder Bremen,ST,68,21,60,66,45,60,73,88,192,Right,2024-07-01,2028-06-01,3500000
Markus Kolke,Werder Bremen,GK,67,34,44,23,18,36,52,75,187,Right,2024-07-01,2026-06-01,210000
"Patrice Čović,Werder Bremen,""CAM RM CM"",67,18,70,56,62,71,41,30,182,Right,2024-12-21,2029-06-01,2800000"
Jovan Milošević,Werder Bremen,ST,66,19,55,65,51,59,67,76,190,Right,2023-07-01,2026-06-30,2200000
Salim Musah,Werder Bremen,ST,61,19,67,60,48,54,62,69,198,Right,2025-07-06,2029-06-01,1000000
"Wesley Adeh,Werder Bremen,""CM CDM"",60,18,64,49,55,59,56,50,187,Right,2024-10-06,2028-06-01,725000"
Stefan Smarkalev,Werder Bremen,GK,59,18,34,14,19,30,41,61,188,Right,2025-07-01,2027-06-01,600000
Mick Schmetgens,Werder Bremen,CB,59,17,55,36,38,42,58,69,190,Right,2025-02-07,2026-06-01,625000
