player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Evanilson,AFC Bournemouth,ST,80,25,76,78,63,76,78,78,183,Right,2024-08-16,2029-06-01,31500000
Marcos Senesi,AFC Bournemouth,CB,80,28,55,49,66,72,78,79,185,Left,2022-08-08,2026-06-01,21500000
Đorđe Petrović,AFC Bournemouth,GK,79,25,42,19,30,47,51,73,194,Right,2025-07-16,2030-06-01,22500000
Bafodé Diakité,AFC Bournemouth,CB,79,24,72,48,60,71,81,80,184,Right,2025-08-13,2030-06-01,28500000
Justin Kluivert,AFC Bournemouth,CAM LM CM,79,26,88,78,74,80,66,53,172,Right,2023-07-01,2028-06-01,25500000
Tyler Adams,AFC Bournemouth,CDM CM,79,26,80,57,67,78,78,69,175,Right,2023-08-20,2028-06-01,23000000
Alex Scott,AFC Bournemouth,CDM CM CAM,78,21,71,65,76,81,72,65,178,Right,2023-08-10,2028-06-01,24500000
Adrien Truffert,AFC Bournemouth,LB LM,78,23,76,59,68,74,72,65,176,Left,2025-07-01,2030-06-01,22000000
Marcus Tavernier,AFC Bournemouth,LM RM CAM LW,78,26,83,74,75,78,69,62,178,Left,2022-08-01,2029-06-01,19500000
Lewis Cook,AFC Bournemouth,CDM RB CM,78,28,69,62,75,77,72,64,175,Right,2016-07-08,2028-06-01,14500000
Ryan Christie,AFC Bournemouth,CDM CM,78,30,70,69,75,78,76,69,178,Left,2021-08-31,2027-06-01,14000000
Eli Junior Kroupi,AFC Bournemouth,ST CAM,77,19,81,78,66,77,63,55,179,Right,2025-02-03,2030-06-01,27000000
Amine Adli,AFC Bournemouth,ST LM CAM,77,25,85,73,67,80,74,67,174,Left,2025-08-21,2030-06-01,17500000
Enes Ünal,AFC Bournemouth,ST,77,28,66,78,69,72,75,77,187,Right,2024-06-14,2028-06-01,12500000
Álex Jiménez,AFC Bournemouth,RB RM,76,20,84,55,66,75,62,46,171,Right,2023-07-01,2026-06-30,16500000
David Brooks,AFC Bournemouth,RM RW,76,27,72,69,75,77,62,58,178,Left,2018-07-01,2029-06-01,9500000
Rayan,AFC Bournemouth,RM ST RW,76,18,83,76,72,74,77,80,185,Left,2026-01-27,2031-06-01,18500000
Christos Mandas,AFC Bournemouth,GK,74,23,24,17,21,34,33,45,189,Right,2023-09-01,2026-06-30,6500000
James Hill,AFC Bournemouth,CB RB,73,23,67,40,53,64,73,75,184,Right,2022-01-05,2029-06-01,4600000
Adam Smith,AFC Bournemouth,RB RM,73,34,60,59,68,70,68,68,180,Right,2014-01-28,2026-06-01,1300000
Fraser Forster,AFC Bournemouth,GK,72,37,28,22,27,41,55,80,201,Right,2026-01-02,2026-06-01,300000
Alex Tóth,AFC Bournemouth,CM CDM,72,19,69,65,75,67,65,58,181,Right,2026-01-20,2031-06-01,6500000
Ben Gannon-Doak,AFC Bournemouth,RM RW,71,19,90,61,62,76,62,57,175,Right,2025-08-18,2030-06-01,5000000
Veljko Milosavljević,AFC Bournemouth,CB,71,18,53,40,50,55,73,83,192,Right,2025-09-01,2030-06-01,4800000
Julio Soler,AFC Bournemouth,LB LM,68,20,75,48,57,66,63,55,175,Left,2025-01-07,2029-06-01,3000000
Owen Bevan,AFC Bournemouth,CB,62,21,60,34,39,52,62,71,186,Right,2021-03-01,2028-06-01,975000
Remy Rees-Dottin,AFC Bournemouth,ST,60,19,74,60,43,62,55,52,174,Right,2025-07-01,2026-06-01,700000
Matai Akinmboni,AFC Bournemouth,CB,57,18,54,27,34,48,61,72,190,Left,2025-01-04,2030-06-01,475000
