player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Gabriel,Arsenal,CB,89,27,64,46,58,65,84,89,190,Left,2020-09-01,2029-06-01,122500000
Bukayo Saka,Arsenal,RW RM,88,23,84,83,83,87,75,71,178,Left,2018-09-14,2027-06-01,140000000
William Saliba,Arsenal,CB,88,24,77,42,61,70,83,88,192,Right,2019-07-25,2030-06-01,124500000
Declan Rice,Arsenal,CDM CM,88,26,72,72,85,78,86,79,188,Right,2023-07-15,2028-06-01,113000000
David Raya,Arsenal,GK,87,29,62,27,40,55,41,38,183,Right,2024-07-04,2028-06-01,64000000
Viktor Gyökeres,Arsenal,ST,86,27,86,85,71,78,89,91,189,Right,2025-07-26,2030-06-01,94000000
Martin Ødegaard,Arsenal,CM CAM,86,26,68,78,87,86,67,55,178,Left,2021-08-20,2028-06-01,94000000
Zubimendi,Arsenal,CDM CM,85,26,67,69,77,81,77,67,181,Right,2025-07-06,2030-06-01,70500000
Jurriën Timber,Arsenal,RB LB CB RM,84,24,76,51,69,79,82,82,179,Right,2023-07-14,2028-06-01,63000000
Eberechi Eze,Arsenal,CAM CM LW,84,27,74,80,81,87,68,68,178,Right,2025-08-23,2029-06-01,57500000
Piero Hincapié,Arsenal,CB LB,83,23,84,41,59,74,84,77,184,Left,2021-08-16,2026-06-30,61500000
Benjamin White,Arsenal,RB RM,83,27,70,36,66,75,80,77,186,Right,2021-07-30,2028-06-01,41500000
Mikel Merino,Arsenal,CM ST CDM,83,29,64,75,78,76,82,78,189,Left,2024-08-27,2028-06-01,41500000
Leandro Trossard,Arsenal,LW ST LM,83,30,81,80,79,85,63,55,172,Right,2023-01-20,2027-06-01,41500000
Kai Havertz,Arsenal,ST CM CAM,82,26,72,81,75,75,75,75,193,Left,2023-06-28,2028-06-01,45000000
Riccardo Calafiori,Arsenal,LB CB CDM,81,23,73,67,73,75,82,78,188,Left,2024-07-29,2029-06-01,40500000
Gabriel Martinelli,Arsenal,LW LM,81,24,91,75,73,82,77,63,178,Right,2019-07-02,2027-06-01,41500000
Noni Madueke,Arsenal,RW RM,80,23,89,75,72,81,71,67,182,Left,2025-07-18,2030-06-01,35500000
Gabriel Jesus,Arsenal,ST CAM,80,28,82,78,71,84,74,65,175,Right,2022-07-04,2027-06-01,25500000
Christian Nørgaard,Arsenal,CDM CM,80,31,50,63,73,72,78,78,187,Right,2025-07-10,2027-06-01,17500000
Kepa,Arsenal,GK,79,30,40,21,38,46,43,55,189,Right,2025-07-01,2028-06-01,14000000
Myles Lewis-Skelly,Arsenal,LB CM,78,18,77,62,70,77,79,79,178,Left,2023-10-05,2030-06-01,33500000
Cristhian Mosquera,Arsenal,CB,77,21,74,43,51,65,79,74,191,Right,2025-07-24,2030-06-01,26000000
Reiss Nelson,Arsenal,RM LM RW,75,25,77,65,69,75,54,53,175,Right,2016-12-23,2026-06-30,8000000
