player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Youri Tielemans,Aston Villa,CM CDM CAM,85,28,53,79,84,80,72,69,176,Right,2023-07-01,2027-06-01,63500000
Emiliano Martínez,Aston Villa,GK,85,32,56,27,42,53,59,78,195,Right,2020-09-16,2029-06-01,31500000
Boubacar Kamara,Aston Villa,CDM CM,84,25,64,55,71,78,80,79,184,Right,2022-07-01,2030-06-01,56000000
Ezri Konsa,Aston Villa,CB,84,27,75,52,66,76,82,80,183,Right,2019-07-11,2028-06-01,50000000
Morgan Rogers,Aston Villa,CAM LM CM,83,22,77,76,78,82,78,80,187,Right,2024-02-01,2031-06-01,59500000
Ollie Watkins,Aston Villa,ST,82,29,77,81,70,77,82,76,180,Right,2020-09-09,2028-06-01,36000000
Amadou Onana,Aston Villa,CDM CM,81,23,73,61,68,70,82,84,195,Right,2024-07-22,2029-06-01,37500000
Matty Cash,Aston Villa,RB RM,81,27,75,63,71,75,78,68,185,Right,2020-09-03,2029-06-01,29500000
John McGinn,Aston Villa,RM LM CAM RB,81,30,69,74,76,80,83,79,178,Left,2018-08-08,2028-06-01,29500000
Pau Torres,Aston Villa,CB,80,28,67,46,72,69,75,73,191,Left,2023-07-12,2028-06-01,21500000
Lucas Digne,Aston Villa,LB LM,80,31,69,70,80,77,76,69,178,Left,2022-01-13,2028-06-01,18000000
Ian Maatsen,Aston Villa,LB LM,79,23,88,62,72,81,67,52,178,Left,2024-06-28,2029-06-01,29000000
Douglas Luiz,Aston Villa,CDM CM,79,27,68,78,81,79,72,65,175,Right,2024-07-01,2026-06-30,19500000
Jadon Sancho,Aston Villa,LM RM LW,79,25,79,73,75,85,54,58,180,Right,2021-07-23,2026-06-30,26000000
Evann Guessand,Aston Villa,RM RW ST,78,24,83,73,68,75,77,84,188,Right,2025-08-08,2026-06-30,25000000
Harvey Elliott,Aston Villa,CAM CM RW,78,22,73,71,74,82,54,34,168,Left,2019-07-28,2026-06-30,25500000
Leon Bailey,Aston Villa,RM RW,78,27,88,74,73,82,64,61,178,Left,2021-08-04,2027-06-01,17500000
Emiliano Buendía,Aston Villa,LM CAM LW,78,28,67,74,78,83,71,63,172,Right,2021-06-10,2027-06-01,16500000
Tyrone Mings,Aston Villa,CB,78,32,58,45,61,60,76,85,196,Left,2019-07-08,2027-06-01,11000000
Marco Bizot,Aston Villa,GK,78,34,46,24,29,43,50,63,193,Right,2025-07-15,2027-06-01,2800000
Tammy Abraham,Aston Villa,ST,77,27,76,77,61,71,75,81,194,Right,2026-01-27,2030-06-01,13500000
Ross Barkley,Aston Villa,CM CAM CDM,77,31,53,75,76,73,68,70,189,Right,2024-07-01,2027-06-01,10000000
Victor Lindelöf,Aston Villa,CB,76,30,51,53,68,68,69,76,187,Right,2025-09-01,2027-06-01,7000000
Lamare Bogarde,Aston Villa,CDM CM RB,74,21,67,54,62,68,70,70,183,Right,2021-01-12,2028-06-01,9500000
Andrés García,Aston Villa,RB RM,73,22,77,65,66,70,66,63,183,Right,2025-01-21,2029-06-01,7500000
Alysson,Aston Villa,RM RW,70,19,79,61,63,71,62,60,184,Left,2026-01-01,2031-06-01,4500000
Bradley Burrowes,Aston Villa,RM ST RW,65,17,86,61,57,68,58,56,179,Right,2024-07-01,2026-06-01,2100000
Brian Madjo,Aston Villa,ST,64,16,70,64,45,54,67,91,193,Right,2026-01-12,2031-06-01,1700000
Zépiqueno Redmond,Aston Villa,ST RM LM,64,19,79,62,50,65,53,58,184,Right,2025-07-01,2029-06-01,1800000
George Hemmings,Aston Villa,CDM CM CAM,61,18,70,48,58,66,60,65,182,Left,2025-07-01,2029-06-01,925000
Kerr Smith,Aston Villa,CB,58,20,64,30,36,51,65,74,188,Right,2022-01-14,2026-06-01,500000
