player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Mikkel Damsgaard,Brentford,CAM CM,80,24,68,72,81,82,68,62,180,Right,2022-08-10,2030-06-01,34000000
Michael Kayode,Brentford,RB RM,79,20,83,47,64,75,76,70,179,Right,2025-06-01,2030-06-01,28500000
Igor Thiago,Brentford,ST,79,24,67,79,54,70,82,87,191,Right,2024-07-01,2029-06-01,30000000
Nathan Collins,Brentford,CB,79,24,62,31,50,63,81,83,193,Right,2023-07-04,2029-06-01,25500000
Caoimhin Kelleher,Brentford,GK,79,26,42,19,32,50,45,71,188,Right,2025-06-03,2030-06-01,21000000
Jordan Henderson,Brentford,CDM CM,79,35,65,72,79,73,77,77,182,Right,2025-07-15,2027-06-01,6000000
Kevin Schade,Brentford,LM LW ST,78,23,93,73,67,77,77,73,185,Right,2023-07-01,2028-06-01,25000000
Mathias Jensen,Brentford,CM CDM,78,29,64,65,77,77,71,68,180,Right,2019-07-10,2026-06-01,16000000
Yehor Yarmoliuk,Brentford,CDM CM,77,21,67,63,71,74,72,68,180,Right,2022-07-14,2031-06-01,18500000
Dango Ouattara,Brentford,RM LM ST RW,77,23,85,67,68,76,68,65,177,Left,2025-08-16,2030-06-01,18000000
Sepp van den Berg,Brentford,CB,77,23,72,39,54,67,77,79,192,Right,2024-08-22,2029-06-01,18000000
Vitaly Janelt,Brentford,CDM CM,77,27,60,69,69,72,76,76,184,Left,2020-10-03,2030-06-01,12500000
Keane Lewis-Potter,Brentford,LB LM RM,76,24,78,65,70,78,68,55,170,Right,2022-07-12,2031-06-01,11000000
Ethan Pinnock,Brentford,CB,76,32,59,38,50,61,74,80,194,Left,2019-07-02,2027-06-01,5500000
Rico Henry,Brentford,LB LM,76,27,84,44,56,77,70,64,170,Left,2016-08-31,2026-06-01,8500000
Kristoffer Ajer,Brentford,CB RB LB RM,76,27,67,53,60,65,79,89,196,Right,2021-07-21,2030-06-01,9000000
Aaron Hickey,Brentford,RB LB RM,75,23,71,58,64,72,67,59,185,Right,2022-07-09,2026-06-01,9000000
Reiss Nelson,Brentford,RM LM RW,75,25,77,65,69,75,54,53,175,Right,2016-12-23,2026-06-30,8000000
Fábio Carvalho,Brentford,CAM CM,74,22,76,65,65,78,48,39,170,Right,2024-08-12,2029-06-01,11000000
Antoni Milambo,Brentford,CM CAM,73,20,74,66,67,75,65,60,179,Right,2025-07-03,2030-06-01,8500000
Josh Dasilva,Brentford,CM CDM,72,26,68,68,69,73,65,70,184,Left,2018-08-20,2026-06-01,3200000
Hákon Valdimarsson,Brentford,GK,69,23,20,21,33,34,40,50,195,Right,2024-01-26,2028-06-01,3200000
Romelle Donovan,Brentford,RM CAM RW,63,18,80,55,51,69,46,42,171,Left,2025-07-01,2030-06-01,1300000
Ellery Balcombe,Brentford,GK,63,25,39,19,22,35,45,64,190,Right,2016-10-17,2027-06-01,675000
Kaye Furo,Brentford,ST,63,18,71,60,50,58,67,75,190,Right,2026-01-11,2031-06-01,1600000
Julian Eyestone,Brentford,GK,58,19,25,15,18,29,39,59,200,Right,2025-07-04,2031-06-01,550000
