player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Kaoru Mitoma,Brighton & Hove Albion,LM LW,82,28,85,71,74,84,66,60,178,Right,2021-08-10,2027-06-01,36000000
Carlos Baleba,Brighton & Hove Albion,CDM CM,80,21,75,68,71,78,80,79,183,Left,2023-08-29,2028-06-01,36500000
Yankuba Minteh,Brighton & Hove Albion,RM RW,80,20,94,66,67,82,60,47,180,Left,2024-06-30,2029-06-01,38500000
Jan Paul van Hecke,Brighton & Hove Albion,CB,80,25,67,46,70,69,81,79,189,Right,2020-09-10,2027-06-01,29500000
Bart Verbruggen,Brighton & Hove Albion,GK,80,22,56,18,26,41,48,72,193,Right,2023-07-03,2028-06-01,32500000
Yasin Ayari,Brighton & Hove Albion,CDM CM,79,21,69,71,73,81,66,51,172,Right,2023-01-30,2027-06-01,30500000
Maxim De Cuyper,Brighton & Hove Albion,LB LM,79,24,77,74,79,79,77,67,182,Left,2025-07-05,2030-06-01,29000000
Ferdi Kadıoğlu,Brighton & Hove Albion,LB RB LM,79,25,85,66,72,80,67,58,174,Right,2024-08-27,2028-06-01,24000000
Danny Welbeck,Brighton & Hove Albion,ST,79,34,60,79,73,75,78,81,185,Right,2020-10-18,2026-06-01,10000000
Mats Wieffer,Brighton & Hove Albion,CDM RB CM,78,25,67,65,70,73,80,76,188,Right,2024-07-05,2029-06-01,21000000
Olivier Boscagli,Brighton & Hove Albion,CB,78,27,65,51,70,76,76,80,181,Left,2025-07-02,2030-06-01,17500000
Joël Veltman,Brighton & Hove Albion,RB,78,33,63,48,61,72,78,77,184,Right,2020-07-29,2026-06-01,8500000
Pascal Groß,Brighton & Hove Albion,CDM CM,78,34,39,74,83,77,72,71,181,Right,2026-01-02,2027-06-01,5500000
Georginio Rutter,Brighton & Hove Albion,CAM ST,77,23,77,74,74,79,76,76,182,Left,2024-08-19,2029-06-01,19500000
Matt O'Riley,Brighton & Hove Albion,CAM CM CDM,77,24,61,77,78,77,75,72,187,Left,2024-08-26,2029-06-01,18000000
Lewis Dunk,Brighton & Hove Albion,CB,77,33,37,49,65,60,76,84,192,Right,2010-04-30,2027-06-01,6000000
Jack Hinshelwood,Brighton & Hove Albion,CDM RB LB CM,76,20,67,63,73,74,75,69,181,Right,2022-07-01,2028-06-01,18500000
Diego Gómez,Brighton & Hove Albion,CDM CAM LM CM,76,22,69,72,70,74,75,75,183,Right,2025-01-01,2030-06-01,17000000
Facundo Buonanotte,Brighton & Hove Albion,CAM RM CM,75,20,76,65,71,77,55,52,174,Left,2023-01-01,2026-06-30,13000000
Igor Julio,Brighton & Hove Albion,CB LB,75,27,63,38,48,60,79,89,185,Left,2023-07-26,2027-06-01,7000000
Adam Webster,Brighton & Hove Albion,CB,75,30,53,29,50,67,72,79,191,Right,2019-08-03,2026-06-01,5500000
Solly March,Brighton & Hove Albion,RM RW,74,30,68,67,74,76,54,56,180,Left,2012-12-18,2026-06-01,4800000
Jason Steele,Brighton & Hove Albion,GK,73,34,39,22,34,45,47,55,188,Right,2018-06-21,2027-06-01,625000
James Milner,Brighton & Hove Albion,CDM CM RB,73,39,46,73,74,69,63,66,175,Right,2023-07-01,2026-06-01,700000
Charalampos Kostoulas,Brighton & Hove Albion,ST CAM RM,73,18,86,69,57,73,79,79,185,Right,2025-07-01,2030-06-01,8500000
Stefanos Tzimas,Brighton & Hove Albion,ST,72,19,77,68,50,69,74,76,186,Right,2025-02-03,2030-06-01,6000000
Tom McGill,Brighton & Hove Albion,GK,62,25,31,15,23,38,39,50,185,Right,2022-07-29,2027-06-01,550000
Nehemiah Oriola,Brighton & Hove Albion,LM RM LW,59,18,82,50,51,66,43,40,175,Left,2025-07-01,2026-06-01,675000
