player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Florentino,Burnley,CDM CM CB,79,25,55,50,58,73,79,78,184,Right,2017-07-01,2026-06-30,25000000
Martin Dúbravka,Burnley,GK,78,36,39,22,34,49,47,60,190,Right,2025-08-07,2026-06-01,425000
Kyle Walker,Burnley,RB RM,78,35,82,66,74,73,79,77,183,Right,2025-07-05,2027-06-01,5000000
Quilindschy Hartman,Burnley,LB LM,77,23,80,54,75,75,78,76,183,Left,2025-06-26,2029-06-01,18500000
Josh Cullen,Burnley,CDM CM,77,29,62,63,74,77,73,63,175,Right,2022-07-12,2027-06-01,10500000
Maxime Estève,Burnley,CB,76,23,75,39,51,64,82,85,193,Left,2024-07-01,2030-06-01,12500000
Zeki Amdouni,Burnley,ST CAM,75,24,71,73,67,75,70,73,185,Right,2023-07-19,2028-06-01,9500000
Lesley Ugochukwu,Burnley,CDM CM CAM,75,21,65,61,66,69,77,79,191,Right,2025-08-06,2030-06-01,12500000
Jaidon Anthony,Burnley,LM RM LW,75,25,79,67,69,75,67,64,183,Right,2025-06-01,2029-06-01,8000000
Marcus Edwards,Burnley,RM RW,75,26,83,67,68,80,50,39,168,Left,2025-07-01,2029-06-01,7000000
Connor Roberts,Burnley,RB CM,75,29,76,58,68,72,76,71,175,Right,2021-08-31,2027-06-01,6000000
James Ward-Prowse,Burnley,CM CDM CAM,75,30,43,74,83,74,63,48,177,Right,2023-08-14,2026-06-30,6500000
Lucas Pires,Burnley,LB,74,24,80,49,68,72,75,73,182,Left,2024-07-16,2028-06-01,6500000
Hannibal,Burnley,CM CAM,74,22,76,63,72,76,83,76,182,Right,2024-08-28,2028-06-01,11000000
Jordan Beyer,Burnley,CB,74,25,72,38,56,70,75,77,187,Right,2023-05-10,2027-06-01,6000000
Zian Flemming,Burnley,ST,74,26,70,75,72,71,80,80,185,Right,2025-07-01,2029-06-01,6000000
Jacob Bruun Larsen,Burnley,LM RM LW,74,26,79,71,70,73,69,68,183,Right,2025-07-11,2029-06-01,5500000
Bashir Humphreys,Burnley,LB CB RB CDM,73,22,73,43,62,70,76,76,187,Left,2025-07-01,2029-06-01,7500000
Mike Trésor,Burnley,LM CAM LW,73,26,81,68,73,75,57,52,172,Right,2023-09-01,2028-06-01,4200000
Lyle Foster,Burnley,ST LM CAM,73,24,81,70,58,69,75,77,185,Right,2023-01-25,2028-06-01,5500000
Axel Tuanzebe,Burnley,RB CB CDM,73,27,76,43,58,70,76,76,185,Right,2025-07-01,2027-06-01,3500000
Joe Worrall,Burnley,CB,73,28,48,28,44,52,74,83,190,Right,2024-08-22,2028-06-01,3100000
Josh Laurent,Burnley,CDM CM CB,73,30,78,59,62,70,87,87,188,Right,2024-08-30,2026-06-01,3000000
Loum Tchaouna,Burnley,RM ST RW,72,21,83,72,67,71,66,77,180,Left,2025-07-02,2029-06-01,5500000
Armando Broja,Burnley,ST,72,23,69,71,50,69,70,78,191,Right,2025-08-08,2030-06-01,4200000
Hjalmar Ekdal,Burnley,CB,72,26,53,34,45,65,74,81,188,Right,2023-01-21,2027-06-01,3000000
Ashley Barnes,Burnley,ST CAM CM,70,35,41,72,66,70,77,81,185,Right,2025-01-02,2026-06-01,800000
Václav Hladký,Burnley,GK,69,34,54,22,37,49,46,66,192,Right,2024-07-19,2026-06-01,275000
Max Weiß,Burnley,GK,68,21,35,15,23,35,42,62,190,Right,2025-06-25,2029-06-01,3100000
Enock Agyei,Burnley,RM RW,63,20,78,53,53,67,54,56,172,Left,2023-01-31,2027-06-01,1400000
Joe Bauress,Burnley,CM CDM,61,19,71,54,58,66,65,59,176,Right,2022-07-01,2026-06-01,925000
Logan Pye,Burnley,LB,58,21,76,38,52,62,55,52,178,Left,2023-07-01,2026-06-01,525000
Charlie Casper,Burnley,GK,56,20,31,14,18,30,36,52,185,Right,2023-07-01,2026-06-01,400000
