player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Moisés Caicedo,Chelsea,CDM CM,88,23,71,67,74,82,84,77,178,Right,2023-08-14,2031-06-01,126000000
Cole Palmer,Chelsea,CAM RM CM,86,23,76,83,85,85,67,60,185,Left,2023-09-01,2033-06-01,109500000
Enzo Fernández,Chelsea,CM CDM CAM,85,24,68,78,84,82,78,67,178,Right,2023-01-31,2032-06-01,86500000
Marc Cucurella,Chelsea,LB CM,85,26,78,64,77,81,83,70,174,Left,2022-08-05,2028-06-01,68500000
Reece James,Chelsea,RB CDM,83,25,76,71,83,77,82,87,180,Right,2017-03-01,2028-06-01,49500000
Pedro Neto,Chelsea,RM LM RW,82,25,91,75,76,83,72,65,174,Left,2024-08-11,2031-06-01,45000000
Robert Sánchez,Chelsea,GK,81,27,60,21,33,47,57,77,197,Right,2023-08-05,2030-06-01,26000000
Andrey Santos,Chelsea,CM CDM,80,21,74,66,69,77,83,75,180,Right,2023-01-06,2030-06-01,50500000
Levi Colwill,Chelsea,CB,80,22,70,44,65,71,81,79,187,Left,2020-02-26,2029-06-01,32500000
João Pedro,Chelsea,ST CAM,80,23,78,79,69,80,73,70,188,Right,2025-07-02,2032-06-01,36000000
Trevoh Chalobah,Chelsea,CB RB,80,25,66,53,65,69,78,83,192,Right,2016-06-29,2028-06-01,27500000
Malo Gusto,Chelsea,RB RM,79,22,84,52,72,78,76,68,178,Right,2023-01-29,2030-06-01,29500000
Wesley Fofana,Chelsea,CB,79,24,74,42,57,70,77,81,185,Right,2022-08-31,2029-06-01,25500000
Estêvão,Chelsea,RM CAM RW,79,18,90,74,74,84,61,49,176,Left,2025-07-14,2033-06-01,43500000
Jorrel Hato,Chelsea,LB CB CDM,78,19,86,43,63,77,76,73,182,Left,2025-08-03,2032-06-01,34000000
Alejandro Garnacho,Chelsea,LM LW,78,21,86,75,71,80,61,45,180,Right,2025-08-30,2032-06-01,26500000
Jamie Gittens,Chelsea,LM LW,78,20,92,70,63,82,60,54,179,Right,2025-07-05,2032-06-01,33000000
Romeo Lavia,Chelsea,CDM CM,78,21,70,53,69,77,75,77,181,Right,2023-08-18,2030-06-01,31500000
Liam Delap,Chelsea,ST,78,22,79,79,59,74,81,84,186,Right,2025-06-04,2031-06-01,34000000
Tosin Adarabioyo,Chelsea,CB,78,27,70,43,57,61,79,84,197,Right,2024-07-01,2028-06-01,17500000
Mamadou Sarr,Chelsea,CB,77,19,67,32,51,60,74,82,194,Right,2025-06-09,2033-06-01,22500000
Filip Jörgensen,Chelsea,GK,77,23,45,18,29,47,46,62,192,Right,2024-07-30,2031-06-01,16000000
Axel Disasi,Chelsea,CB RB,77,27,55,48,53,59,76,88,190,Right,2023-08-04,2026-06-30,12500000
Benoît Badiashile,Chelsea,CB,76,24,60,45,60,63,74,83,194,Left,2023-01-05,2030-06-01,11500000
Dário Essugo,Chelsea,CDM CM,75,20,76,59,59,74,80,83,178,Right,2025-06-10,2033-06-01,13500000
Josh Acheampong,Chelsea,CB RB CDM CM,73,19,76,52,62,68,74,76,190,Right,2024-01-03,2029-06-01,8000000
Marc Guiu,Chelsea,ST,71,19,76,68,52,68,76,76,187,Right,2024-07-01,2029-06-01,5500000
Tyrique George,Chelsea,LM RM ST LW,71,19,79,64,65,75,58,50,185,Right,2023-02-04,2026-06-30,5000000
Caleb Wiley,Chelsea,LB LM,68,20,76,51,59,70,64,62,180,Left,2024-07-22,2030-06-01,3300000
Gabriel Slonina,Chelsea,GK,68,21,45,17,23,42,52,70,193,Right,2022-08-02,2028-06-01,3100000
Teddy Sharman-Lowe,Chelsea,GK,64,22,40,17,25,38,43,62,193,Right,2020-09-05,2028-06-01,1300000
Kiano Dyer,Chelsea,CM CDM,63,18,73,49,60,71,59,46,178,Right,2023-07-01,2030-06-01,1600000
