player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Daniel Muñoz,Crystal Palace,RB RM,82,29,78,68,67,77,84,74,181,Right,2024-01-30,2028-06-01,31500000
Jean-Philippe Mateta,Crystal Palace,ST,82,28,75,83,67,73,81,88,192,Right,2022-01-31,2027-06-01,37000000
Dean Henderson,Crystal Palace,GK,82,28,56,17,31,51,50,64,188,Right,2023-08-31,2028-06-01,28500000
Adam Wharton,Crystal Palace,CDM CM,81,21,62,60,81,78,70,66,182,Left,2024-02-01,2029-06-01,45000000
Maxence Lacroix,Crystal Palace,CB,81,25,88,40,51,69,82,84,190,Right,2024-08-30,2029-06-01,33500000
Ismaïla Sarr,Crystal Palace,RW CAM RM,80,27,91,77,74,79,71,72,185,Right,2024-08-01,2029-06-01,26500000
Yeremy Pino,Crystal Palace,LW RW CAM LM,79,22,77,71,77,79,56,45,172,Right,2025-08-29,2030-06-01,46500000
Brennan Johnson,Crystal Palace,RW RM LM,79,24,86,75,67,77,62,52,186,Right,2026-01-02,2030-06-01,29500000
Chris Richards,Crystal Palace,CB,79,25,66,30,51,64,77,80,188,Right,2022-07-27,2027-06-01,23000000
Tyrick Mitchell,Crystal Palace,LB LM,79,25,75,45,65,75,73,65,175,Left,2017-07-01,2027-06-01,24000000
Walter Benítez,Crystal Palace,GK,79,32,37,23,25,45,54,80,191,Right,2025-07-01,2028-06-01,10500000
Evann Guessand,Crystal Palace,RM RW ST,78,24,83,73,68,75,77,84,188,Right,2025-08-08,2026-06-30,25000000
Cheick Doucouré,Crystal Palace,CDM CM,77,25,61,55,64,73,71,74,180,Right,2022-07-11,2029-06-01,13500000
Jørgen Strand Larsen,Crystal Palace,ST,77,25,75,76,59,68,82,86,194,Right,2026-02-02,2030-06-01,16500000
Daichi Kamada,Crystal Palace,CM CAM CDM,77,28,71,72,77,79,69,55,184,Right,2024-07-01,2026-06-01,12500000
Jefferson Lerma,Crystal Palace,CDM CM CB,77,30,68,70,68,73,83,74,179,Right,2023-07-01,2026-06-01,10500000
Will Hughes,Crystal Palace,CDM CM,77,30,51,64,75,74,69,60,185,Left,2021-08-28,2027-06-01,10500000
Christantus Uche,Crystal Palace,ST CAM CM,76,22,70,72,66,69,83,86,190,Right,2024-07-01,2026-06-30,20000000
Eddie Nketiah,Crystal Palace,ST,75,26,82,73,54,75,67,63,180,Right,2024-08-30,2029-06-01,9000000
Chadi Riad,Crystal Palace,CB,72,22,60,35,56,62,72,78,190,Left,2024-06-14,2029-06-01,6000000
Borna Sosa,Crystal Palace,LB LM,72,27,69,53,75,71,69,68,187,Left,2025-07-11,2028-06-01,2700000
Jaydee Canvot,Crystal Palace,CB CDM CM,72,18,73,35,50,57,76,83,188,Right,2025-09-01,2029-06-01,6000000
Justin Devenny,Crystal Palace,CM RW LM CDM,71,21,63,68,72,70,66,62,184,Left,2023-08-21,2027-06-01,4500000
Nathaniel Clyne,Crystal Palace,RB CB RM,70,34,59,58,63,68,59,58,175,Right,2020-10-14,2026-06-01,700000
Remi Matthews,Crystal Palace,GK,63,31,46,21,26,38,45,66,192,Right,2021-07-13,2027-06-01,300000
Rio Cardines,Crystal Palace,RB RM LB,62,19,75,47,60,61,61,57,175,Right,2025-07-01,2027-06-01,1100000
Caleb Kporha,Crystal Palace,RB RM,62,18,73,49,55,66,59,52,170,Right,2023-07-15,2029-06-01,1100000
Jemiah Umolu,Crystal Palace,ST,60,19,69,59,48,55,69,80,190,Left,2024-07-02,2026-06-01,625000
Kaden Rodney,Crystal Palace,CDM RB CM,59,20,60,44,53,57,55,56,189,Right,2024-07-01,2026-06-01,550000
