player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Jordan Pickford,Everton,GK,84,31,52,31,40,54,58,72,185,Left,2017-06-15,2029-06-01,26500000
Iliman Ndiaye,Everton,RM LM RW,82,25,87,77,71,84,66,66,180,Right,2024-07-03,2029-06-01,47500000
Jack Grealish,Everton,LM LW,82,29,73,73,81,85,67,67,180,Right,2021-08-05,2026-06-30,35500000
James Garner,Everton,CDM CM,80,24,59,71,80,74,75,70,182,Right,2022-09-01,2030-06-01,32500000
James Tarkowski,Everton,CB,80,32,45,49,61,62,81,86,188,Right,2022-07-02,2028-06-01,16000000
Jarrad Branthwaite,Everton,CB,79,23,70,39,48,60,77,82,195,Left,2020-01-13,2030-06-01,29500000
Idrissa Gueye,Everton,CDM CM,79,35,61,57,69,76,75,58,174,Right,2022-09-01,2026-06-01,6000000
Kiernan Dewsbury-Hall,Everton,CAM CM,78,26,68,73,77,78,72,66,176,Left,2025-08-06,2030-06-01,19500000
Vitaliy Mykolenko,Everton,LB LM,77,26,74,59,67,71,71,69,180,Left,2022-01-01,2026-06-01,13500000
Dwight McNeil,Everton,LM CAM RM LW,77,25,68,73,78,76,66,64,183,Left,2022-07-28,2027-06-01,15000000
Thierno Barry,Everton,ST,76,22,80,74,61,73,73,79,195,Right,2025-07-09,2029-06-01,20000000
Tim Iroegbunam,Everton,CDM CM,76,22,66,58,63,72,73,73,183,Right,2024-06-22,2027-06-01,12000000
Jake O'Brien,Everton,RB CB,76,24,77,51,63,59,80,85,197,Right,2024-07-30,2028-06-01,12500000
Beto,Everton,ST,76,27,74,75,56,63,81,91,194,Right,2023-08-29,2027-06-01,9500000
Michael Keane,Everton,CB,76,32,40,55,57,60,73,84,191,Right,2017-07-03,2026-06-01,5500000
Carlos Alcaraz,Everton,CAM CM,75,22,81,68,71,77,70,57,176,Right,2025-07-01,2027-06-01,13500000
Tyler Dibling,Everton,RM CAM RW,74,19,77,65,68,76,64,70,186,Left,2025-08-25,2029-06-01,10500000
Merlin Röhl,Everton,CAM CM CDM ST,74,22,81,64,62,73,72,71,192,Right,2022-08-17,2026-06-30,11000000
Mark Travers,Everton,GK,72,26,40,20,31,39,44,60,191,Right,2025-07-15,2029-06-01,2800000
Harrison Armstrong,Everton,CM CDM,72,18,69,61,65,70,74,69,185,Right,2024-07-01,2027-06-01,6500000
Nathan Patterson,Everton,RB RM,71,23,71,46,61,69,69,68,183,Right,2022-01-04,2027-06-01,3100000
Tyrique George,Everton,LM RM ST LW,71,19,79,64,65,75,58,50,185,Right,2023-02-04,2026-06-30,5000000
Séamus Coleman,Everton,RB RM,70,36,51,65,67,69,61,67,177,Right,2009-02-02,2026-06-01,425000
Adam Aznou,Everton,LB CM,66,19,80,52,56,67,52,47,178,Left,2025-07-29,2029-06-01,2500000
Tom King,Everton,GK,64,30,42,21,25,38,49,73,194,Right,2025-08-15,2027-06-01,450000
