player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Antonee Robinson,Fulham,LB LM,82,27,88,50,71,76,82,73,183,Left,2020-08-20,2028-06-01,34500000
Samuel Chukwueze,Fulham,RM RW,80,26,89,71,71,81,58,58,172,Left,2023-07-27,2026-06-30,27000000
Alex Iwobi,Fulham,LM RM LW,80,29,76,74,75,80,72,72,180,Right,2023-09-01,2028-06-01,24500000
Bernd Leno,Fulham,GK,80,33,53,20,30,48,53,70,189,Right,2022-08-02,2027-06-01,8000000
Sander Berge,Fulham,CDM CM,79,27,60,62,71,65,82,89,195,Right,2024-08-22,2029-06-01,21000000
Joachim Andersen,Fulham,CB,79,29,44,55,69,65,80,87,192,Right,2024-08-23,2029-06-01,17500000
Calvin Bassey,Fulham,CB,78,25,81,48,59,69,85,88,185,Left,2023-07-28,2027-06-01,19500000
Saša Lukić,Fulham,CDM CM,78,28,70,67,75,72,79,75,182,Right,2023-01-31,2027-06-01,14500000
Harry Wilson,Fulham,RM CAM RW,78,28,77,79,79,80,60,53,173,Left,2021-07-24,2026-06-01,16500000
Kenny Tete,Fulham,RB,78,29,75,48,63,71,79,76,180,Right,2020-09-10,2028-06-01,14500000
Emile Smith Rowe,Fulham,CAM CM LM,77,24,73,70,73,78,63,61,182,Right,2024-08-02,2029-06-01,18000000
Ryan Sessegnon,Fulham,LB CM,77,25,79,67,69,77,69,62,178,Left,2024-07-26,2026-06-01,14500000
Raúl Jiménez,Fulham,ST,77,34,58,79,73,72,79,85,190,Right,2023-07-25,2026-06-01,6000000
Oscar Bobb,Fulham,RM LM RW,76,21,82,65,71,79,47,34,175,Left,2026-01-30,2031-06-01,20000000
Rodrigo Muniz,Fulham,ST,76,24,68,75,56,72,78,78,186,Right,2021-08-20,2026-06-01,13500000
Issa Diop,Fulham,CB,76,28,56,41,46,56,77,87,194,Right,2022-08-10,2027-06-01,8500000
Kevin,Fulham,LM LW RW,76,22,83,69,70,77,63,56,176,Right,2025-09-01,2030-06-01,13500000
Jorge Cuenca,Fulham,CB,75,25,71,39,50,61,74,75,190,Left,2024-08-03,2028-06-01,8500000
Timothy Castagne,Fulham,RB RM,75,29,68,55,63,70,73,66,185,Right,2023-08-29,2027-06-01,6000000
Benjamin Lecomte,Fulham,GK,74,34,41,20,27,39,47,68,186,Left,2025-07-26,2027-06-01,850000
Tom Cairney,Fulham,CM CDM CAM,74,34,52,71,76,73,61,68,185,Left,2015-06-26,2027-06-01,2300000
Josh King,Fulham,CAM CM,74,18,75,64,70,76,60,54,173,Right,2024-01-16,2029-06-01,10500000
Harrison Reed,Fulham,CDM CM,72,30,54,57,69,69,63,66,176,Right,2020-08-31,2027-06-01,2300000
Steven Benda,Fulham,GK,68,26,37,15,19,32,43,53,192,Right,2023-08-30,2026-06-01,1400000
Jonah Kusi-Asare,Fulham,ST,62,17,63,57,38,62,65,77,196,Right,2024-12-07,2026-06-30,1500000
Devan Tanton,Fulham,RB,59,21,68,37,43,58,64,64,175,Right,2022-07-01,2026-06-01,575000
Matt Dibley-Dias,Fulham,CM CDM,58,21,68,55,61,67,55,50,183,Right,2022-07-01,2027-06-01,550000
