player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Anton Stach,Leeds United,CM CDM CAM,78,26,70,69,77,69,81,81,194,Right,2025-07-22,2029-06-01,19500000
Lucas Perri,Leeds United,GK,78,27,34,21,34,36,56,81,197,Right,2025-07-26,2029-06-01,15000000
Jaka Bijol,Leeds United,CB,77,26,64,57,60,63,80,81,190,Right,2025-06-23,2030-06-01,13500000
Gabriel Gudmundsson,Leeds United,LB CB LM,77,26,87,62,67,74,76,73,180,Left,2025-07-08,2029-06-01,13500000
Ethan Ampadu,Leeds United,CDM CB CM,77,24,67,49,64,72,79,77,182,Right,2023-07-19,2027-06-01,15500000
Joe Rodon,Leeds United,CB,77,27,76,37,49,64,81,82,193,Right,2024-07-02,2028-06-01,12500000
Noah Okafor,Leeds United,ST LW CAM,76,25,86,75,71,77,69,79,185,Right,2025-08-21,2029-06-01,12000000
Pascal Struijk,Leeds United,CB,76,25,60,47,53,66,80,82,190,Left,2018-01-30,2027-06-01,10500000
Sean Longstaff,Leeds United,CM CDM,76,27,56,66,75,70,69,65,187,Right,2025-07-18,2029-06-01,9500000
Ao Tanaka,Leeds United,CDM CM,76,26,71,66,70,78,72,65,180,Right,2024-08-30,2028-06-01,10500000
Daniel James,Leeds United,RW RM,76,27,94,69,66,79,72,56,171,Right,2021-08-31,2029-06-01,9500000
Lukas Nmecha,Leeds United,ST,76,26,74,76,62,74,77,79,185,Right,2025-07-01,2027-06-01,10500000
Dominic Calvert-Lewin,Leeds United,ST,76,28,73,73,61,70,79,83,189,Right,2025-08-15,2028-06-01,9000000
Facundo Buonanotte,Leeds United,CAM RM CM,75,20,76,65,71,77,55,52,174,Left,2023-01-01,2026-06-30,13000000
Brenden Aaronson,Leeds United,RW CAM CM RM,75,24,80,66,69,77,64,53,177,Right,2022-07-01,2027-06-01,9000000
Joël Piroe,Leeds United,ST,75,25,64,76,61,71,70,78,185,Left,2023-08-24,2027-06-01,9000000
Jayden Bogle,Leeds United,RB RM,75,24,81,53,64,74,72,65,178,Right,2024-07-20,2028-06-01,9000000
James Justin,Leeds United,RB LB CM,75,27,78,53,67,69,72,70,183,Right,2025-08-25,2029-06-01,7000000
Wilfried Gnonto,Leeds United,LW LM RW,74,21,88,69,60,78,68,67,169,Right,2022-09-01,2028-06-01,11000000
Ilia Gruev,Leeds United,CDM CM,74,25,66,56,68,70,69,66,185,Left,2023-08-31,2027-06-01,6000000
Sebastiaan Bornauw,Leeds United,CB,74,26,69,42,54,58,75,81,191,Right,2025-07-01,2029-06-01,5500000
Karl Darlow,Leeds United,GK,73,34,57,21,28,50,47,62,190,Right,2023-07-29,2026-06-01,625000
Illan Meslier,Leeds United,GK,72,25,39,18,34,43,44,53,196,Left,2020-07-27,2026-06-01,2800000
Sam Byram,Leeds United,LB RB,72,31,72,54,59,70,70,71,183,Right,2023-08-05,2026-06-01,2000000
Alex Cairns,Leeds United,GK,63,32,49,20,28,39,37,39,183,Left,2024-07-08,2026-06-01,275000
Sam Chambers,Leeds United,CAM RM CM,62,17,74,55,56,63,50,52,183,Right,2025-07-01,2028-06-01,1200000
Charlie Crew,Leeds United,CDM CM,62,19,64,35,50,60,64,65,185,Right,2023-07-24,2028-06-01,1200000
