player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Mohamed Salah,Liverpool,RM RW,90,33,87,85,84,89,76,75,175,Left,2017-07-01,2027-06-01,88000000
Alisson,Liverpool,GK,89,32,55,25,40,50,55,78,193,Right,2018-07-19,2027-06-01,60000000
Virgil van Dijk,Liverpool,CB,89,33,72,59,69,72,86,93,195,Right,2018-01-01,2027-06-01,58000000
Florian Wirtz,Liverpool,CAM LM CM,88,22,81,79,85,88,69,59,177,Right,2025-06-20,2030-06-01,157500000
Alexander Isak,Liverpool,ST,87,25,83,87,71,82,78,79,192,Right,2025-09-01,2031-06-01,114000000
Ryan Gravenberch,Liverpool,CDM CM,86,23,76,73,79,83,81,80,190,Right,2023-09-01,2028-06-01,99000000
Alexis Mac Allister,Liverpool,CM CDM,86,26,66,82,84,85,78,69,176,Right,2023-06-14,2028-06-01,94000000
Hugo Ekitiké,Liverpool,ST CAM,85,23,86,80,66,83,78,70,190,Right,2025-07-23,2031-06-01,88000000
Ibrahima Konaté,Liverpool,CB,85,26,76,36,56,68,83,91,194,Right,2021-07-01,2026-06-01,69500000
Dominik Szoboszlai,Liverpool,CAM CM,85,24,79,83,85,81,78,69,186,Right,2023-07-02,2028-06-01,82500000
Giorgi Mamardashvili,Liverpool,GK,83,24,48,16,18,33,54,74,199,Left,2024-08-27,2030-06-01,45500000
Jeremie Frimpong,Liverpool,RB RM RW,83,24,94,61,70,84,69,47,172,Right,2025-06-01,2030-06-01,51000000
Cody Gakpo,Liverpool,LM LW,83,26,84,80,80,80,76,75,193,Right,2023-01-03,2030-06-01,50500000
Milos Kerkez,Liverpool,LB LM,81,21,88,61,72,79,81,75,180,Left,2025-06-26,2030-06-01,41500000
Andrew Robertson,Liverpool,LB LM,81,31,75,60,78,77,77,67,178,Left,2017-07-21,2026-06-01,22000000
Curtis Jones,Liverpool,CM CDM CAM,80,24,74,72,72,79,76,74,185,Right,2018-02-01,2027-06-01,34000000
Federico Chiesa,Liverpool,RM ST RW,80,27,88,77,74,83,70,67,175,Right,2024-08-29,2028-06-01,26500000
Conor Bradley,Liverpool,RB RM,79,21,82,59,63,73,78,65,181,Right,2020-06-01,2029-06-01,29500000
Wataru Endo,Liverpool,CDM CM,79,32,59,64,64,77,78,67,178,Right,2023-08-18,2027-06-01,14000000
Joe Gomez,Liverpool,CB RB LB RM,79,28,74,35,62,71,74,78,188,Right,2015-06-20,2027-06-01,18000000
Harvey Elliott,Liverpool,CAM CM RW,78,22,73,71,74,82,54,34,168,Left,2019-07-28,2026-06-30,25500000
Stefan Bajcetic,Liverpool,CDM CM CB,73,20,73,52,63,70,70,72,185,Right,2021-02-01,2027-06-01,7500000
Freddie Woodman,Liverpool,GK,71,28,48,21,28,42,43,46,188,Right,2025-07-01,2027-06-01,1600000
Owen Beck,Liverpool,LB,70,22,72,49,69,73,69,64,181,Left,2020-06-10,2028-06-01,4000000
Giovanni Leoni,Liverpool,CB,69,18,53,27,35,54,68,70,196,Right,2025-08-15,2030-06-01,3600000
James McConnell,Liverpool,CDM CM,68,20,64,55,65,65,64,62,183,Right,2023-07-01,2029-06-01,2900000
Rio Ngumoha,Liverpool,LM LW,68,16,91,63,59,74,54,54,170,Right,2025-07-01,2028-06-01,3900000
Calvin Ramsay,Liverpool,RB RM,65,21,76,47,60,65,65,61,177,Right,2022-07-01,2027-06-01,1800000
Trey Nyoni,Liverpool,CM CAM CDM,64,18,67,55,58,67,53,49,185,Right,2025-07-01,2028-06-01,1900000
Ármin Pécsi,Liverpool,GK,64,20,52,14,17,32,40,62,190,Right,2025-07-01,2030-06-01,1500000
Harvey Davies,Liverpool,GK,61,21,29,13,18,27,41,63,190,Right,2021-07-31,2026-06-01,825000
Rhys Williams,Liverpool,CB,61,24,64,35,43,53,63,73,195,Right,2019-02-26,2026-06-01,550000
