player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Erling Haaland,Manchester City,ST,91,24,87,91,69,80,88,93,195,Left,2022-07-01,2034-06-01,203500000
Rodri,Manchester City,CDM CM,89,29,65,77,82,81,84,83,190,Right,2019-07-04,2027-06-01,104000000
Gianluigi Donnarumma,Manchester City,GK,89,26,53,22,29,49,55,75,196,Right,2025-09-02,2030-06-01,114000000
Rúben Dias,Manchester City,CB,86,28,59,41,62,71,83,89,187,Right,2020-09-29,2029-06-01,76000000
Joško Gvardiol,Manchester City,CB LB LM,85,23,79,69,72,77,85,82,185,Left,2023-08-05,2028-06-01,77500000
Tijjani Reijnders,Manchester City,CM CDM CAM,85,26,79,75,79,83,79,69,185,Right,2025-06-10,2030-06-01,74500000
Phil Foden,Manchester City,CAM CM RW,85,25,81,76,81,88,62,41,171,Left,2016-12-06,2027-06-01,84000000
Omar Marmoush,Manchester City,LW ST LM,83,26,89,83,76,84,74,67,183,Right,2025-01-23,2029-06-01,47000000
Rayan Cherki,Manchester City,RW RM CAM,83,21,75,75,81,86,64,67,177,Left,2025-06-10,2030-06-01,66000000
Jérémy Doku,Manchester City,LW RW LM,83,23,92,72,74,88,70,76,173,Right,2023-08-24,2028-06-01,58500000
Marc Guéhi,Manchester City,CB,83,24,71,37,64,73,82,80,182,Right,2026-01-19,2031-06-01,49500000
Bernardo Silva,Manchester City,CM RW CAM,83,30,57,76,81,88,67,47,173,Left,2017-07-01,2026-06-01,41000000
Antoine Semenyo,Manchester City,RW LW RM,82,25,81,78,76,81,79,79,185,Right,2026-01-09,2031-06-01,43000000
Nathan Aké,Manchester City,CB LB,82,30,74,54,68,74,76,76,180,Left,2020-08-05,2027-06-01,29500000
Mateo Kovačić,Manchester City,CM CDM CAM,82,31,66,74,78,80,70,68,177,Right,2023-06-27,2027-06-01,29500000
Jack Grealish,Manchester City,LM LW,82,29,73,73,81,85,67,67,180,Right,2021-08-05,2026-06-30,35500000
John Stones,Manchester City,CB RB CDM,82,31,65,56,67,74,74,78,188,Right,2016-08-09,2026-06-01,24500000
Savinho,Manchester City,RW LW RM,81,21,87,69,74,83,56,45,176,Left,2024-07-18,2031-06-01,46500000
Nico González,Manchester City,CDM CM,81,23,67,67,75,74,80,79,188,Right,2025-02-03,2029-06-01,39500000
Rayan Aït-Nouri,Manchester City,LB LM,81,24,85,54,73,82,73,65,180,Left,2025-06-09,2030-06-01,40500000
Matheus Nunes,Manchester City,RB CM RM,80,26,85,69,75,78,77,74,184,Right,2023-09-01,2028-06-01,27000000
Nico O'Reilly,Manchester City,LB CM,79,20,76,66,74,75,77,74,193,Left,2021-07-01,2030-06-01,30000000
Abdukodir Khusanov,Manchester City,CB,79,21,86,41,55,67,80,82,186,Right,2025-01-20,2029-06-01,39000000
Rico Lewis,Manchester City,RB LB CM,77,20,77,53,68,80,62,47,170,Right,2022-07-01,2030-06-01,23500000
James Trafford,Manchester City,GK,76,22,53,18,37,50,47,55,192,Right,2025-07-29,2030-06-01,17000000
Sverre Nypan,Manchester City,CM CAM ST,70,18,74,63,64,75,60,52,183,Right,2025-07-17,2030-06-01,4800000
Marcus Bettinelli,Manchester City,GK,70,33,30,20,26,39,43,60,194,Right,2025-06-10,2026-06-01,600000
Max Alleyne,Manchester City,CB,68,19,74,34,47,64,71,75,185,Right,2023-07-01,2030-06-01,2900000
Divine Mukasa,Manchester City,CM CAM,65,17,70,60,65,68,60,65,180,Left,2025-07-01,2027-06-01,2100000
