player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Bruno Fernandes,Manchester United,CM CAM,87,30,67,86,88,82,77,61,179,Right,2020-01-30,2027-06-01,90000000
Bryan Mbeumo,Manchester United,RW RM ST,85,25,90,84,78,85,78,73,171,Left,2025-07-21,2030-06-01,76000000
Matheus Cunha,Manchester United,CAM LM ST,83,26,78,82,78,81,77,73,183,Right,2025-07-01,2030-06-01,53000000
Matthijs de Ligt,Manchester United,CB,82,25,61,56,58,69,82,91,189,Right,2024-08-13,2029-06-01,40000000
Lisandro Martínez,Manchester United,CB,81,27,68,60,72,76,83,77,178,Left,2022-07-27,2027-06-01,30500000
Casemiro,Manchester United,CDM CM,81,33,36,74,76,67,77,81,185,Right,2022-08-19,2026-06-01,15000000
Benjamin Šeško,Manchester United,ST,80,22,84,78,62,76,81,83,195,Right,2025-08-09,2030-06-01,56500000
Noussair Mazraoui,Manchester United,RB CB RM,80,27,76,62,70,78,74,69,183,Right,2024-08-13,2028-06-01,24000000
Harry Maguire,Manchester United,CB,80,32,36,60,66,60,80,89,194,Right,2019-08-05,2026-06-01,16000000
Senne Lammens,Manchester United,GK,79,22,45,17,30,38,52,79,193,Right,2025-09-01,2030-06-01,40500000
Amad,Manchester United,CAM RM RB CM,79,22,85,72,73,84,57,45,173,Left,2021-01-07,2030-06-01,33500000
Jadon Sancho,Manchester United,LM RM LW,79,25,79,73,75,85,54,58,180,Right,2021-07-23,2026-06-30,26000000
Luke Shaw,Manchester United,CB LB LM,79,29,68,59,77,73,78,77,181,Left,2014-06-27,2027-06-01,17500000
Leny Yoro,Manchester United,CB,78,19,70,40,52,66,75,75,190,Right,2024-07-18,2029-06-01,33500000
Manuel Ugarte,Manchester United,CDM CM,78,24,62,62,69,73,76,74,182,Right,2024-08-30,2029-06-01,21500000
Diogo Dalot,Manchester United,RB LB RM CM,78,26,82,61,70,75,80,74,183,Right,2018-06-09,2028-06-01,19000000
Mason Mount,Manchester United,CAM LM CM,78,26,67,75,81,77,63,56,181,Right,2023-07-05,2028-06-01,19500000
Kobbie Mainoo,Manchester United,CM CDM,77,20,68,66,72,82,74,73,181,Right,2022-05-16,2027-06-01,27000000
Joshua Zirkzee,Manchester United,ST CAM,77,24,70,76,71,77,75,84,193,Right,2024-07-14,2029-06-01,20000000
Patrick Dorgu,Manchester United,LB LM RM,76,20,86,67,67,74,74,74,185,Left,2025-02-02,2030-06-01,18500000
Altay Bayındır,Manchester United,GK,75,27,31,20,29,38,47,68,198,Right,2023-09-01,2027-06-01,6000000
Tyrell Malacia,Manchester United,LB LM,75,25,77,54,63,76,73,69,169,Left,2022-07-05,2026-06-01,7000000
Ayden Heaven,Manchester United,CB LB,73,18,69,34,52,64,73,76,189,Left,2025-02-01,2029-06-01,8000000
Tom Heaton,Manchester United,GK,67,39,42,20,31,45,44,63,188,Right,2021-07-02,2026-06-01,130000
Shea Lacey,Manchester United,RW RM,65,18,87,58,61,72,47,38,167,Left,2025-07-01,2027-06-01,2100000
Tyler Fredricson,Manchester United,CB,65,20,65,35,46,57,68,72,188,Right,2025-07-01,2027-06-01,1900000
Chido Obi,Manchester United,ST,65,17,71,64,56,63,59,69,188,Right,2024-10-05,2028-06-01,2100000
Diego León,Manchester United,LB LM,64,18,83,55,56,67,63,65,177,Left,2025-07-05,2030-06-01,1700000
Jack Fletcher,Manchester United,CM CDM CAM,63,18,69,55,61,64,59,62,180,Left,2024-07-01,2027-06-01,1400000
Bendito Mantato,Manchester United,RW RM LB,62,17,83,53,55,65,57,62,180,Left,2025-07-01,2028-06-01,1500000
Sonny Aljofree,Manchester United,CB,60,20,70,37,47,55,69,70,186,Right,2023-07-01,2027-06-01,600000
Habeeb Ogunneye,Manchester United,RB,60,19,76,41,50,64,59,55,175,Right,2024-07-01,2026-06-01,725000
Jack Moorhouse,Manchester United,CAM CM CDM,60,19,68,54,58,62,55,54,184,Right,2025-08-03,2027-06-01,750000
Elyh Harrison,Manchester United,GK,57,19,48,15,25,38,29,30,182,Right,2024-07-01,2026-06-01,400000
