player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Bruno Guimarães,Newcastle United,CM CDM,86,27,66,73,81,83,82,76,182,Right,2022-01-31,2028-06-01,85000000
Sandro Tonali,Newcastle United,CDM CM,85,25,80,75,80,80,85,82,181,Right,2023-07-03,2029-06-01,71500000
Sven Botman,Newcastle United,CB,82,25,56,39,55,63,80,89,193,Left,2022-07-01,2030-06-01,42500000
Anthony Gordon,Newcastle United,LW RW LM,82,24,91,78,75,80,76,61,183,Right,2023-01-29,2030-06-01,49000000
Yoane Wissa,Newcastle United,ST,82,28,85,82,65,79,75,68,176,Right,2025-09-01,2029-06-01,37000000
Fabian Schär,Newcastle United,CB,82,33,51,70,74,72,80,80,188,Right,2018-07-26,2026-06-01,17000000
Lewis Hall,Newcastle United,LB LM,81,20,77,65,79,81,67,56,179,Left,2024-07-01,2029-06-01,42000000
Malick Thiaw,Newcastle United,CB,81,23,75,50,64,72,82,83,194,Right,2025-08-12,2029-06-01,39000000
Joelinton,Newcastle United,CM CDM,81,28,74,70,69,78,90,90,186,Right,2019-07-23,2028-06-01,30500000
Tino Livramento,Newcastle United,RB LB RM,80,22,82,52,70,78,75,71,182,Right,2023-08-08,2028-06-01,37500000
Nick Woltemade,Newcastle United,ST CAM,80,23,67,77,62,79,77,83,198,Right,2025-08-30,2031-06-01,38000000
Harvey Barnes,Newcastle United,LW RW LM,80,27,83,77,75,79,67,71,182,Right,2023-07-23,2028-06-01,26500000
Jacob Murphy,Newcastle United,RW RM,80,30,82,73,77,78,69,69,179,Right,2017-07-19,2027-06-01,24000000
Nick Pope,Newcastle United,GK,80,33,49,22,30,43,54,75,199,Right,2022-06-23,2027-06-01,8000000
Dan Burn,Newcastle United,CB LB,80,33,42,41,61,60,81,90,201,Left,2022-01-31,2027-06-01,12000000
Anthony Elanga,Newcastle United,RW RM,79,23,92,68,73,80,68,72,178,Right,2025-07-11,2030-06-01,28500000
Kieran Trippier,Newcastle United,RB RM,79,34,65,67,83,76,73,66,173,Right,2022-01-07,2026-06-01,7500000
Jacob Ramsey,Newcastle United,CM LW CAM,77,24,77,71,71,80,73,68,180,Right,2025-08-17,2030-06-01,17500000
Aaron Ramsdale,Newcastle United,GK,77,27,49,25,37,49,51,64,190,Right,2024-08-30,2026-06-30,11500000
Lewis Miley,Newcastle United,CM RB CDM,76,19,67,63,74,74,68,73,193,Right,2023-02-11,2028-06-01,19000000
Joe Willock,Newcastle United,CM CAM,76,25,75,70,69,76,70,65,186,Right,2021-08-13,2027-06-01,11000000
Emil Krafth,Newcastle United,RB CB RM,72,30,53,57,68,69,67,72,184,Right,2019-08-08,2026-06-01,2400000
William Osula,Newcastle United,ST,71,21,84,69,52,68,67,76,192,Right,2024-08-08,2028-06-01,5000000
John Ruddy,Newcastle United,GK,68,38,36,19,21,33,47,70,193,Right,2024-07-01,2026-06-01,160000
Alex Murphy,Newcastle United,LB CB LM,64,21,64,41,50,59,70,74,188,Left,2022-07-09,2028-06-01,1600000
Mark Gillespie,Newcastle United,GK,62,33,33,19,25,36,41,61,192,Right,2020-07-27,2026-06-01,150000
Sean Neave,Newcastle United,ST CAM,59,18,65,59,51,60,49,55,184,Right,2025-07-01,2028-06-01,850000
Leo Shahar,Newcastle United,RB,58,18,70,43,54,62,52,50,175,Right,2025-07-01,2028-06-01,750000
