player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Murillo,Nottingham Forest,CB,82,22,81,50,63,72,84,90,180,Left,2023-08-31,2029-06-01,47000000
Elliot Anderson,Nottingham Forest,CDM CM,82,22,72,70,79,81,81,75,179,Right,2024-07-01,2029-06-01,48000000
Nikola Milenković,Nottingham Forest,CB,82,27,58,47,55,61,85,90,195,Right,2024-07-18,2029-06-01,36000000
Matz Sels,Nottingham Forest,GK,82,33,36,25,35,44,46,65,188,Right,2024-02-01,2027-06-01,11500000
Morgan Gibbs-White,Nottingham Forest,CAM,81,25,76,77,80,83,74,68,179,Right,2022-08-19,2028-06-01,38000000
Chris Wood,Nottingham Forest,ST,81,33,54,83,66,66,80,87,191,Right,2023-06-14,2027-06-01,19500000
Neco Williams,Nottingham Forest,LB RB,80,24,72,50,70,75,74,64,183,Right,2022-07-10,2029-06-01,29500000
Ola Aina,Nottingham Forest,RB LB RM,80,28,88,62,66,75,77,75,184,Right,2023-07-22,2028-06-01,22500000
Nicolás Domínguez,Nottingham Forest,CDM CM,79,27,70,62,69,76,80,67,179,Right,2023-09-01,2028-06-01,21000000
Stefan Ortega,Nottingham Forest,GK,79,32,52,23,39,49,52,73,185,Right,2026-02-01,2026-06-01,10500000
Dan Ndoye,Nottingham Forest,LM RM LW,78,24,89,70,69,78,68,65,184,Right,2025-07-31,2030-06-01,22500000
Callum Hudson-Odoi,Nottingham Forest,LM LW,78,24,82,71,75,79,65,62,182,Right,2023-09-01,2028-06-01,22500000
Ibrahim Sangaré,Nottingham Forest,CDM CM,78,27,58,67,71,69,76,87,191,Right,2023-09-01,2028-06-01,17000000
Dilane Bakwa,Nottingham Forest,RM RW,77,22,88,69,72,79,64,69,180,Left,2025-09-01,2030-06-01,20000000
Igor Jesus,Nottingham Forest,ST,77,24,70,77,60,70,78,80,180,Right,2025-07-05,2029-06-01,18000000
Omari Hutchinson,Nottingham Forest,RM CAM RW,76,21,80,70,70,78,62,51,174,Left,2025-08-16,2030-06-01,20000000
Morato,Nottingham Forest,CB LB,76,24,53,38,52,59,77,89,192,Left,2024-08-30,2029-06-01,11500000
Ryan Yates,Nottingham Forest,CDM CM,76,27,50,60,64,66,81,79,190,Right,2016-07-01,2028-06-01,9000000
Lorenzo Lucca,Nottingham Forest,ST,75,24,62,76,58,61,77,81,201,Right,2024-07-01,2026-06-30,9500000
Nicolò Savona,Nottingham Forest,RB LB RM,75,22,68,53,65,66,74,72,192,Right,2025-08-30,2030-06-01,10000000
Taiwo Awoniyi,Nottingham Forest,ST,74,27,70,73,56,66,76,88,183,Right,2022-07-01,2027-06-01,5500000
Cuiabano,Nottingham Forest,LB LM,74,22,83,65,69,71,78,79,179,Left,2025-09-01,2029-06-01,7500000
Jair Cunha,Nottingham Forest,CB,74,20,67,40,54,58,79,86,198,Right,2025-07-11,2030-06-01,9000000
James McAtee,Nottingham Forest,RM CM RW,73,22,72,65,67,74,58,62,180,Left,2025-08-16,2030-06-01,8000000
Luca Netz,Nottingham Forest,LB LM LW,73,22,73,50,66,72,68,65,184,Left,2026-02-02,2026-06-01,4900000
Willy Boly,Nottingham Forest,CB,73,34,34,39,54,56,66,88,195,Right,2022-09-01,2026-06-01,1200000
Angus Gunn,Nottingham Forest,GK,72,29,49,22,29,41,48,66,196,Right,2025-08-06,2026-06-01,2100000
John Victor,Nottingham Forest,GK,71,29,24,17,20,27,41,69,196,Right,2025-08-31,2028-06-01,1500000
Donnell McNeilly,Nottingham Forest,ST,63,19,78,61,46,62,68,72,181,Right,2025-09-01,2028-06-01,1500000
Zach Abbott,Nottingham Forest,CB,61,19,58,32,43,52,63,69,186,Right,2022-08-22,2029-06-01,950000
