player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Granit Xhaka,Sunderland,CDM CM,85,32,47,73,84,73,81,78,186,Left,2025-07-30,2028-06-01,42500000
Omar Alderete,Sunderland,CB,80,28,60,59,59,69,80,83,188,Left,2025-08-12,2029-06-01,23500000
Reinildo,Sunderland,LB,80,31,81,55,63,75,81,75,180,Left,2025-07-08,2027-06-01,18000000
Nordi Mukiele,Sunderland,CB RB RM,80,27,73,51,63,71,78,81,187,Right,2025-08-17,2029-06-01,23000000
Robin Roefs,Sunderland,GK,79,22,31,16,17,31,41,64,193,Left,2025-08-01,2030-06-01,27000000
Trai Hume,Sunderland,RB LB CB CM,78,23,80,47,62,70,81,76,180,Right,2022-01-04,2030-06-01,21000000
Lutsharel Geertruida,Sunderland,CB RB CDM RM,78,24,73,55,63,74,80,80,185,Right,2024-08-30,2026-06-30,21500000
Noah Sadiki,Sunderland,CM CDM CAM,77,20,79,62,67,80,78,72,173,Right,2025-07-04,2030-06-01,24500000
Habib Diarra,Sunderland,CM CAM CDM,77,21,71,67,68,75,72,69,178,Right,2025-07-01,2030-06-01,20000000
Brian Brobbey,Sunderland,ST,77,23,84,72,52,76,80,94,180,Right,2025-09-01,2030-06-01,20000000
Enzo Le Fée,Sunderland,CM LM CAM CDM,77,25,63,65,74,80,63,55,173,Right,2025-07-01,2029-06-01,16500000
Daniel Ballard,Sunderland,CB,77,25,60,38,48,60,81,88,187,Right,2022-06-30,2028-06-01,14000000
Chemsdine Talbi,Sunderland,RW RM LM,76,20,90,65,66,80,58,55,175,Right,2025-07-09,2030-06-01,19500000
Wilson Isidor,Sunderland,ST,75,24,82,72,60,71,75,75,186,Right,2025-02-01,2028-06-01,9000000
Bertrand Traoré,Sunderland,RW RM,75,29,74,71,73,75,66,64,181,Left,2025-09-01,2026-06-01,6500000
Chris Rigg,Sunderland,CAM CM RM,72,18,72,64,69,74,58,47,177,Left,2023-01-07,2030-06-01,6500000
Eliezer Mayenda,Sunderland,ST RM LM RW,72,20,85,69,59,69,72,70,180,Left,2023-07-28,2030-06-01,6000000
Dennis Cirkin,Sunderland,LB,72,23,78,55,62,68,67,57,182,Left,2021-08-11,2026-06-01,4100000
Luke O'Nien,Sunderland,CB,72,30,73,59,63,72,85,75,179,Right,2018-07-30,2027-06-01,2300000
Romaine Mundle,Sunderland,LW LM RW,71,22,81,65,62,73,59,56,177,Right,2024-02-01,2028-06-01,5000000
Nilson Angulo,Sunderland,LM RM LW,71,22,80,58,60,69,60,58,184,Right,2026-02-02,2030-06-01,5000000
Ian Poveda,Sunderland,RW RM CM,69,25,77,56,60,75,52,56,167,Left,2024-07-25,2027-06-01,2000000
Jocelin Ta Bi,Sunderland,RM RW,68,20,93,66,61,75,58,61,175,Left,2026-01-16,2030-06-01,3400000
Simon Moore,Sunderland,GK,66,35,47,20,32,42,47,57,191,Right,2024-07-01,2026-06-01,110000
Abdoullah Ba,Sunderland,RW LW RM,65,21,74,57,60,68,66,61,174,Right,2022-08-31,2027-06-01,1200000
Melker Ellborg,Sunderland,GK,64,22,42,14,18,34,36,44,191,Right,2026-02-01,2030-06-01,1300000
Milan Aleksić,Sunderland,CM CAM CDM,61,19,66,54,58,64,54,53,179,Right,2024-08-30,2028-06-01,925000
Harrison Jones,Sunderland,CAM CM,60,20,68,53,57,63,45,45,175,Left,2024-03-08,2026-06-01,700000
Ahmed Abdullahi,Sunderland,ST,58,21,80,57,40,60,54,61,181,Right,2024-08-30,2028-06-01,600000
