player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
James Maddison,Tottenham Hotspur,CM CAM,84,28,68,80,86,84,65,56,175,Right,2023-06-28,2028-06-01,49500000
Micky van de Ven,Tottenham Hotspur,CB LB,83,24,90,57,59,71,83,85,193,Left,2023-08-08,2029-06-01,52500000
Dejan Kulusevski,Tottenham Hotspur,CM RW CAM,83,25,75,78,81,83,80,80,186,Left,2023-07-01,2028-06-01,56500000
Cristian Romero,Tottenham Hotspur,CB,83,27,66,47,57,69,82,83,185,Right,2022-08-30,2029-06-01,45500000
Palhinha,Tottenham Hotspur,CDM CM,83,29,52,66,66,68,85,86,190,Right,2024-07-11,2026-06-30,36500000
Xavi Simons,Tottenham Hotspur,CAM LM LW ST,82,22,78,73,78,85,72,62,179,Right,2025-08-29,2030-06-01,50000000
Pedro Porro,Tottenham Hotspur,RB RM,82,25,78,72,81,79,78,68,173,Right,2023-07-01,2028-06-01,44000000
Guglielmo Vicario,Tottenham Hotspur,GK,82,28,52,17,36,50,49,60,194,Right,2023-07-01,2028-06-01,30500000
Mohammed Kudus,Tottenham Hotspur,RW RM ST,81,24,90,76,72,85,74,78,177,Left,2025-07-10,2031-06-01,39500000
Pape Matar Sarr,Tottenham Hotspur,CM CDM,80,22,69,64,73,79,79,71,184,Right,2021-08-27,2030-06-01,38000000
Conor Gallagher,Tottenham Hotspur,CM LM CDM,80,25,75,73,77,77,82,78,182,Right,2026-01-14,2031-06-01,31000000
Rodrigo Bentancur,Tottenham Hotspur,CDM CM,80,28,64,69,76,75,73,70,187,Right,2022-01-31,2030-06-01,24000000
Dominic Solanke,Tottenham Hotspur,ST,80,27,71,80,61,75,84,84,187,Right,2024-08-10,2030-06-01,27000000
Destiny Udogie,Tottenham Hotspur,LB LM,79,22,88,63,68,76,80,77,186,Left,2022-08-16,2030-06-01,28000000
Djed Spence,Tottenham Hotspur,LB RB,79,24,88,46,65,77,77,75,184,Right,2022-07-19,2029-06-01,27500000
Kevin Danso,Tottenham Hotspur,CB,79,26,72,36,51,63,83,90,190,Right,2025-07-01,2030-06-01,24000000
Randal Kolo Muani,Tottenham Hotspur,ST,79,26,90,77,68,78,67,69,187,Right,2023-09-01,2026-06-30,25000000
Richarlison,Tottenham Hotspur,ST LW LM,79,28,76,78,71,76,79,74,184,Right,2022-07-01,2027-06-01,21000000
Lucas Bergvall,Tottenham Hotspur,CM CAM RM,78,19,75,64,74,77,75,70,187,Right,2024-07-01,2031-06-01,35500000
Yves Bissouma,Tottenham Hotspur,CDM CM,78,28,66,67,72,78,75,74,182,Right,2022-06-17,2026-06-01,14500000
Wilson Odobert,Tottenham Hotspur,LW LM RM,77,20,86,71,68,77,51,43,182,Right,2024-08-16,2029-06-01,24500000
Mathys Tel,Tottenham Hotspur,ST LW LM CAM,77,20,86,80,66,76,66,67,183,Right,2025-07-01,2031-06-01,27500000
Archie Gray,Tottenham Hotspur,CDM CB RB CM,75,19,71,60,67,72,74,72,187,Right,2024-07-02,2030-06-01,13500000
Radu Drăgușin,Tottenham Hotspur,CB,75,23,67,39,47,66,75,78,191,Right,2024-01-12,2029-06-01,9500000
Ben Davies,Tottenham Hotspur,CB,75,32,54,56,68,71,69,70,181,Left,2014-07-23,2026-06-01,4300000
Antonín Kinský,Tottenham Hotspur,GK,75,22,46,16,29,42,42,60,190,Right,2025-01-05,2031-06-01,8500000
Souza,Tottenham Hotspur,LB LM,70,19,82,48,62,69,65,56,183,Left,2026-01-22,2031-06-01,4300000
Brandon Austin,Tottenham Hotspur,GK,67,26,43,15,22,38,38,54,188,Right,2016-09-21,2029-06-01,1300000
Mason Melia,Tottenham Hotspur,ST,65,17,76,63,58,66,69,68,186,Right,2026-01-01,2031-06-01,2100000
Jun'ai Byfield,Tottenham Hotspur,CB,62,16,67,27,38,55,66,73,185,Right,2025-07-01,2027-06-01,1100000
