player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Jarrod Bowen,West Ham United,RM ST RW,83,28,76,79,76,81,74,66,176,Left,2020-01-31,2030-06-01,43000000
Valentin Castellanos,West Ham United,ST,80,26,76,78,69,79,80,65,178,Right,2026-01-05,2030-06-01,29500000
Aaron Wan-Bissaka,West Ham United,RB,79,27,79,53,65,76,74,71,183,Right,2024-08-13,2031-06-01,20000000
Mateus Fernandes,West Ham United,CAM CM,78,20,70,71,76,80,67,62,178,Right,2025-08-29,2030-06-01,33000000
Jean-Clair Todibo,West Ham United,CB,78,25,75,47,58,68,74,81,190,Right,2025-07-01,2029-06-01,19500000
El Hadji Malick Diouf,West Ham United,LB LM,77,20,80,67,70,72,79,80,183,Left,2025-07-15,2030-06-01,18000000
Axel Disasi,West Ham United,CB RB,77,27,55,48,53,59,76,88,190,Right,2023-08-04,2026-06-30,12500000
Callum Wilson,West Ham United,ST,77,33,73,80,63,74,68,68,180,Right,2025-08-02,2026-06-01,8000000
Alphonse Areola,West Ham United,GK,77,32,55,25,36,49,55,79,195,Right,2022-07-01,2027-06-01,6000000
Crysencio Summerville,West Ham United,LM LW,76,23,90,68,65,79,60,46,169,Right,2024-08-03,2029-06-01,14000000
Maximilian Kilman,West Ham United,CB,76,28,59,43,59,61,76,85,194,Left,2024-07-06,2031-06-01,8500000
Konstantinos Mavropanos,West Ham United,CB,76,27,70,51,49,57,77,88,194,Right,2023-08-22,2028-06-01,8000000
Tomáš Souček,West Ham United,CDM CM,76,30,45,73,68,62,79,80,192,Right,2020-07-27,2027-06-01,7500000
Kyle Walker-Peters,West Ham United,RB RM LB,76,28,76,46,62,76,68,53,174,Right,2025-07-20,2028-06-01,8000000
Adama Traoré,West Ham United,RM RW,76,29,95,63,64,76,78,90,179,Right,2026-01-28,2026-06-01,8500000
Mads Hermansen,West Ham United,GK,75,24,50,19,35,44,47,61,187,Right,2025-08-09,2030-06-01,8000000
James Ward-Prowse,West Ham United,CM CDM CAM,75,30,43,74,83,74,63,48,177,Right,2023-08-14,2026-06-30,6500000
Łukasz Fabiański,West Ham United,GK,74,40,49,23,31,44,50,65,190,Right,2018-06-20,2026-06-01,130000
Soungoutou Magassa,West Ham United,CDM CM CB,73,21,54,49,62,63,73,77,190,Right,2025-08-29,2031-06-01,7000000
Freddie Potts,West Ham United,CDM CM,73,21,66,58,70,72,72,67,183,Right,2021-06-29,2029-06-01,7000000
Pablo Felipe,West Ham United,ST,73,21,74,72,59,70,75,70,184,Right,2026-01-02,2030-06-01,8000000
Oliver Scarles,West Ham United,LB LM,72,19,74,49,63,69,65,66,180,Left,2023-07-01,2028-06-01,5500000
Keiber Lamadrid,West Ham United,LM LW CM,70,21,74,59,69,69,66,62,173,Left,2022-01-01,2026-06-01,4200000
Mohamadou Kanté,West Ham United,CDM CM,62,19,68,43,51,62,67,71,189,Right,2024-08-22,2031-06-01,1100000
Lewis Orford,West Ham United,CDM CM,61,19,61,47,57,60,60,63,182,Right,2023-07-01,2029-06-01,950000
Ezra Mayers,West Ham United,CB,60,18,67,30,37,50,67,77,188,Left,2025-12-07,2028-06-01,700000
