player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
João Gomes,Wolverhampton Wanderers,CDM CM,78,24,54,66,69,76,75,68,176,Right,2023-01-30,2030-06-01,23000000
Ladislav Krejčí,Wolverhampton Wanderers,CB CM CDM,78,26,72,70,64,69,85,85,191,Left,2024-07-01,2026-06-30,20500000
André,Wolverhampton Wanderers,CDM CM,78,23,58,59,71,77,73,67,177,Right,2024-08-30,2029-06-01,23000000
Emmanuel Agbadou,Wolverhampton Wanderers,CB,77,28,79,47,59,63,79,90,192,Right,2025-01-09,2029-06-01,12000000
Tolu Arokodare,Wolverhampton Wanderers,ST,76,24,74,74,54,61,79,89,197,Right,2025-09-01,2029-06-01,12000000
Jhon Arias,Wolverhampton Wanderers,RW LW CM RM,76,27,86,72,71,80,67,72,172,Right,2025-07-24,2029-06-01,9500000
Angel Gomes,Wolverhampton Wanderers,CAM CM CDM,76,24,72,70,73,81,71,63,168,Right,2025-07-01,2026-06-30,13500000
Santiago Bueno,Wolverhampton Wanderers,CB,76,26,51,33,49,59,77,79,190,Right,2023-08-31,2028-06-01,9500000
José Sá,Wolverhampton Wanderers,GK,76,32,53,22,32,43,54,75,192,Right,2021-07-15,2027-06-01,4400000
Sam Johnstone,Wolverhampton Wanderers,GK,76,32,42,24,27,40,48,68,193,Right,2024-08-30,2028-06-01,4400000
Toti,Wolverhampton Wanderers,CB,75,26,77,49,60,67,76,81,187,Left,2020-09-04,2029-06-01,7500000
Jean-Ricner Bellegarde,Wolverhampton Wanderers,CAM CM LW,75,27,79,63,70,79,74,68,170,Right,2023-09-01,2028-06-01,7500000
Jackson Tchatchoua,Wolverhampton Wanderers,RB RM,74,24,91,59,59,71,80,73,180,Right,2025-08-19,2030-06-01,7000000
Hugo Bueno,Wolverhampton Wanderers,LB LM,74,22,74,54,72,76,68,66,180,Left,2021-07-04,2028-06-01,7000000
Hwang Hee Chan,Wolverhampton Wanderers,ST LW RW CAM,74,29,81,75,66,75,71,68,177,Right,2022-07-01,2028-06-01,5000000
Matt Doherty,Wolverhampton Wanderers,CB RB RM,74,33,66,60,65,70,76,72,185,Right,2023-07-20,2026-06-01,2400000
David Møller Wolfe,Wolverhampton Wanderers,LB LM,73,23,78,53,60,68,78,76,185,Left,2025-08-02,2030-06-01,5000000
Rodrigo Gomes,Wolverhampton Wanderers,LW LM RM,73,21,80,65,63,76,55,42,175,Right,2024-06-14,2029-06-01,8000000
Adam Armstrong,Wolverhampton Wanderers,ST CAM,73,28,77,73,64,74,72,63,172,Right,2026-02-02,2029-06-01,3700000
Yerson Mosquera,Wolverhampton Wanderers,CB,72,24,81,34,45,58,76,78,188,Right,2021-06-17,2030-06-01,4000000
Daniel Bentley,Wolverhampton Wanderers,GK,71,31,46,21,27,44,47,67,188,Right,2023-01-25,2027-06-01,1200000
Pedro Lima,Wolverhampton Wanderers,RB RM,68,19,76,50,63,71,60,54,178,Right,2024-07-02,2029-06-01,3200000
Mateus Mané,Wolverhampton Wanderers,RW CAM CM RM,67,17,82,62,57,68,64,62,175,Right,2025-07-01,2029-06-01,3000000
Enso González,Wolverhampton Wanderers,LW RW CAM LM,63,20,80,51,54,67,43,33,169,Left,2023-08-31,2029-06-01,1400000
Dexter Lembikisa,Wolverhampton Wanderers,RB RM,63,21,83,43,51,62,62,58,180,Right,2022-07-01,2026-06-01,1200000
Harvey Griffiths,Wolverhampton Wanderers,CDM CM,58,21,54,51,53,53,63,66,190,Right,2021-08-31,2026-06-01,500000
