player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Nico Williams,Athletic Club de Bilbao,""LM LW"",86,22,93,75,79,85,71,61,181,Right,2020-07-01,2035-06-01,111500000"
Unai Simón,Athletic Club de Bilbao,GK,84,28,49,23,28,39,56,76,190,Right,2015-08-25,2029-06-01,39500000
Vivian,Athletic Club de Bilbao,CB,83,25,78,50,52,73,85,83,183,Right,2019-07-01,2032-06-01,50500000
"Sancet,Athletic Club de Bilbao,""CAM CM ST"",83,25,76,82,78,84,83,80,188,Right,2017-07-01,2032-06-01,63000000"
"Berenguer,Athletic Club de Bilbao,""LM RM CAM LW"",82,29,84,75,79,84,74,59,175,Right,2020-10-02,2027-06-01,35500000"
"Iñaki Williams,Athletic Club de Bilbao,""RM ST RW"",82,31,92,79,73,76,85,83,186,Right,2012-08-01,2028-06-01,30000000"
Aymeric Laporte,Athletic Club de Bilbao,CB,82,31,51,50,71,70,76,83,189,Left,2025-09-11,2028-06-01,24500000
"Jauregizar,Athletic Club de Bilbao,""CM CDM"",80,21,72,69,74,80,79,73,177,Right,2023-07-01,2031-06-01,50500000"
"Ruiz de Galarreta,Athletic Club de Bilbao,""CDM CM"",80,31,64,64,76,80,76,70,175,Right,2023-07-01,2027-06-01,17500000"
"Yuri Berchiche,Athletic Club de Bilbao,""LB LM"",79,35,78,68,72,77,82,81,181,Left,2018-07-02,2026-06-01,6500000"
"Beñat Prados,Athletic Club de Bilbao,""CDM CM CB"",78,24,68,60,67,77,77,73,180,Right,2019-07-01,2031-06-01,23000000"
Aitor Paredes,Athletic Club de Bilbao,CB,78,25,67,44,43,63,77,78,186,Right,2019-08-15,2029-06-01,19500000
Guruzeta,Athletic Club de Bilbao,ST,78,28,72,77,68,76,79,79,188,Right,2022-07-03,2028-06-01,17000000
Agirrezabala,Athletic Club de Bilbao,GK,77,24,33,18,29,37,42,60,187,Left,2018-07-01,2026-06-30,15000000
"Areso,Athletic Club de Bilbao,""RB RM"",77,25,79,47,66,74,78,74,182,Right,2025-07-22,2031-06-01,14500000"
"Gorosabel,Athletic Club de Bilbao,""RB RM"",76,28,77,50,65,72,70,66,174,Right,2024-07-01,2028-06-01,8000000"
"Robert Navarro,Athletic Club de Bilbao,""RM LM RW"",75,23,81,67,68,75,66,65,178,Right,2025-07-01,2030-06-01,13500000"
"Lekue,Athletic Club de Bilbao,""RB LB RM"",74,32,77,58,67,71,75,70,180,Right,2015-08-25,2026-06-01,3400000"
"Vesga,Athletic Club de Bilbao,""CDM CM"",74,32,49,72,66,59,75,82,191,Left,2016-07-01,2027-06-01,3300000"
"Hugo Rincón,Athletic Club de Bilbao,""RB RM"",73,22,81,58,63,70,73,69,183,Right,2018-11-06,2026-06-30,7500000"
"Unai Gómez,Athletic Club de Bilbao,""CAM CM LM"",73,22,70,62,70,72,69,69,183,Left,2022-07-01,2028-06-01,7500000"
Maroan,Athletic Club de Bilbao,ST,73,24,69,70,56,65,80,91,192,Right,2025-02-01,2029-06-01,5500000
"Adama Boiro,Athletic Club de Bilbao,""LB LM"",73,23,78,56,62,68,74,75,183,Left,2024-01-24,2029-06-01,7500000"
"Unai Vencedor,Athletic Club de Bilbao,""CDM CM"",72,24,63,66,74,74,72,73,176,Right,2018-12-21,2026-06-30,3600000"
"Izeta,Athletic Club de Bilbao,""ST LW LM"",71,25,69,72,63,67,77,79,175,Right,2023-01-19,2027-06-01,3000000"
Egiluz,Athletic Club de Bilbao,CB,70,23,58,37,38,52,72,77,186,Right,2023-11-06,2028-06-01,3500000
"Nico Serrano,Athletic Club de Bilbao,""LM RM LW"",70,22,83,59,62,74,56,46,181,Left,2020-07-01,2028-06-01,4200000"
Álex Padilla,Athletic Club de Bilbao,GK,69,21,33,15,19,30,42,62,190,Right,2022-07-01,2029-06-01,3200000
"Rego,Athletic Club de Bilbao,""CDM CM"",69,22,60,51,55,63,73,76,192,Right,2025-07-01,2026-06-01,3500000"
Mikel Santos,Athletic Club de Bilbao,GK,63,20,33,16,20,34,40,57,182,Left,2025-07-01,2027-06-01,1200000
"Selton,Athletic Club de Bilbao,""CAM CM"",62,18,64,46,53,62,45,34,185,Right,2025-11-05,2029-06-01,1300000"
Asier Hierro,Athletic Club de Bilbao,ST,60,20,64,56,42,55,61,75,190,Right,2024-07-01,2028-06-01,700000
