player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Jan Oblak,Atlético de Madrid,GK,88,32,48,20,31,51,57,78,188,Right,2014-07-16,2028-06-01,53500000
Julián Alvarez,Atlético de Madrid,ST,87,25,86,85,83,87,82,72,170,Right,2024-08-12,2030-06-01,126000000
"Marcos Llorente,Atlético de Madrid,""RB CM RM"",84,30,90,76,77,80,84,78,184,Right,2019-07-01,2027-06-01,43000000"
"Antoine Griezmann,Atlético de Madrid,""ST CAM"",84,34,76,84,85,87,75,70,176,Left,2022-10-10,2027-06-01,24000000"
"Pablo Barrios,Atlético de Madrid,""CM CDM"",83,22,82,68,72,81,78,73,183,Right,2022-10-29,2030-06-01,65500000"
"Álex Baena,Atlético de Madrid,""LM LW"",82,23,79,75,83,80,71,60,175,Right,2025-07-02,2030-06-01,64500000"
"Dávid Hancko,Atlético de Madrid,""LB CB"",83,27,78,66,71,75,83,87,188,Left,2025-07-25,2030-06-01,41500000"
"Ademola Lookman,Atlético de Madrid,""ST CAM"",83,27,85,80,69,85,71,63,174,Right,2026-02-02,2030-06-01,46500000"
Alexander Sørloth,Atlético de Madrid,ST,83,29,77,79,68,72,84,90,196,Left,2024-08-03,2028-06-01,43000000
José María Giménez,Atlético de Madrid,CB,83,30,73,43,54,66,81,85,185,Right,2013-07-01,2028-06-01,35000000
"Johnny Cardoso,Atlético de Madrid,""CDM CM"",81,23,75,67,73,76,80,79,185,Right,2025-07-16,2030-06-01,42000000"
"Giuliano Simeone,Atlético de Madrid,""RM RW LM"",81,22,93,72,68,82,84,79,174,Right,2020-09-03,2030-06-01,46500000"
Robin Le Normand,Atlético de Madrid,CB,81,28,67,32,50,67,81,86,187,Right,2024-07-27,2029-06-01,29000000
"Koke,Atlético de Madrid,""CM CDM"",81,33,49,70,82,77,76,75,176,Right,2011-01-01,2026-06-01,18500000"
"Thiago Almada,Atlético de Madrid,""CAM LW CM"",79,24,80,75,80,84,59,50,171,Right,2025-07-23,2030-06-01,41500000"
"Nico Gonzalez,Atlético de Madrid,""LM RM LW"",79,27,85,76,70,78,69,51,180,Left,2025-07-01,2026-06-30,22000000"
Juan Musso,Atlético de Madrid,GK,79,31,44,24,25,41,50,70,191,Right,2025-07-09,2028-06-01,11000000
Clément Lenglet,Atlético de Madrid,CB,78,30,54,47,62,68,77,79,186,Left,2025-07-01,2028-06-01,13500000
"Nahuel Molina,Atlético de Madrid,""RB RM"",77,27,80,65,68,75,72,63,175,Right,2022-07-28,2027-06-01,13000000"
"Thomas Lemar,Atlético de Madrid,""CM LM CAM CDM"",77,29,72,74,79,78,61,57,171,Left,2018-07-01,2026-06-30,12000000"
"Pubill,Atlético de Madrid,""CB RB RM"",76,22,80,55,63,74,83,82,190,Right,2025-07-23,2030-06-01,18500000"
"Matteo Ruggeri,Atlético de Madrid,""LB LM"",76,22,79,59,69,69,76,69,187,Left,2025-07-01,2030-06-01,19000000"
"Rodri Mendoza,Atlético de Madrid,""CM RM CAM"",71,20,67,59,69,70,62,57,182,Right,2026-02-02,2031-06-01,5500000"
"Obed Vargas,Atlético de Madrid,""CDM CM RM CB"",71,19,73,54,60,74,64,52,175,Right,2026-02-02,2030-06-01,5000000"
Horațiu Moldovan,Atlético de Madrid,GK,71,27,43,22,22,41,46,55,186,Right,2024-01-24,2026-06-30,2000000
"Carlos Martín,Atlético de Madrid,""ST LM CAM"",69,23,74,68,60,68,64,69,181,Right,2021-10-31,2026-06-30,3700000"
"Ilias Kostis,Atlético de Madrid,""CB LB"",68,22,55,26,38,53,70,78,192,Left,2023-07-01,2027-06-01,3000000"
Salvi Esquivel,Atlético de Madrid,GK,63,19,15,14,18,29,35,56,193,Left,2024-07-18,2027-06-01,1200000
"Rayane,Atlético de Madrid,""CAM RM CM"",61,20,66,54,57,61,60,54,175,Right,2026-01-18,2027-06-01,925000"
"Alejandro Mestanza,Atlético de Madrid,""CAM LW RW CM"",59,20,66,48,54,60,57,61,177,Right,2025-08-27,2026-06-30,650000"
"Jano Monserrate,Atlético de Madrid,""CAM CM"",58,19,62,43,57,61,54,58,177,Left,2024-07-01,2027-06-01,625000"
