player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Ante Budimir,CA Osasuna,ST,81,33,61,84,58,68,81,84,190,Left,2021-07-01,2027-06-01,19500000
Sergio Herrera,CA Osasuna,GK,79,32,48,25,25,44,50,67,192,Right,2017-07-12,2028-06-01,10500000
Flavien-Enzo Boyomo,CA Osasuna,CB,78,23,75,39,50,63,83,84,180,Right,2024-08-30,2029-06-01,31000000
"Aimar Oroz,CA Osasuna,""CM CAM LM"",78,23,68,73,76,76,68,64,177,Right,2022-07-01,2029-06-01,25000000"
"Moncayola,CA Osasuna,""CM CDM RM"",78,27,64,66,75,74,74,77,189,Right,2017-07-01,2031-06-01,19000000"
Catena,CA Osasuna,CB,78,30,64,39,54,61,80,77,194,Right,2023-07-01,2028-06-01,13500000
"Rubén García,CA Osasuna,""RM RW ST RB"",78,31,74,73,80,78,57,44,171,Left,2019-07-01,2026-06-01,13500000"
"Lucas Torró,CA Osasuna,""CDM CM"",78,30,40,62,65,65,76,75,190,Right,2020-08-04,2027-06-01,14000000"
"Valentin Rosier,CA Osasuna,""RB RM RW"",77,28,81,54,67,78,76,73,175,Right,2025-07-01,2028-06-01,11500000"
"Javi Galán,CA Osasuna,""LB LM"",77,30,78,59,74,76,75,67,170,Left,2026-01-01,2026-06-01,10500000"
"Moi Gómez,CA Osasuna,""CM CDM"",77,31,64,71,78,76,63,56,176,Right,2022-07-28,2027-06-01,10000000"
Aitor Fernández,CA Osasuna,GK,77,34,56,22,33,45,43,52,182,Right,2022-07-02,2027-06-01,2100000
Herrando,CA Osasuna,CB,75,24,49,38,47,64,74,73,190,Left,2018-07-01,2030-06-01,9000000
"Abel Bretones,CA Osasuna,""LB LM"",75,24,77,69,70,68,82,80,188,Left,2024-07-05,2029-06-01,9500000"
"Raúl Moro,CA Osasuna,""LM LW RM"",75,22,86,60,67,77,51,47,169,Right,2026-01-22,2031-06-01,13500000"
"Víctor Muñoz,CA Osasuna,""LW LM RW"",74,21,93,66,63,76,58,41,173,Right,2025-07-11,2030-06-01,11000000"
Raúl García,CA Osasuna,ST,73,24,66,72,60,64,71,74,192,Right,2023-08-10,2028-06-01,5000000
"Kike Barja,CA Osasuna,""RM LM LW RW"",73,28,74,63,63,70,59,60,178,Right,2018-01-01,2026-06-01,3600000"
"Juan Cruz,CA Osasuna,""LB CB CDM"",73,32,70,41,57,63,71,69,180,Left,2020-08-30,2026-06-01,2500000"
"Iker Muñoz,CA Osasuna,""CM CDM"",71,22,55,58,58,67,63,60,180,Right,2021-07-01,2027-06-01,4900000"
"Iker Benito,CA Osasuna,""RM LM RW"",71,22,80,60,64,71,65,65,178,Right,2020-07-01,2027-06-01,4500000"
"Osambela,CA Osasuna,""CM CB CDM"",65,20,64,52,52,61,67,69,186,Right,2025-07-25,2029-06-01,1800000"
"Mauro,CA Osasuna,""CDM CM"",64,20,65,48,51,58,63,58,176,Left,2023-07-01,2026-06-01,1400000"
Dimitrios Stamatakis,CA Osasuna,GK,62,22,17,14,19,26,37,57,191,Right,2025-07-25,2027-06-01,925000
Raúl Chasco,CA Osasuna,LB,62,21,66,40,53,58,55,55,179,Left,2025-07-02,2026-06-01,1000000
"Arguibide,CA Osasuna,""RB RM"",62,20,71,47,54,62,57,54,178,Right,2023-07-01,2027-06-01,1100000"
