player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Nahuel Tenaglia,Deportivo Alavés,""CB RB CDM"",77,29,72,48,59,75,80,76,180,Right,2023-08-20,2027-06-01,10500000"
Sivera,Deportivo Alavés,GK,77,28,57,24,29,46,50,63,184,Right,2017-07-19,2027-06-01,10500000
"Antonio Blanco,Deportivo Alavés,""CDM CM"",75,24,50,59,70,67,67,60,176,Right,2023-07-25,2027-06-01,9500000"
Toni Martínez,Deportivo Alavés,ST,75,28,70,75,57,67,78,83,187,Right,2024-08-27,2028-06-01,7000000
"Jonny,Deportivo Alavés,""RB LB"",75,31,73,56,66,75,72,65,170,Right,2025-07-02,2027-06-01,4800000"
Pacheco,Deportivo Alavés,CB,74,24,48,28,44,57,71,73,184,Left,2021-07-01,2026-06-30,9500000
"Ander Guevara,Deportivo Alavés,""CDM CM"",74,27,43,58,67,72,69,68,180,Right,2023-07-09,2027-06-01,5000000"
"Guridi,Deportivo Alavés,""CAM CM ST"",74,30,62,64,68,74,59,57,179,Left,2022-07-11,2026-06-01,4800000"
"Aleñá,Deportivo Alavés,""LM CM RM LW"",74,27,67,66,73,74,63,61,180,Left,2025-07-24,2029-06-01,5500000"
"Lucas Boyé,Deportivo Alavés,""ST CAM"",74,29,69,73,64,72,80,86,183,Right,2025-08-22,2029-06-01,5000000"
"Denis Suárez,Deportivo Alavés,""CM LM CAM CDM"",74,31,64,69,76,74,57,58,176,Right,2025-08-31,2027-06-01,4100000"
"Pablo Ibáñez,Deportivo Alavés,""CM CDM"",73,26,71,57,65,70,67,62,179,Right,2025-07-01,2030-06-01,4200000"
"Carlos Protesoni,Deportivo Alavés,""CDM CM"",73,27,66,51,59,68,73,69,185,Right,2022-07-01,2026-06-01,4100000"
"Abderrahman Rebbach,Deportivo Alavés,""LM LW"",72,26,78,68,67,69,70,73,176,Right,2020-07-01,2028-06-01,3000000"
Ibrahim Diabate,Deportivo Alavés,ST,72,25,84,72,52,65,76,83,180,Right,2025-01-29,2026-06-30,3500000
Facundo Garcés,Deportivo Alavés,CB,72,25,52,39,47,61,75,81,188,Right,2025-01-01,2028-06-01,3700000
Raúl Fernández,Deportivo Alavés,GK,72,37,39,21,27,39,48,75,195,Right,2025-07-14,2026-06-01,300000
"Calebe,Deportivo Alavés,""RM CM RW"",71,25,75,65,68,71,63,55,173,Left,2025-07-01,2026-06-01,2900000"
Mariano,Deportivo Alavés,ST,70,31,70,71,61,70,71,71,180,Right,2025-08-07,2027-06-01,1600000
"Víctor Parada,Deportivo Alavés,""LB CB LM"",68,23,75,50,60,63,71,73,185,Left,2022-07-01,2029-06-01,1900000"
Yusi,Deportivo Alavés,LB,68,19,79,47,60,72,60,47,170,Left,2025-07-16,2029-06-01,3200000
"Ville Koski,Deportivo Alavés,""CB CDM"",66,23,65,30,44,58,68,73,185,Right,2024-01-18,2027-06-01,1400000"
"Ángel Pérez,Deportivo Alavés,""RM RB LM RW"",64,22,86,60,56,62,65,62,183,Right,2026-01-28,2030-06-01,1600000"
Aitor Mañas,Deportivo Alavés,ST,63,22,58,61,42,61,59,59,185,Left,2025-07-09,2028-06-01,1300000
"Lander Pinillos,Deportivo Alavés,""CAM RM CM"",62,21,73,57,58,63,65,60,176,Right,2025-07-01,2027-06-01,1100000"
Grégoire Swiderski,Deportivo Alavés,GK,61,19,26,15,19,29,35,52,187,Right,2024-07-01,2027-06-01,875000
Diego Morcillo,Deportivo Alavés,ST,59,22,62,57,39,55,55,63,185,Right,2024-07-01,2026-06-01,550000
