player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Aleix Febas,Elche CF,""CM CDM"",78,29,74,66,73,82,70,66,171,Right,2023-07-06,2026-06-01,16000000"
Iñaki Peña,Elche CF,GK,77,26,36,17,32,41,38,54,184,Right,2018-07-01,2026-06-30,13500000
David Affengruber,Elche CF,CB,76,24,73,44,51,72,84,82,185,Right,2024-08-29,2027-06-01,18500000
André da Silva,Elche CF,ST,76,29,72,77,68,76,76,76,185,Right,2025-08-18,2026-06-01,9000000
Bigas,Elche CF,CB,76,35,61,52,60,66,79,80,181,Left,2021-07-07,2026-06-01,2300000
"Valera,Elche CF,""LM RM LB LW"",75,23,86,65,68,74,62,52,170,Left,2025-07-25,2027-06-01,10000000"
"Adrià Pedrosa,Elche CF,""LB LM"",75,27,87,59,68,75,76,62,176,Left,2023-07-01,2026-06-30,7000000"
Rafa Mir,Elche CF,ST,75,28,83,74,65,67,78,84,191,Right,2021-08-20,2026-06-30,7000000
Matías Dituro,Elche CF,GK,75,38,40,24,38,45,49,72,191,Right,2024-01-08,2026-06-01,725000
Víctor Chust,Elche CF,CB,73,25,72,32,50,59,71,75,182,Right,2022-07-06,2026-06-30,5000000
"Marc Aguado,Elche CF,""CDM CM"",73,25,65,57,68,71,67,64,178,Right,2025-02-03,2027-06-01,6500000"
"Martim Neto,Elche CF,""CM CDM CAM"",72,22,77,65,65,73,70,63,185,Right,2025-07-31,2028-06-01,6000000"
"Gonzalo Villar,Elche CF,""CM CDM CAM"",72,27,55,59,70,75,67,67,181,Right,2025-07-10,2026-06-30,3200000"
"Josan,Elche CF,""RM RB RW"",72,35,80,66,64,73,53,32,175,Right,2018-01-01,2026-06-01,1100000"
"Lucas Cepeda,Elche CF,""LW LM RW"",72,22,82,64,62,69,76,79,177,Left,2026-01-26,2030-06-01,6000000"
"Héctor Fort,Elche CF,""RB LB CM"",71,18,83,47,62,69,69,63,185,Right,2022-07-01,2026-06-30,4900000"
Álvaro Rodríguez,Elche CF,ST,71,20,74,68,57,65,74,76,192,Left,2025-07-23,2029-06-01,4900000
"Federico Redondo,Elche CF,""CM CDM"",71,22,72,59,65,71,76,75,188,Right,2025-08-14,2030-06-01,4500000"
"Tete Morente,Elche CF,""LM LW"",71,28,79,68,69,68,67,64,184,Right,2026-02-02,2028-06-01,2200000"
"Yago Santiago,Elche CF,""LM LW RM"",70,22,86,59,62,70,54,51,178,Right,2024-07-31,2026-06-01,4200000"
"Léo Pétrot,Elche CF,""LB CB"",70,28,65,37,50,60,76,80,188,Left,2025-07-25,2026-06-01,1700000"
"Grady Diangana,Elche CF,""CAM RM CM"",70,27,83,60,62,71,59,58,180,Left,2025-09-01,2027-06-01,2000000"
"John Donald,Elche CF,""CB CDM CM"",69,24,52,48,52,63,65,66,182,Right,2022-07-01,2028-06-01,3100000"
Iturbe,Elche CF,GK,66,21,49,17,24,39,43,56,186,Right,2025-07-16,2029-06-01,2000000
Buba Sangaré,Elche CF,RB,63,17,64,47,53,62,53,47,183,Right,2024-07-02,2026-06-30,1200000
Adam Boayar,Elche CF,ST,62,19,71,63,46,60,51,54,178,Right,2023-07-01,2027-06-01,1200000
"Álex Sánchez,Elche CF,""RM LM CAM RW"",62,19,67,52,59,60,46,42,174,Left,2026-01-18,2027-06-01,1100000"
"Antonio Martínez,Elche CF,""CM CDM"",59,19,65,49,56,61,49,49,176,Right,2025-07-01,2027-06-01,625000"
"Albert,Elche CF,""LB CB"",58,17,60,45,48,56,55,56,186,Left,2025-07-01,2029-06-01,575000"
