player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Luis Milla,Getafe CF,""CM CDM"",81,30,69,73,83,77,74,68,175,Right,2022-07-25,2027-06-01,29000000"
"Mauro Arambarri,Getafe CF,""CM CDM"",80,29,66,74,75,76,81,76,175,Right,2018-07-01,2028-06-01,24000000"
David Soria,Getafe CF,GK,80,32,40,25,27,44,55,76,192,Right,2018-07-16,2026-06-01,12500000
"Veljko Birmančević,Getafe CF,""LW ST RW LM"",77,27,79,71,72,80,59,57,179,Right,2023-07-01,2026-06-30,13500000"
Borja Mayoral,Getafe CF,ST,77,28,65,79,70,74,67,71,182,Right,2022-08-01,2027-06-01,12500000
"Diego Rico,Getafe CF,""LB CB LM"",77,32,70,60,76,72,76,79,183,Left,2024-07-01,2026-06-01,8500000"
"Dakonam Djené,Getafe CF,""CB RB CDM RM"",77,33,66,45,61,70,78,76,178,Right,2017-07-24,2026-06-01,6000000"
"Martín Satriano,Getafe CF,""ST CAM"",74,24,70,73,59,68,73,76,187,Right,2026-01-16,2026-06-30,7000000"
"Juan Iglesias,Getafe CF,""RB LB RM"",74,26,79,42,57,64,71,67,187,Right,2019-07-01,2026-06-01,5500000"
Abdelkabir Abqar,Getafe CF,CB,74,26,48,32,47,57,70,73,188,Right,2025-07-29,2028-06-01,6500000
Domingos Duarte,Getafe CF,CB,74,30,43,38,48,52,75,78,190,Right,2022-07-11,2026-06-01,4100000
"Javi Muñoz,Getafe CF,""CM CAM RM"",74,30,72,63,70,71,75,74,175,Right,2025-07-04,2028-06-01,4800000"
"Kiko Femenía,Getafe CF,""RB RM"",74,34,68,58,65,69,68,61,174,Right,2025-07-01,2027-06-01,1800000"
"Álex Sancris,Getafe CF,""RM LM RW"",73,28,79,64,69,67,58,59,181,Right,2025-07-02,2028-06-01,3600000"
"Juanmi,Getafe CF,""ST LM CAM"",73,32,73,71,66,73,64,56,172,Right,2025-07-01,2027-06-01,2900000"
"Adrián Liso,Getafe CF,""ST LM LW"",72,20,80,69,66,72,74,75,182,Left,2023-07-24,2026-06-30,6000000"
"Mario Martín,Getafe CF,""CM CDM"",72,21,67,61,64,72,77,70,178,Right,2021-09-01,2026-06-30,6000000"
"Sebastián Boselli,Getafe CF,""CB RB CDM"",72,21,74,53,59,67,78,77,183,Right,2023-08-25,2026-06-30,3800000"
"Zaid Romero,Getafe CF,""CB LB CDM"",72,25,73,31,45,62,85,91,192,Left,2024-07-01,2026-06-30,3300000"
"Allan-Roméo Nyom,Getafe CF,""RB CB RM"",72,37,72,58,66,58,81,85,188,Right,2025-09-20,2026-06-01,625000"
Luis Vázquez,Getafe CF,ST,69,24,70,66,57,66,76,80,190,Right,2023-07-26,2026-06-30,2500000
Jiří Letáček,Getafe CF,GK,69,26,36,21,23,35,54,81,196,Right,2024-07-13,2028-06-01,1800000
"Abu Kamara,Getafe CF,""RM RW LM"",68,21,86,63,57,70,62,61,186,Left,2024-08-30,2026-06-30,3200000"
Davinchi,Getafe CF,LB,67,17,78,51,56,63,66,61,182,Left,2025-07-03,2028-06-01,2600000
Ismael Bekhoucha,Getafe CF,RB,64,20,76,44,51,63,68,60,180,Right,2025-01-22,2028-06-01,1400000
"Alberto Risco,Getafe CF,""CAM CM"",62,19,56,57,60,63,46,46,179,Left,2023-07-01,2026-06-01,1100000"
Lucas Laso,Getafe CF,CB,61,22,61,36,43,55,65,68,189,Right,2025-07-17,2026-06-01,825000
"Alejandro Mestanza,Getafe CF,""CAM LW RW CM"",59,20,66,48,54,60,57,61,177,Right,2025-08-27,2026-06-30,650000"
"Hugo Solozábal,Getafe CF,""CM CDM"",59,22,63,54,60,60,49,47,178,Right,2025-07-16,2026-06-01,600000"
Jorge Benito,Getafe CF,GK,58,19,31,15,20,33,38,55,182,Right,2023-08-12,2027-06-01,500000
"Jorge Montes,Getafe CF,""LB LM"",57,21,69,32,42,51,50,45,188,Left,2025-08-13,2027-06-01,425000"
Joselu Pérez,Getafe CF,ST,56,21,68,55,39,56,53,51,183,Right,2025-07-04,2027-06-01,425000
