player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Marc-André ter Stegen,Girona FC,GK,85,33,45,23,41,47,56,75,187,Right,2014-07-01,2026-06-30,20500000
"Arnau Martínez,Girona FC,""RB RM CB CM"",78,22,79,55,68,72,75,68,182,Right,2020-07-01,2027-06-01,24000000"
"Azzedine Ounahi,Girona FC,""CM CAM CDM"",78,25,75,67,74,78,71,68,182,Right,2025-08-31,2030-06-01,24000000"
"Viktor Tsygankov,Girona FC,""RM RW"",78,27,81,76,78,76,64,54,178,Left,2023-01-17,2027-06-01,17500000"
Paulo Gazzaniga,Girona FC,GK,78,33,57,27,40,52,51,55,195,Right,2023-07-01,2027-06-01,5500000
Vladyslav Vanat,Girona FC,ST,77,23,79,77,60,74,73,66,182,Left,2025-09-01,2030-06-01,19000000
"Iván Martín,Girona FC,""CM CDM CAM"",77,26,71,71,76,77,63,60,178,Left,2023-07-22,2028-06-01,14500000"
"Bryan Gil,Girona FC,""LM LW RM"",77,24,84,67,74,80,51,32,175,Left,2025-09-02,2030-06-01,17000000"
"Fran Beltrán,Girona FC,""CM CDM"",77,26,56,65,71,75,69,64,165,Right,2026-01-20,2030-06-01,14500000"
Álex Moreno,Girona FC,LB,77,32,78,61,69,75,70,63,179,Left,2025-08-22,2027-06-01,8500000
"Thomas Lemar,Girona FC,""CM LM CAM CDM"",77,29,72,74,79,78,61,57,171,Left,2018-07-01,2026-06-30,12000000"
David López,Girona FC,CB,76,35,40,58,63,62,72,79,185,Right,2022-07-25,2026-06-01,2300000
"Daley Blind,Girona FC,""CB LB"",76,35,36,64,79,75,67,72,180,Left,2023-07-07,2026-06-01,2300000"
Cristhian Stuani,Girona FC,ST,76,38,61,79,67,69,76,87,186,Right,2017-07-21,2026-06-01,3000000
"Axel Witsel,Girona FC,""CB CDM CM"",76,36,31,67,73,72,67,80,186,Right,2025-08-12,2026-06-01,1600000"
"Francés,Girona FC,""CB RB"",75,22,75,47,62,70,79,76,181,Right,2024-07-26,2029-06-01,9000000"
"Donny van de Beek,Girona FC,""CAM CM"",75,28,59,74,73,74,66,67,184,Right,2024-07-11,2028-06-01,6500000"
"Portu,Girona FC,""LW RM LM"",75,33,81,73,71,75,76,70,167,Right,2023-09-01,2027-06-01,4100000"
"Hugo Rincón,Girona FC,""RB RM"",73,22,81,58,63,70,73,69,183,Right,2018-11-06,2026-06-30,7500000"
"Claudio Echeverri,Girona FC,""CAM CM LM"",73,19,85,64,71,80,51,40,170,Right,2024-01-25,2026-06-30,8500000"
Vitor Reis,Girona FC,CB,73,19,72,36,52,65,72,73,186,Right,2025-01-21,2026-06-30,7000000
"Joel Roca,Girona FC,""LM ST LW"",72,20,84,64,62,74,65,61,176,Right,2024-08-21,2029-06-01,6000000"
Abel Ruiz,Girona FC,ST,72,25,74,72,66,73,71,73,180,Right,2024-07-01,2029-06-01,3700000
Juan Carlos,Girona FC,GK,71,37,60,23,27,45,50,71,186,Right,2019-07-01,2026-06-01,250000
"Lass Kourouma,Girona FC,""CM CAM CDM"",65,21,61,53,56,63,65,64,180,Right,2025-01-16,2028-06-01,1900000"
Vladyslav Krapyvtsov,Girona FC,GK,64,20,33,13,22,33,32,40,188,Right,2024-12-12,2029-06-01,1500000
"Papa Dame Ba,Girona FC,""RM CAM RW"",62,21,79,50,53,63,53,59,180,Left,2024-01-23,2026-06-01,1100000"
"Juan Arango,Girona FC,""LM ST LW"",61,19,72,56,56,63,52,46,175,Right,2025-07-01,2028-06-01,925000"
Gibi,Girona FC,RB,61,18,73,33,53,58,54,54,178,Right,2025-08-15,2029-06-01,950000
