player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Mathew Ryan,Levante UD,GK,79,33,52,25,38,49,52,64,183,Right,2025-08-26,2026-06-01,6500000
"Carlos Álvarez,Levante UD,""RM CAM RW"",77,21,78,70,73,81,59,58,167,Left,2023-08-14,2027-06-01,20000000"
"Manu Sánchez,Levante UD,""LB LM"",75,24,75,46,60,71,68,55,171,Left,2023-07-03,2026-06-30,9500000"
Karl Edouard Etta Eyong,Levante UD,ST,74,21,77,72,56,71,76,80,181,Right,2025-09-02,2029-06-01,11500000
"Kervin Arriaga,Levante UD,""CDM CB CM"",74,27,66,49,62,65,84,84,191,Right,2025-07-02,2027-06-01,5000000"
"Iván Romero,Levante UD,""ST LM CAM"",74,24,85,70,60,78,69,62,172,Right,2023-08-12,2028-06-01,8000000"
"Pablo Martínez,Levante UD,""LM CM CDM LW"",74,27,72,69,72,73,72,71,182,Right,2019-07-05,2026-06-01,5500000"
"Morales,Levante UD,""ST LM LW"",74,37,78,77,72,77,67,66,180,Right,2024-07-10,2026-06-01,1700000"
"Jeremy Toljan,Levante UD,""RB CM"",74,30,83,52,63,70,71,70,182,Right,2025-07-08,2027-06-01,4300000"
"Olasagasti,Levante UD,""CM CDM LM"",73,24,62,64,70,70,73,68,176,Left,2025-07-16,2028-06-01,5000000"
"Dela,Levante UD,""CB RB CDM"",73,26,72,61,64,64,76,74,179,Right,2023-07-01,2026-06-01,4200000"
"Oriol Rey,Levante UD,""CM CDM"",73,27,57,60,68,73,73,73,177,Left,2023-07-01,2027-06-01,4100000"
"Brugui,Levante UD,""ST LM RM LW"",73,28,88,68,63,77,73,61,173,Left,2021-07-01,2028-06-01,3700000"
"Unai Vencedor,Levante UD,""CDM CM"",72,24,63,66,74,74,72,73,176,Right,2018-12-21,2026-06-30,3600000"
"Iker Losada,Levante UD,""CAM LM CM"",71,23,72,69,70,74,60,61,175,Right,2024-07-10,2026-06-30,3500000"
Elgezabal,Levante UD,CB,71,32,56,49,53,59,75,76,185,Right,2024-07-01,2027-06-01,1400000
Matías Moreno,Levante UD,CB,70,21,54,34,43,57,73,80,193,Right,2024-08-30,2026-06-30,3500000
"Víctor García,Levante UD,""RM RW"",70,27,74,64,62,66,64,62,180,Right,2025-07-03,2026-06-01,2000000"
Pablo Campos,Levante UD,GK,69,23,27,15,25,35,45,67,188,Right,2022-07-01,2027-06-01,3200000
"Diego Pampín,Levante UD,""LB CM"",69,25,78,43,59,69,67,58,173,Left,2024-07-23,2026-06-01,2100000"
"Ugo Raghouber,Levante UD,""CDM CM"",69,21,72,55,57,67,70,67,180,Left,2024-08-29,2026-06-30,3500000"
"Alan Matturro,Levante UD,""CB LB LM"",68,20,64,34,46,57,70,69,189,Left,2023-01-02,2026-06-30,2900000"
Carlos Espí,Levante UD,ST,68,19,70,64,53,63,73,83,194,Right,2024-02-01,2027-06-01,3400000
"Paco Cortés,Levante UD,""LW LM"",66,17,75,59,58,68,45,33,178,Right,2024-06-02,2028-06-01,2300000"
"Tay Abed,Levante UD,""RW CAM RM"",65,21,79,58,59,66,59,54,175,Left,2026-01-21,2029-06-01,2100000"
Nacho Pérez,Levante UD,RB,63,16,76,38,52,64,53,45,176,Right,2025-07-01,2028-06-01,1400000
"Kareem Tunde,Levante UD,""RW LW RM"",62,19,72,56,52,63,51,50,177,Left,2024-07-01,2026-06-01,1100000"
Martín Wilhelm Krug,Levante UD,CB,62,18,57,32,40,49,68,75,192,Right,2025-07-01,2026-06-01,1000000
Álex Primo,Levante UD,GK,60,20,35,14,20,31,31,39,187,Right,2021-07-01,2028-06-01,600000
