player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Marko Dmitrović,RCD Espanyol,GK,80,33,37,31,32,37,54,79,194,Left,2025-07-01,2028-06-01,8000000
"Carlos Romero,RCD Espanyol,""LB LM CM"",79,23,81,67,73,76,76,68,180,Left,2024-07-09,2026-06-30,27500000"
"Edu Expósito,RCD Espanyol,""CAM CM CDM"",78,28,65,73,79,77,71,65,178,Right,2022-08-08,2027-06-01,16500000"
Leandro Cabrera,RCD Espanyol,CB,78,34,49,45,55,58,81,83,190,Left,2020-01-20,2026-06-01,5500000
"Omar El Hilali,RCD Espanyol,""RB CB RM"",77,21,84,42,62,70,80,73,183,Right,2023-01-01,2027-06-01,18000000"
"Puado,RCD Espanyol,""LM ST CAM LW"",77,27,81,77,67,77,77,73,177,Right,2017-07-01,2030-06-01,13500000"
"Pol Lozano,RCD Espanyol,""CDM CM"",76,25,64,62,69,71,73,63,177,Right,2017-07-01,2027-06-01,10000000"
"Pere Milla,RCD Espanyol,""LM ST CAM LW"",76,32,76,74,72,73,76,68,184,Left,2023-08-15,2027-06-01,7000000"
Roberto Fernández,RCD Espanyol,ST,75,22,80,72,61,72,81,76,186,Right,2025-07-08,2031-06-01,11000000
"Urko González,RCD Espanyol,""CDM CM"",75,24,65,45,61,67,75,78,189,Right,2025-08-28,2030-06-01,12500000"
"Terrats,RCD Espanyol,""CM RM CDM"",75,24,60,67,73,72,69,68,181,Left,2023-07-01,2026-06-30,9500000"
"Tyrhys Dolan,RCD Espanyol,""RM LM RW"",75,23,83,63,69,79,68,52,168,Right,2025-07-25,2028-06-01,10500000"
Calero,RCD Espanyol,CB,75,29,61,44,61,67,71,74,183,Right,2019-08-09,2026-06-01,5500000
Kike García,RCD Espanyol,ST,75,35,47,79,62,67,71,78,186,Right,2025-07-01,2027-06-01,2800000
"Jofre,RCD Espanyol,""RM LM RW"",74,24,81,69,68,71,64,59,175,Right,2020-08-01,2029-06-01,6500000"
"Antoniu Roca,RCD Espanyol,""RM LM RW"",73,22,82,63,65,73,64,58,180,Right,2020-07-01,2028-06-01,5500000"
"Clemens Riedel,RCD Espanyol,""CB RB"",72,21,60,33,52,64,72,76,186,Right,2025-08-25,2029-06-01,6000000"
"Salinas,RCD Espanyol,""LB LM"",72,24,76,54,61,67,70,58,179,Left,2025-07-01,2028-06-01,3900000"
"Cyril Ngonge,RCD Espanyol,""RM ST RW"",72,25,82,70,65,73,62,58,179,Left,2024-01-19,2026-06-30,3700000"
"Charles Pickel,RCD Espanyol,""CM CAM CDM"",71,28,64,63,64,69,79,81,187,Right,2025-08-27,2026-06-01,2200000"
"Rubén Sánchez,RCD Espanyol,""RB RM"",70,24,81,57,60,68,72,65,185,Right,2022-07-01,2027-06-01,2600000"
Miguel Rubio,RCD Espanyol,CB,70,27,41,30,40,48,70,83,191,Right,2025-07-01,2028-06-01,2000000
Fortuño,RCD Espanyol,GK,65,23,42,16,23,39,44,55,183,Right,2020-07-01,2027-06-01,1600000
Tristán,RCD Espanyol,GK,64,23,29,15,25,29,38,50,188,Right,2025-08-18,2026-06-01,1300000
