player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Iago Aspas,RC Celta de Vigo,""RW ST CAM RM"",82,37,77,84,80,81,67,63,176,Left,2015-07-01,2026-06-01,11500000"
"Mingueza,RC Celta de Vigo,""RM LM RB RW"",80,26,80,67,78,75,79,73,184,Right,2022-07-30,2026-06-01,29500000"
Borja Iglesias,RC Celta de Vigo,ST,80,32,62,82,67,72,77,84,187,Right,2025-08-12,2028-06-01,20000000
"Marcos Alonso,RC Celta de Vigo,""CB LB LM"",79,34,57,77,81,72,78,76,188,Left,2024-08-28,2026-06-01,6500000"
"Ilaix Moriba,RC Celta de Vigo,""CM CDM"",78,22,75,67,70,74,79,78,185,Right,2025-07-01,2029-06-01,25500000"
Ionuț Andrei Radu,RC Celta de Vigo,GK,78,28,50,22,26,41,44,58,188,Right,2025-07-01,2029-06-01,12000000
Carl Starfelt,RC Celta de Vigo,CB,78,30,73,33,47,69,79,80,187,Right,2023-08-10,2027-06-01,13500000
"Javi Rodríguez,RC Celta de Vigo,""CB RB CM"",76,22,73,45,60,70,78,74,178,Right,2023-01-01,2028-06-01,13000000"
"Álvaro Núñez,RC Celta de Vigo,""RB RM CB"",76,24,76,50,71,73,74,71,177,Right,2026-02-02,2030-06-01,12000000"
"Matías Vecino,RC Celta de Vigo,""CM CDM"",75,33,53,72,70,74,75,77,187,Right,2026-02-02,2027-06-01,5500000"
"Hugo Álvarez,RC Celta de Vigo,""LM RM LW"",75,21,69,66,68,72,61,57,176,Right,2021-07-01,2028-06-01,10500000"
"Ferran Jutglà,RC Celta de Vigo,""ST RW RM"",75,26,76,75,64,78,78,79,175,Right,2025-07-01,2029-06-01,7500000"
"Williot Swedberg,RC Celta de Vigo,""LW CM CAM LM"",75,21,74,68,70,75,65,56,187,Right,2022-07-01,2029-06-01,13500000"
"Carreira,RC Celta de Vigo,""RM LM RB"",75,24,76,50,66,75,67,63,170,Right,2019-07-01,2029-06-01,9000000"
"Manu Sánchez,RC Celta de Vigo,""LB LM"",75,24,75,46,60,71,68,55,171,Left,2023-07-03,2026-06-30,9500000"
Unai Núñez,RC Celta de Vigo,CB,75,28,65,26,43,56,76,79,186,Right,2024-07-01,2026-06-30,6500000
"Pablo Durán,RC Celta de Vigo,""ST LW CAM"",74,24,72,72,62,72,69,67,176,Right,2022-08-08,2027-06-01,7000000"
"Hugo Sotelo,RC Celta de Vigo,""CM CDM"",74,21,70,63,74,70,68,65,180,Right,2021-07-01,2028-06-01,10000000"
Carlos Domínguez,RC Celta de Vigo,CB,74,24,62,29,48,60,71,78,187,Left,2020-07-01,2028-06-01,7000000
Joseph Aidoo,RC Celta de Vigo,CB,74,29,67,28,38,60,79,85,184,Right,2019-06-11,2026-06-01,4200000
"Mihailo Ristić,RC Celta de Vigo,""LB LM"",73,29,73,62,62,68,70,66,180,Left,2023-09-01,2026-06-01,3200000"
"Fer López,RC Celta de Vigo,""RW RM"",73,21,67,66,72,72,53,56,186,Left,2025-06-20,2026-06-30,8000000"
"Javi Rueda,RC Celta de Vigo,""RB RM"",73,23,85,55,60,71,67,59,177,Right,2023-07-01,2029-06-01,7000000"
"Franco Cervi,RC Celta de Vigo,""LM LW"",72,31,79,63,71,75,55,31,166,Left,2021-07-05,2026-06-01,2300000"
Iván Villar,RC Celta de Vigo,GK,72,27,33,21,23,38,39,52,186,Right,2014-07-01,2027-06-01,2700000
Yoel Lago,RC Celta de Vigo,CB,71,21,61,28,47,60,69,75,185,Right,2023-07-01,2029-06-01,4200000
"Miguel Román,RC Celta de Vigo,""CM CDM"",70,22,63,50,60,68,63,57,178,Right,2025-08-26,2028-06-01,4200000"
Manu Fernández,RC Celta de Vigo,CB,70,24,60,42,51,58,67,74,185,Right,2025-07-01,2028-06-01,2600000
"Jones El-Abdellaoui,RC Celta de Vigo,""RM LM RW"",70,19,80,58,58,67,60,64,184,Right,2025-08-19,2029-06-01,3100000"
Marc Vidal,RC Celta de Vigo,GK,64,25,30,15,20,31,31,42,185,Right,2025-07-01,2028-06-01,750000
"Hugo Burcio,RC Celta de Vigo,""CDM CM CB"",63,18,63,43,51,59,68,73,187,Right,2024-07-01,2027-06-01,1200000"
