player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Isco,Real Betis Balompié,""CAM LM CM"",84,33,64,80,84,85,62,55,176,Right,2023-07-26,2028-06-01,31000000"
"Antony,Real Betis Balompié,""RM RW"",81,25,84,78,79,84,73,65,172,Left,2025-09-02,2030-06-01,40000000"
"Fornals,Real Betis Balompié,""CDM CAM RM CM"",81,29,68,72,81,79,72,66,178,Right,2024-02-01,2029-06-01,26000000"
"Giovani Lo Celso,Real Betis Balompié,""CAM CM"",81,29,76,77,83,81,71,65,177,Left,2024-08-30,2028-06-01,30000000"
Diego Llorente,Real Betis Balompié,CB,80,31,62,44,55,69,77,78,186,Right,2024-07-08,2028-06-01,17000000
"Abde,Real Betis Balompié,""LM LW"",79,23,88,68,70,80,72,65,177,Right,2023-09-01,2029-06-01,31500000"
Cucho Hernández,Real Betis Balompié,ST,79,26,82,77,74,80,81,76,175,Right,2025-02-05,2030-06-01,27500000
"Sofyan Amrabat,Real Betis Balompié,""CDM CM"",79,28,62,68,72,73,82,86,183,Right,2024-08-31,2026-06-30,18000000"
Bartra,Real Betis Balompié,CB,79,34,68,56,67,73,77,80,184,Right,2023-07-24,2027-06-01,6500000
Natan,Real Betis Balompié,CB,78,24,66,36,52,64,81,83,188,Left,2025-07-01,2030-06-01,22500000
Álvaro Valles,Real Betis Balompié,GK,78,27,41,17,37,36,47,65,191,Right,2025-07-01,2030-06-01,15000000
"Fidalgo,Real Betis Balompié,""CM CAM CDM"",78,28,79,67,75,80,68,58,174,Right,2026-02-02,2030-06-01,16500000"
"Marc Roca,Real Betis Balompié,""CDM CM"",78,28,59,63,71,72,72,75,184,Left,2024-07-01,2029-06-01,14500000"
Pau López,Real Betis Balompié,GK,78,30,49,26,42,49,48,52,189,Left,2025-07-23,2028-06-01,11000000
"Altimira,Real Betis Balompié,""CDM CM"",77,23,69,59,65,70,76,79,188,Right,2023-08-11,2029-06-01,18000000"
"Aitor Ruibal,Real Betis Balompié,""RM RB LM RW"",77,29,81,71,69,73,73,69,176,Right,2016-01-01,2028-06-01,12000000"
"Valentín Gómez,Real Betis Balompié,""CB LB CDM"",76,22,80,34,57,73,80,73,180,Left,2025-07-28,2030-06-01,18500000"
"Riquelme,Real Betis Balompié,""LM CAM LW"",76,25,81,69,71,75,61,53,173,Right,2025-07-04,2030-06-01,11500000"
"Héctor Bellerín,Real Betis Balompié,""RB RM"",76,30,80,53,66,74,68,60,178,Right,2023-07-18,2028-06-01,7500000"
"Nelson Deossa,Real Betis Balompié,""CDM CM CAM"",75,25,77,74,71,73,79,77,185,Left,2025-08-07,2030-06-01,9000000"
"Junior Firpo,Real Betis Balompié,""LB LM"",75,28,78,61,66,70,78,73,184,Left,2025-07-17,2028-06-01,6000000"
"Cédric Bakambu,Real Betis Balompié,""ST LW LM"",75,34,76,77,66,69,70,70,182,Right,2024-02-02,2026-06-01,3200000"
"Ricardo Rodríguez,Real Betis Balompié,""LB LM"",74,32,67,73,78,72,72,71,180,Left,2024-08-06,2026-06-01,3400000"
"Chimy Ávila,Real Betis Balompié,""ST RM RW CAM"",73,31,73,74,66,71,80,78,172,Right,2024-02-01,2027-06-01,3000000"
Adrián,Real Betis Balompié,GK,72,38,43,26,21,43,51,63,190,Right,2024-07-29,2026-06-01,300000
"Iker Losada,Real Betis Balompié,""CAM LM CM"",71,23,72,69,70,74,60,61,175,Right,2024-07-10,2026-06-30,3500000"
Ángel Ortiz,Real Betis Balompié,RB,70,20,81,49,61,70,66,59,167,Right,2025-01-25,2029-06-01,3900000
"Pablo García,Real Betis Balompié,""RM LM RW"",70,19,79,67,66,71,70,68,175,Left,2025-08-04,2029-06-01,4900000"
"Dani Pérez,Real Betis Balompié,""CM CAM CDM"",63,19,57,51,61,68,46,36,173,Right,2025-08-04,2026-06-01,1300000"
Manu González,Real Betis Balompié,GK,62,18,25,16,20,31,33,44,189,Right,2025-07-01,2028-06-01,1100000
"Iván Corralejo,Real Betis Balompié,""CAM CM"",59,18,64,56,56,60,49,51,176,Right,2025-07-01,2028-06-01,675000"
Germán García,Real Betis Balompié,GK,57,21,25,13,17,31,34,52,185,Right,2024-07-01,2026-06-01,325000
