player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Kylian Mbappé,Real Madrid,ST,91,26,97,89,79,90,78,77,182,Right,2024-07-01,2029-06-01,185000000
"Jude Bellingham,Real Madrid,""CAM CM LM"",88,22,81,83,79,88,86,80,186,Right,2023-07-01,2029-06-01,177500000"
"Vini Jr.,Real Madrid,""LM ST LW"",89,24,95,81,78,88,70,65,176,Right,2018-07-12,2027-06-01,166000000"
Thibaut Courtois,Real Madrid,GK,89,33,47,23,29,50,50,70,200,Left,2018-08-09,2027-06-01,39500000
"Federico Valverde,Real Madrid,""CM CDM RB"",88,26,88,81,81,82,85,82,182,Right,2016-07-22,2029-06-01,126000000"
"Trent Alexander-Arnold,Real Madrid,""RB RM"",86,26,76,74,89,79,75,68,180,Right,2025-06-01,2031-06-01,86000000"
Antonio Rüdiger,Real Madrid,CB,85,32,76,53,66,68,85,88,190,Right,2022-07-01,2026-06-01,41500000
"Carvajal,Real Madrid,""RB RM"",85,33,80,58,74,81,81,74,173,Right,2013-07-05,2026-06-01,33000000"
"Rodrygo,Real Madrid,""LM RM ST LW"",84,24,88,77,78,85,66,59,174,Right,2019-07-01,2028-06-01,68000000"
"Aurélien Tchouaméni,Real Madrid,""CDM CM CB"",84,25,72,66,75,77,82,82,188,Right,2022-07-01,2028-06-01,59500000"
Éder Militão,Real Madrid,CB,84,27,82,54,65,72,85,79,186,Right,2019-07-01,2028-06-01,53000000
Dean Huijsen,Real Madrid,CB,82,20,71,58,68,67,78,78,196,Right,2025-06-01,2030-06-01,66000000
"Arda Güler,Real Madrid,""RM CAM CM RW"",82,20,76,76,83,83,55,43,175,Left,2023-07-06,2029-06-01,71000000"
"Eduardo Camavinga,Real Madrid,""CM CDM LB"",82,22,81,67,77,82,81,79,185,Left,2021-09-01,2029-06-01,52000000"
"Brahim,Real Madrid,""RM LM RW"",81,25,83,70,75,84,58,58,170,Right,2019-01-06,2027-06-01,36500000"
"Ferland Mendy,Real Madrid,""LB LM"",81,30,85,62,70,77,84,84,180,Left,2019-07-01,2028-06-01,26000000"
"Dani Ceballos,Real Madrid,""CM CDM"",81,28,61,69,77,80,67,61,179,Right,2017-07-14,2027-06-01,30500000"
David Alaba,Real Madrid,CB,81,33,68,73,81,78,75,77,180,Left,2021-07-01,2026-06-01,14500000
"Álvaro Carreras,Real Madrid,""LB LM"",80,22,85,62,72,79,81,76,186,Left,2025-07-15,2031-06-01,53500000"
Andriy Lunin,Real Madrid,GK,80,26,37,19,26,37,44,61,191,Right,2018-07-02,2030-06-01,27000000
"Asencio,Real Madrid,""CB RB CDM"",78,22,79,40,49,69,80,76,184,Right,2024-11-08,2029-06-01,24000000"
"Franco Mastantuono,Real Madrid,""RM RW CAM"",77,17,76,71,75,79,66,60,178,Left,2025-08-14,2031-06-01,25500000"
"Fran García,Real Madrid,""LB LM"",77,25,89,51,64,77,74,69,169,Left,2023-07-01,2027-06-01,15000000"
"Mario Martín,Real Madrid,""CM CDM"",72,21,67,61,64,72,77,70,178,Right,2021-09-01,2026-06-30,6000000"
Gonzalo,Real Madrid,ST,71,21,69,70,60,68,70,74,182,Right,2023-09-01,2030-06-01,5500000
Fran González,Real Madrid,GK,64,20,18,16,18,34,41,66,199,Right,2024-07-01,2026-06-01,1600000
"Jorge Cestero,Real Madrid,""CM CDM"",61,19,64,48,53,57,62,64,181,Right,2025-07-01,2028-06-01,1000000"
David Jiménez,Real Madrid,RB,61,21,67,40,60,58,54,50,170,Right,2024-07-01,2027-06-01,900000
Sergio Mestre,Real Madrid,GK,60,20,44,14,25,29,40,61,193,Right,2025-07-01,2028-06-01,600000
"Thiago Pitarch,Real Madrid,""CM CDM"",60,17,65,41,53,60,59,58,179,Right,2024-07-01,2027-06-01,900000"
"Víctor Valdepeñas,Real Madrid,""CB LB LM"",60,18,68,39,47,52,64,70,188,Left,2025-01-01,2029-06-01,700000"
Fortea,Real Madrid,RB,60,18,65,39,54,58,65,67,174,Right,2025-07-01,2029-06-01,700000
"Diego Aguado,Real Madrid,""CB LB CM"",59,18,67,33,52,56,58,58,180,Left,2025-07-01,2029-06-01,625000"
