player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Aarón Escandell,Real Oviedo,GK,78,29,51,23,36,47,50,57,185,Right,2024-07-10,2027-06-01,12500000
David Carmo,Real Oviedo,CB,75,25,59,38,52,53,80,91,196,Left,2024-08-24,2026-06-30,8500000
"Leander Dendoncker,Real Oviedo,""CM CDM CB"",75,30,56,71,73,64,78,85,188,Right,2025-08-19,2027-06-01,6500000"
"Santi Cazorla,Real Oviedo,""CAM CM LM"",75,40,54,73,80,77,60,55,168,Right,2023-08-16,2026-06-01,2200000"
"Thiago Fernández,Real Oviedo,""LM LW"",74,21,84,67,68,78,58,49,175,Right,2026-01-02,2026-06-30,10000000"
"Haissem Hassan,Real Oviedo,""RM RW"",74,23,91,61,62,80,57,59,178,Left,2024-08-11,2027-06-01,8000000"
Eric Bailly,Real Oviedo,CB,74,31,63,45,54,65,74,77,187,Right,2025-08-21,2027-06-01,3400000
David Costas,Real Oviedo,CB,74,30,72,47,63,70,75,79,184,Right,2021-07-12,2028-06-01,4100000
"Alberto Reina,Real Oviedo,""CM CDM CAM"",73,27,66,66,71,74,69,66,179,Right,2025-07-06,2027-06-01,3800000"
"Nicolás Fonseca,Real Oviedo,""CDM CM"",73,26,69,64,68,68,72,67,181,Right,2025-01-15,2028-06-01,3500000"
"Santiago Colombatto,Real Oviedo,""CDM CM"",73,28,71,71,74,73,79,74,180,Left,2021-05-06,2027-06-01,3200000"
"Ilyas Chaira,Real Oviedo,""LM RM LW"",72,24,79,67,68,70,64,65,183,Right,2025-07-11,2028-06-01,3800000"
"Javi López,Real Oviedo,""LB LM"",72,23,74,45,61,67,70,69,184,Left,2024-07-21,2026-06-30,4100000"
"Thiago Borbas,Real Oviedo,""ST RW"",72,23,80,72,54,67,63,65,185,Right,2026-02-03,2026-06-01,6000000"
"Federico Viñas,Real Oviedo,""ST RM RW"",72,27,73,72,57,73,80,84,180,Left,2024-08-28,2027-06-01,3200000"
"Nacho Vidal,Real Oviedo,""RB CM"",72,30,73,56,63,68,70,63,180,Right,2025-01-22,2027-06-01,2400000"
Dani Calvo,Real Oviedo,CB,72,31,49,47,50,54,78,84,190,Right,2021-07-27,2026-06-01,1900000
Horațiu Moldovan,Real Oviedo,GK,71,27,43,22,22,41,46,55,186,Right,2024-01-24,2026-06-30,2000000
"Rahim Alhassane,Real Oviedo,""LB LM"",71,23,87,47,55,65,74,66,184,Left,2024-07-15,2027-06-01,3300000"
Alex Forés,Real Oviedo,ST,70,24,70,72,52,69,62,62,179,Right,2024-07-01,2026-06-30,3800000
"Luka Ilić,Real Oviedo,""CAM CM RM"",69,25,71,63,69,68,66,63,182,Left,2025-07-18,2028-06-01,2200000"
"Kwasi Sibo,Real Oviedo,""CDM CM CB"",68,27,63,54,55,62,76,76,182,Right,2024-07-08,2026-06-01,1600000"
"Lucas Ahijado,Real Oviedo,""RB LB RM"",68,30,74,59,61,66,65,63,173,Right,2025-07-15,2026-06-01,1200000"
"Ovie Ejaria,Real Oviedo,""CM LM CAM CDM"",66,27,58,59,64,71,56,59,188,Right,2025-08-13,2027-06-01,1100000"
"Marco Esteban,Real Oviedo,""CB RB"",64,19,65,30,49,59,64,66,183,Right,2025-08-04,2028-06-01,1500000"
"Pablo Agudín,Real Oviedo,""CAM LM ST CM"",63,17,73,60,61,67,51,49,178,Right,2025-07-01,2029-06-01,1400000"
Miguel Narváez,Real Oviedo,GK,63,23,26,14,21,37,44,69,188,Right,2025-08-07,2027-06-01,975000
"Dieguito,Real Oviedo,""CM CAM RM CDM"",62,20,71,57,62,66,57,57,175,Right,2023-07-01,2027-06-01,1100000"
"Mouhamed Lamine Gueye,Real Oviedo,""RM RB RW"",61,20,82,52,53,64,63,57,171,Right,2025-07-01,2027-06-01,925000"
"Omar Falah,Real Oviedo,""LB LM"",61,21,69,51,61,59,57,53,183,Left,2025-08-04,2026-06-01,825000"
"Cheli,Real Oviedo,""CM CAM CDM"",61,19,64,59,58,61,69,74,187,Right,2025-08-15,2026-06-01,925000"
