player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Oyarzabal,Real Sociedad,""ST LM LW"",82,28,75,84,79,81,72,65,181,Left,2014-07-01,2028-06-01,37000000"
Álex Remiro,Real Sociedad,GK,82,30,45,22,26,48,55,73,191,Right,2019-07-01,2027-06-01,27000000
"Takefusa Kubo,Real Sociedad,""RM RW"",81,24,86,73,76,83,68,60,173,Left,2022-07-19,2029-06-01,43500000"
"Yangel Herrera,Real Sociedad,""CM CDM"",81,27,70,73,74,77,82,81,184,Right,2025-09-01,2030-06-01,32000000"
"Brais Méndez,Real Sociedad,""CM CDM"",80,28,71,77,80,76,75,73,187,Left,2022-07-06,2028-06-01,25000000"
"Sergio Gómez,Real Sociedad,""LM LB"",79,24,73,75,79,79,67,58,173,Left,2024-07-12,2030-06-01,28500000"
"Barrenetxea,Real Sociedad,""LM LW"",78,23,83,70,72,80,72,72,175,Right,2018-12-21,2030-06-01,25000000"
Jon Mikel Aramburu,Real Sociedad,RB,77,22,75,55,68,73,76,68,176,Right,2023-08-01,2030-06-01,26500000
"Carlos Soler,Real Sociedad,""CM CAM LM CDM"",77,28,71,74,78,76,68,69,180,Right,2025-09-02,2029-06-01,12500000"
Zubeldia,Real Sociedad,CB,77,28,75,60,71,73,82,81,181,Right,2015-07-01,2029-06-01,12500000
"Luka Sučić,Real Sociedad,""CM CAM"",75,22,77,73,74,74,74,72,185,Left,2024-08-02,2028-06-01,10000000"
"Aihen Muñoz,Real Sociedad,""LB LM"",75,27,76,54,64,71,73,62,175,Left,2017-07-01,2027-06-01,6500000"
"Guedes,Real Sociedad,""ST RM LM CAM"",75,28,76,75,71,77,66,67,179,Right,2025-08-04,2028-06-01,7000000"
"Gorrotxa,Real Sociedad,""CDM CM"",75,22,72,55,64,70,78,78,177,Right,2024-07-01,2027-06-01,14000000"
Orri Óskarsson,Real Sociedad,ST,74,20,74,72,61,70,75,76,186,Right,2024-08-30,2030-06-01,8000000
Pacheco,Real Sociedad,CB,74,24,48,28,44,57,71,73,184,Left,2021-07-01,2026-06-30,9500000
"Aritz Elustondo,Real Sociedad,""CB RB CDM"",72,31,61,40,57,64,75,75,180,Right,2014-12-04,2026-06-01,3400000"
Duje Ćaleta-Car,Real Sociedad,CB,74,28,58,43,47,57,75,84,192,Right,2024-07-08,2026-06-30,4300000
Jon Martín,Real Sociedad,CB,73,19,65,30,43,63,75,78,185,Right,2023-08-02,2030-06-01,7000000
"Pablo Marín,Real Sociedad,""CM CDM"",73,21,67,65,68,70,60,59,178,Right,2022-07-01,2029-06-01,8000000"
"Arsen Zakharyan,Real Sociedad,""RM CM LM RW"",73,22,78,70,73,71,61,53,182,Right,2023-08-20,2029-06-01,8000000"
"Turrientes,Real Sociedad,""CM CDM"",73,23,66,61,71,73,67,59,181,Right,2022-07-01,2027-06-01,7000000"
Odriozola,Real Sociedad,RB,73,29,71,58,66,73,66,64,176,Right,2023-09-01,2029-06-01,3200000
"Javi López,Real Sociedad,""LB LM"",72,23,74,45,61,67,70,69,184,Left,2024-07-21,2026-06-30,4100000"
Unai Marrero,Real Sociedad,GK,69,23,25,15,19,33,38,59,189,Right,2022-07-01,2027-06-01,3200000
"Wesley,Real Sociedad,""LW LM"",68,20,73,64,59,71,56,67,180,Right,2024-08-30,2026-06-30,3600000"
Karrikaburu,Real Sociedad,ST,67,22,71,64,47,65,61,74,183,Right,2022-07-01,2027-06-01,2700000
