player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Ruben Vargas,Sevilla FC,""LM CAM LW"",78,26,88,71,72,81,69,64,179,Right,2025-01-10,2029-06-01,18000000"
Odysseas Vlachodimos,Sevilla FC,GK,78,31,42,22,24,44,52,67,188,Right,2024-07-01,2026-06-30,9000000
"Azpilicueta,Sevilla FC,""CB RB"",78,35,56,59,72,74,76,73,178,Right,2025-09-01,2026-06-01,4400000"
"Carmona,Sevilla FC,""RB CB LB CM"",77,23,83,62,66,74,78,72,183,Right,2020-08-01,2028-06-01,23500000"
"Chidera Ejuke,Sevilla FC,""LM RM LW"",77,27,90,68,70,83,64,61,176,Right,2024-07-01,2027-06-01,13500000"
"Batista Mendy,Sevilla FC,""CDM CM CB"",76,25,71,62,63,68,83,86,191,Right,2023-09-08,2026-06-30,12000000"
"Djibril Sow,Sevilla FC,""CM CDM CAM"",76,28,78,68,70,76,77,75,183,Right,2023-08-04,2028-06-01,9000000"
"Nemanja Gudelj,Sevilla FC,""CDM CB CM"",76,33,46,74,76,68,81,87,187,Right,2019-07-23,2026-06-01,4400000"
"Alexis Sánchez,Sevilla FC,""ST RW RM CAM"",76,36,71,77,78,82,64,58,169,Right,2025-09-02,2026-06-01,3000000"
"Kike Salas,Sevilla FC,""CB LB CDM"",75,23,67,32,55,62,78,76,188,Left,2021-07-01,2029-06-01,9500000"
"Juanlu Sánchez,Sevilla FC,""RB RM"",75,21,79,62,67,72,68,60,186,Right,2019-07-01,2029-06-01,13000000"
"Lucien Agoumé,Sevilla FC,""CDM CM CAM CB"",75,23,70,56,64,71,76,77,185,Right,2024-08-06,2028-06-01,12500000"
"Adrià Pedrosa,Sevilla FC,""LB LM"",75,27,87,59,68,75,76,62,176,Left,2023-07-01,2026-06-30,7000000"
"Alfon,Sevilla FC,""LM LW CAM"",75,26,77,71,68,77,69,63,172,Right,2025-07-01,2026-06-30,8000000"
Rafa Mir,Sevilla FC,ST,75,28,83,74,65,67,78,84,191,Right,2021-08-20,2026-06-30,7000000
"Gabriel Suazo,Sevilla FC,""LB LM"",75,27,73,57,68,72,76,73,178,Left,2025-07-15,2028-06-01,6500000"
Ørjan Nyland,Sevilla FC,GK,75,34,48,22,24,42,49,70,192,Right,2023-08-20,2026-06-01,1100000
"Peque,Sevilla FC,""CAM LM ST CM"",74,22,78,72,69,76,57,45,172,Right,2024-07-12,2028-06-01,11000000"
Akor Jerome Adams,Sevilla FC,ST,74,25,77,75,55,69,76,84,190,Right,2025-01-27,2029-06-01,6500000
Marcão,Sevilla FC,CB,74,29,59,39,53,67,81,81,185,Left,2022-07-08,2027-06-01,4600000
"Joan Jordán,Sevilla FC,""CM CDM"",74,30,49,70,76,69,72,74,185,Right,2019-07-01,2027-06-01,4800000"
Fábio Cardoso,Sevilla FC,CB,74,31,58,34,46,65,81,82,187,Right,2025-09-02,2028-06-01,3400000
Neal Maupay,Sevilla FC,ST,74,28,66,75,64,75,72,68,174,Right,2025-07-01,2026-06-30,5000000
"Adnan Januzaj,Sevilla FC,""RW RM LM"",74,30,70,68,75,76,53,59,186,Left,2022-08-31,2026-06-01,4800000"
Isaac Romero,Sevilla FC,ST,74,25,83,71,65,71,74,74,184,Left,2024-01-11,2028-06-01,7500000
Tanguy Nianzou,Sevilla FC,CB,72,23,61,38,50,62,75,79,191,Right,2022-08-17,2027-06-01,3800000
Federico Gattoni,Sevilla FC,CB,71,26,71,58,55,65,72,72,183,Right,2023-01-31,2027-06-01,2100000
Andrés Castrín,Sevilla FC,CB,67,22,63,35,41,54,67,70,188,Right,2025-08-19,2027-06-01,2800000
"Manu Bueno,Sevilla FC,""CM CAM CDM"",65,20,54,56,58,64,58,55,178,Left,2022-11-01,2026-06-01,2000000"
Alberto Flores,Sevilla FC,GK,65,21,29,14,20,29,43,61,187,Left,2022-07-01,2027-06-01,1800000
Oso,Sevilla FC,LB,65,21,76,53,62,63,60,56,183,Left,2024-07-01,2027-06-01,1800000
"Miguel Sierra,Sevilla FC,""RW LW RM"",64,20,72,59,56,64,47,46,181,Left,2024-08-08,2026-06-01,1500000"
Rafa Romero,Sevilla FC,GK,62,21,33,16,19,27,32,42,192,Left,2025-07-01,2027-06-01,925000
"Edu Altozano,Sevilla FC,""CM CDM"",58,18,65,45,52,65,45,42,170,Left,2025-07-01,2028-06-01,650000"
