player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Gayà,Valencia CF,""LB LM"",79,30,78,62,71,77,73,66,172,Left,2012-09-13,2027-06-01,18000000"
"Luis Rioja,Valencia CF,""RM LM RW"",78,31,81,75,73,77,58,50,176,Left,2024-08-27,2027-06-01,13500000"
"Javi Guerra,Valencia CF,""CM CDM"",77,22,74,69,72,75,71,69,187,Right,2021-07-01,2029-06-01,28000000"
"Diego López,Valencia CF,""LM RM LW"",77,23,84,71,68,75,64,60,172,Right,2021-07-02,2029-06-01,25000000"
Agirrezabala,Valencia CF,GK,77,24,33,18,29,37,42,60,187,Left,2018-07-01,2026-06-30,15000000
Hugo Duro,Valencia CF,ST,77,25,73,76,64,74,77,76,177,Left,2022-07-01,2028-06-01,16000000
"Pepelu,Valencia CF,""CM CDM"",77,26,64,72,77,73,78,75,185,Right,2023-07-08,2028-06-01,14500000"
Stole Dimitrievski,Valencia CF,GK,77,31,37,24,24,42,49,72,188,Right,2024-07-11,2026-06-01,6500000
César Tárrega,Valencia CF,CB,76,23,63,46,54,67,81,86,194,Right,2021-07-01,2030-06-01,16500000
"Umar Sadiq,Valencia CF,""ST CAM"",76,28,82,74,59,66,74,88,192,Right,2026-01-08,2028-06-01,9000000"
Mouctar Diakhaby,Valencia CF,CB,76,28,62,41,47,60,77,79,189,Right,2018-07-02,2027-06-01,8500000
"Thierry Correia,Valencia CF,""RB LB"",75,26,89,54,64,73,71,68,176,Right,2019-09-02,2026-06-01,7500000"
"Lucas Beltrán,Valencia CF,""ST CAM LM"",75,24,72,75,64,77,76,72,174,Right,2023-08-14,2026-06-30,10000000"
"Dani Raba,Valencia CF,""RM ST CAM RW"",75,29,71,71,74,71,63,71,184,Left,2025-07-01,2027-06-01,6500000"
Unai Núñez,Valencia CF,CB,75,28,65,26,43,56,76,79,186,Right,2024-07-01,2026-06-30,6500000
"Arnaut Danjuma,Valencia CF,""LM ST LW"",75,28,84,75,70,76,70,69,178,Right,2025-08-10,2028-06-01,6500000"
"Guido Rodríguez,Valencia CF,""CDM CM"",75,31,45,60,68,64,73,75,185,Right,2026-01-26,2026-06-01,4600000"
"Baptiste Santamaria,Valencia CF,""CM CDM"",75,30,47,65,69,72,73,73,183,Right,2025-08-07,2027-06-01,6500000"
Copete,Valencia CF,CB,74,25,51,35,47,57,71,69,192,Left,2025-07-29,2029-06-01,6500000
"André Almeida,Valencia CF,""CAM ST CM"",74,25,70,66,75,77,64,59,176,Right,2022-08-25,2029-06-01,7500000"
"Largie Ramazani,Valencia CF,""LM ST RM LW"",74,24,90,68,65,79,67,60,167,Right,2024-08-23,2026-06-30,7500000"
"Filip Ugrinić,Valencia CF,""CM CDM"",74,26,77,71,73,74,83,87,184,Right,2025-08-08,2029-06-01,6000000"
"Dimitri Foulquier,Valencia CF,""RB CB RM"",73,32,74,60,63,67,75,74,183,Right,2021-08-31,2027-06-01,2500000"
"Eray Cömert,Valencia CF,""CB CDM"",72,27,66,50,59,63,77,77,183,Right,2022-01-25,2026-06-01,2900000"
"Jesús Vázquez,Valencia CF,""LB LM"",71,22,77,54,61,65,66,60,182,Left,2020-07-01,2028-06-01,3300000"
Cristian Rivero,Valencia CF,GK,65,27,27,18,22,36,38,55,188,Right,2017-07-01,2026-06-01,875000
"Rubén Iranzo,Valencia CF,""CB RB"",64,22,48,44,49,56,63,64,182,Right,2024-07-01,2027-06-01,1500000"
"David Otorbi,Valencia CF,""RM LM RW"",63,17,73,55,57,62,49,56,180,Right,2024-01-01,2026-06-01,1300000"
Aimar Blázquez,Valencia CF,ST,62,19,60,63,49,60,62,68,194,Right,2025-07-01,2027-06-01,1100000
"Lucas Núñez,Valencia CF,""CM CDM"",61,19,59,55,54,61,61,61,183,Right,2025-01-01,2028-06-01,925000"
