player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Romain Faivre,AJ Auxerre,""RM RW"",76,26,69,73,77,78,67,63,180,Left,2023-07-13,2026-06-30,9500000"
"Donovan Léon,AJ Auxerre,""GK"",76,32,47,25,31,41,53,78,187,Right,2020-06-24,2027-06-01,4400000"
"Kévin Danois,AJ Auxerre,""CM CDM"",75,21,71,61,68,72,68,62,183,Right,2022-07-01,2029-06-01,15000000"
"Lassine Sinayoko,AJ Auxerre,""ST RM CAM"",75,25,75,72,64,69,76,80,186,Right,2019-06-18,2026-06-01,9000000"
"Clément Akpa,AJ Auxerre,""CB"",74,23,70,43,55,68,73,74,183,Left,2022-07-01,2028-06-01,7000000"
"Gideon Mensah,AJ Auxerre,""LB LM"",74,26,77,57,63,71,71,57,178,Left,2022-08-13,2026-06-01,5500000"
"Sinaly Diomandé,AJ Auxerre,""CB"",73,24,62,48,58,62,75,78,184,Right,2024-08-30,2027-06-01,4600000"
"Danny Namaso,AJ Auxerre,""LM ST CAM LW"",73,24,80,70,59,75,67,76,182,Right,2020-08-20,2026-06-30,4900000"
"Elisha Owusu,AJ Auxerre,""CDM CM"",73,27,56,56,62,70,70,68,182,Right,2023-01-16,2027-06-01,3700000"
"Josué Casimir,AJ Auxerre,""RM ST RW"",71,23,82,66,61,70,68,68,180,Right,2025-07-01,2028-06-01,3300000"
"Marvin Senaya,AJ Auxerre,""RB CB"",70,24,70,44,55,67,66,65,181,Right,2025-07-01,2029-06-01,2600000"
"Sékou Mara,AJ Auxerre,""ST"",70,22,76,67,49,66,68,73,183,Right,2024-08-21,2026-06-30,3900000"
"Francisco Sierralta,AJ Auxerre,""CB"",70,28,50,32,45,52,71,84,190,Right,2025-07-01,2029-06-01,1600000"
"Assane Dioussé,AJ Auxerre,""CDM CM CB"",69,27,58,49,61,71,66,60,175,Left,2023-08-11,2026-06-01,1700000"
"Oussama El Azzouzi,AJ Auxerre,""CDM CM"",68,24,55,60,59,63,65,64,189,Right,2023-07-20,2026-06-30,2000000"
"Lamine Sy,AJ Auxerre,""RB"",68,22,83,38,50,67,60,48,174,Right,2025-07-01,2029-06-01,3100000"
"Lasso Coulibaly,AJ Auxerre,""RM RW"",68,22,90,53,54,73,64,60,176,Right,2024-07-01,2028-06-01,3200000"
"Théo De Percin,AJ Auxerre,""GK"",68,24,22,15,19,35,41,64,185,Right,2021-03-17,2026-06-01,1800000"
"Naouirou Ahamada,AJ Auxerre,""CM CAM CDM"",68,23,68,59,60,71,65,58,183,Right,2026-01-07,2027-06-01,2200000"
"Fredrik Oppegård,AJ Auxerre,""LB LM"",67,22,79,48,58,64,62,60,175,Left,2025-01-29,2028-06-01,2600000"
"Bryan Okoh,AJ Auxerre,""CB"",66,22,75,31,47,56,74,84,188,Left,2026-01-29,2029-06-01,1800000"
"Telli Siwe,AJ Auxerre,""CB"",63,20,61,26,38,52,64,72,180,Right,2025-04-20,2027-06-01,1300000"
"Nathan Buayi-Kiala,AJ Auxerre,""CM CDM"",62,21,58,54,60,63,58,57,177,Right,2024-07-01,2026-06-01,1100000"
"Tom Negrel,AJ Auxerre,""GK"",59,22,23,13,24,28,37,52,192,Right,2024-07-10,2026-06-01,525000"
"Ryan Rodin,AJ Auxerre,""ST"",59,19,71,53,42,57,56,75,182,Right,2025-06-04,2028-06-01,625000"
"Elikya Legros,AJ Auxerre,""CB"",59,17,63,30,35,53,60,61,177,Right,2025-07-01,2028-06-01,575000"
"Mamoudou Cissokho,AJ Auxerre,""RM RW"",58,17,60,49,53,55,53,57,181,Right,2025-12-07,2028-06-01,550000"
"Tidiane Devernois,AJ Auxerre,""CM CDM"",58,17,66,46,51,66,47,42,174,Right,2025-06-13,2028-06-01,600000"
"Louis Mezerette,AJ Auxerre,""GK"",58,18,30,15,23,33,36,48,184,Right,2025-07-01,2028-06-01,550000"
