player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Denis Zakaria,AS Monaco,""CDM CM CB"",81,28,79,62,69,74,86,87,190,Right,2023-08-15,2028-06-01,26500000"
"Maghnes Akliouche,AS Monaco,""RM CAM RW"",80,23,75,69,77,81,63,58,183,Left,2020-07-01,2028-06-01,39500000"
"Lukáš Hrádecký,AS Monaco,""GK"",80,35,41,19,26,39,45,55,192,Right,2025-08-08,2027-06-01,2800000"
"Alexandr Golovin,AS Monaco,""LM CAM CM LW"",79,29,73,74,79,81,67,56,178,Right,2018-07-27,2029-06-01,20500000"
"Lamine Camara,AS Monaco,""CM CDM"",78,21,79,66,78,78,71,61,173,Right,2024-07-30,2029-06-01,33500000"
"Takumi Minamino,AS Monaco,""LM CAM LW"",78,30,78,74,74,82,66,58,172,Right,2022-07-01,2027-06-01,16000000"
"Thilo Kehrer,AS Monaco,""CB"",78,28,69,45,60,67,78,79,186,Right,2024-05-17,2028-06-01,15500000"
"Eric Dier,AS Monaco,""CB"",78,31,51,63,67,60,79,90,191,Right,2025-07-01,2028-06-01,11500000"
"Paul Pogba,AS Monaco,""CM CDM CAM"",78,32,64,78,81,76,76,88,191,Right,2025-07-01,2027-06-01,13000000"
"Mika Biereth,AS Monaco,""ST"",77,22,74,76,61,72,77,79,187,Right,2025-01-11,2030-06-01,25500000"
"Vanderson,AS Monaco,""RB RM CM"",77,24,79,61,73,76,73,67,173,Right,2022-01-01,2028-06-01,18500000"
"Folarin Balogun,AS Monaco,""ST CAM"",77,23,84,76,60,77,70,73,178,Right,2023-08-30,2028-06-01,19000000"
"Jordan Teze,AS Monaco,""RB CM RM"",77,25,77,51,63,72,77,80,183,Right,2024-08-20,2029-06-01,15000000"
"Mohammed Salisu,AS Monaco,""CB"",77,26,59,36,46,59,78,87,191,Left,2023-08-02,2028-06-01,15500000"
"Philipp Köhn,AS Monaco,""GK"",77,27,46,16,26,40,46,63,190,Right,2023-07-15,2028-06-01,12000000"
"Caio Henrique,AS Monaco,""LB LM"",77,27,78,59,77,76,70,57,178,Left,2020-08-28,2027-06-01,12000000"
"Simon Adingra,AS Monaco,""LW LM RW"",76,23,88,68,67,80,55,48,175,Right,2025-07-10,2026-06-30,14000000"
"Christian Mawissa,AS Monaco,""CB LB"",75,20,79,34,50,65,76,76,184,Left,2024-08-11,2029-06-01,13500000"
"Ansu Fati,AS Monaco,""LM LW ST"",75,22,82,73,72,78,56,49,178,Right,2018-07-01,2026-06-30,13500000"
"Radosław Majecki,AS Monaco,""GK"",75,25,32,22,20,40,46,61,193,Right,2020-01-29,2026-06-30,7000000"
"Krépin Diatta,AS Monaco,""RM RW"",74,26,88,68,65,76,71,61,175,Right,2021-01-21,2026-06-01,6000000"
"Wout Faes,AS Monaco,""CB"",73,27,53,40,49,62,75,77,187,Right,2022-09-01,2026-06-30,3600000"
"Kassoum Ouattara,AS Monaco,""LB LM"",72,20,77,44,59,70,69,65,176,Left,2023-11-01,2028-06-01,6000000"
"Mamadou Coulibaly,AS Monaco,""CM CDM"",72,21,69,54,60,70,58,59,179,Left,2023-12-20,2028-06-01,3700000"
"Stanis Idumbo,AS Monaco,""LM LW"",68,20,78,58,58,70,58,53,171,Right,2025-09-01,2030-06-01,3400000"
"Paris Brunner,AS Monaco,""ST LM"",66,19,68,64,52,66,60,65,185,Right,2024-08-16,2028-06-01,2400000"
"Lucas Michal,AS Monaco,""LM RM LW"",66,20,75,57,57,70,41,41,172,Right,2024-11-01,2026-06-30,2400000"
"Yann Lienard,AS Monaco,""GK"",65,22,23,13,24,30,42,66,194,Right,2021-05-21,2027-06-01,1600000"
"Aladji Bamba,AS Monaco,""CDM CM"",65,18,59,50,55,58,66,72,194,Right,2025-07-01,2030-06-01,1800000"
"Pape Cabral,AS Monaco,""CDM CM"",63,18,64,52,56,63,63,60,180,Right,2025-09-27,2028-06-01,1200000"
"Jules Stawiecki,AS Monaco,""GK"",60,18,30,15,21,32,34,54,186,Left,2024-12-07,2029-06-01,650000"
