player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Hervé Koffi,Angers SCO,""GK"",76,28,56,16,22,50,51,71,186,Right,2024-07-01,2026-06-30,7500000"
"Jordan Lefort,Angers SCO,""CB"",74,31,64,33,58,65,76,76,184,Left,2023-07-01,2029-06-01,3400000"
"Haris Belkebla,Angers SCO,""CDM CM"",74,31,47,53,68,68,73,67,177,Right,2024-08-17,2026-06-01,3500000"
"Ousmane Camara,Angers SCO,""CB"",73,22,51,48,55,55,74,88,197,Right,2022-08-19,2026-06-01,7000000"
"Jacques Ekomié,Angers SCO,""LB LM"",72,21,74,35,55,65,70,64,179,Left,2024-07-31,2027-06-01,5500000"
"Yassin Belkhdim,Angers SCO,""CM CDM RM"",72,23,56,57,66,69,72,62,175,Right,2020-07-01,2028-06-01,5500000"
"Louis Mouton,Angers SCO,""CAM CM"",72,23,70,52,64,72,72,70,180,Right,2025-07-01,2028-06-01,5500000"
"Goduine Koyalipou,Angers SCO,""ST RM"",72,25,75,69,61,68,70,78,184,Right,2025-01-09,2026-06-30,3700000"
"Branco van den Boomen,Angers SCO,""CM CDM CAM"",72,29,40,73,80,62,70,73,188,Right,2023-07-01,2026-06-30,2700000"
"Carlens Arcus,Angers SCO,""RB RM"",72,29,75,48,62,69,76,75,180,Right,2024-07-01,2026-06-01,2400000"
"Florent Hanin,Angers SCO,""LB"",71,35,73,43,65,70,72,71,177,Left,2023-07-31,2026-06-01,675000"
"Emmanuel Biumla,Angers SCO,""CB"",70,20,61,44,48,59,69,75,185,Right,2024-07-31,2028-06-01,3900000"
"Lilian Raolisoa,Angers SCO,""RB RM"",70,25,71,47,52,68,62,57,178,Right,2023-01-11,2028-06-01,2400000"
"Amine Sbaï,Angers SCO,""LM RM LW"",70,24,76,60,61,74,54,56,175,Right,2025-10-08,2027-06-01,2400000"
"Pierrick Capelle,Angers SCO,""CDM CM"",69,38,44,71,73,66,57,61,181,Left,2015-07-01,2026-06-01,325000"
"Abdoulaye Bamba,Angers SCO,""CB"",69,35,60,46,60,63,63,61,182,Right,2017-01-01,2026-06-01,425000"
"Harouna Djibirin,Angers SCO,""RM RW"",67,18,74,55,58,67,47,44,175,Left,2025-07-01,2029-06-01,2500000"
"Marius Courcoul,Angers SCO,""CDM CM CB"",66,18,57,40,50,58,67,66,182,Right,2023-07-01,2027-06-01,2200000"
"Prosper Peter,Angers SCO,""ST"",66,17,66,64,48,63,60,72,181,Right,2025-07-01,2027-06-01,2300000"
"Melvin Zinga,Angers SCO,""GK"",65,23,24,16,24,28,37,42,187,Left,2022-07-01,2026-06-01,1600000"
"Lanroy Machine,Angers SCO,""ST"",61,19,70,55,40,59,59,77,183,Right,2025-05-04,2026-06-01,850000"
"Marius Louër,Angers SCO,""RB"",58,18,65,37,41,54,59,66,181,Right,2025-07-01,2028-06-01,525000"
"Dan Sinaté,Angers SCO,""LB"",57,19,63,37,39,56,52,49,181,Left,2025-07-01,2029-06-01,450000"
"Oumar Pona,Angers SCO,""GK"",57,19,40,15,21,30,46,67,195,Right,2024-01-29,2027-06-01,400000"
