player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Laurent Abergel,FC Lorient,""CDM CM"",76,32,61,50,64,74,76,68,170,Right,2019-07-26,2029-06-01,6000000"
"Yvon Mvogo,FC Lorient,""GK"",76,31,42,22,24,44,53,74,189,Right,2022-07-13,2027-06-01,4700000"
"Bamo Meïté,FC Lorient,""CB"",74,23,59,35,42,56,74,75,183,Right,2024-07-01,2026-06-30,7000000"
"Montassar Talbi,FC Lorient,""CB"",74,27,56,33,38,63,77,81,190,Right,2022-07-18,2027-06-01,5500000"
"Sambou Soumano,FC Lorient,""ST"",72,24,71,71,53,66,58,61,182,Right,2021-08-19,2026-06-01,4200000"
"Aiyegun Tosin,FC Lorient,""ST CAM"",72,27,88,70,59,73,78,80,179,Right,2023-07-25,2027-06-01,3200000"
"Arsène Kouassi,FC Lorient,""LB LM"",72,20,85,51,64,68,73,65,178,Left,2025-07-24,2029-06-01,6000000"
"Arthur Avom Ebong,FC Lorient,""CM CDM"",72,20,72,55,63,73,73,68,173,Right,2024-01-14,2026-06-01,6000000"
"Théo Le Bris,FC Lorient,""RM LM RB"",71,22,66,56,65,73,59,39,170,Right,2019-07-01,2027-06-01,5000000"
"Bamba Dieng,FC Lorient,""ST"",71,25,79,72,58,69,61,66,178,Right,2023-01-30,2026-06-01,3100000"
"Isaak Touré,FC Lorient,""CB"",71,22,65,33,44,55,79,92,206,Left,2023-09-01,2028-06-01,4600000"
"Darlin Yongwa,FC Lorient,""LB CB LM"",71,24,84,42,56,71,71,69,174,Left,2022-06-24,2026-06-01,2900000"
"Jean-Victor Makengo,FC Lorient,""CM CAM CDM"",71,27,63,66,67,70,70,67,177,Left,2023-01-30,2027-06-01,2500000"
"Mohamed Bamba,FC Lorient,""ST"",70,23,78,69,54,70,73,73,185,Right,2024-01-26,2028-06-01,2900000"
"Noah Cadiou,FC Lorient,""CDM CM"",70,26,67,58,57,65,81,89,191,Right,2025-07-04,2029-06-01,2200000"
"Panos Katseris,FC Lorient,""RM RB"",70,23,79,58,62,68,67,56,175,Right,2024-01-23,2028-06-01,2800000"
"Pablo Pagis,FC Lorient,""CAM LM ST"",70,22,69,71,63,71,60,60,180,Right,2022-08-31,2027-06-01,4200000"
"Igor Silva,FC Lorient,""RB CB RM"",70,28,76,56,62,71,69,58,173,Right,2021-07-23,2026-06-01,1700000"
"Bingourou Kamara,FC Lorient,""GK"",70,28,39,21,16,38,49,77,196,Right,2025-07-25,2027-06-01,1500000"
"Dermane Karim,FC Lorient,""CAM CM ST"",69,21,76,57,62,77,68,68,166,Right,2023-07-01,2028-06-01,3700000"
"Abdoulaye Faye,FC Lorient,""CB"",68,20,76,37,43,64,71,74,191,Left,2025-07-01,2026-06-30,3200000"
"Benjamin Leroy,FC Lorient,""GK"",68,36,46,19,22,40,35,40,184,Right,2024-07-05,2026-06-01,35000"
"Nathaniel Adjei,FC Lorient,""CB"",67,22,77,27,38,58,70,75,191,Right,2024-06-15,2026-06-01,2500000"
"Bandiougou Fadiga,FC Lorient,""CM CAM CDM"",63,24,67,53,57,71,53,38,178,Right,2024-08-14,2028-06-01,850000"
"Trevan Sanusi,FC Lorient,""LW RW LM"",61,18,87,46,49,69,46,48,178,Right,2023-09-01,2026-06-30,1200000"
"Martin Bley,FC Lorient,""CAM CM"",60,19,66,46,49,62,45,56,175,Right,2025-09-12,2028-06-01,700000"
