player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Gauthier Hein,FC Metz,""CAM CM"",76,28,77,73,74,80,59,46,170,Left,2024-08-15,2028-06-01,9000000"
"Giorgi Tsitaishvili,FC Metz,""RM LM RW"",72,24,87,57,59,75,52,32,171,Left,2017-07-01,2026-06-30,3800000"
"Cheikh Sabaly,FC Metz,""ST LM RM CAM"",72,26,86,70,62,78,55,49,168,Right,2018-07-01,2026-06-01,3700000"
"Jessy Deminguet,FC Metz,""CM CDM"",72,27,70,64,71,73,74,68,178,Left,2025-07-01,2028-06-01,2900000"
"Fodé Ballo-Touré,FC Metz,""LB LM"",72,28,81,52,65,70,68,68,182,Left,2025-09-04,2026-06-01,2500000"
"Habib Diallo,FC Metz,""ST"",72,30,71,72,56,67,75,81,186,Right,2025-08-31,2028-06-01,2700000"
"Benjamin Stambouli,FC Metz,""CDM CM"",72,34,45,56,61,69,67,70,180,Right,2024-09-10,2026-06-01,950000"
"Boubacar Traoré,FC Metz,""CDM CM CB"",71,23,66,55,62,70,72,77,183,Right,2023-07-01,2026-06-30,3100000"
"Koffi Kouao,FC Metz,""RB RM"",71,27,79,43,53,71,74,70,173,Right,2022-08-15,2026-06-01,2300000"
"Jean-Philippe Gbamin,FC Metz,""CB CDM CM"",71,29,69,59,66,66,73,80,186,Right,2025-07-16,2026-06-01,1900000"
"Jonathan Fischer,FC Metz,""GK"",71,23,44,16,28,35,49,73,197,Left,2025-07-29,2029-06-01,2800000"
"Sadibou Sané,FC Metz,""CB"",70,21,66,42,45,55,73,77,182,Right,2023-07-22,2027-06-01,3900000"
"Giorgi Kvilitaia,FC Metz,""ST"",70,31,64,69,57,64,74,80,193,Right,2026-02-02,2026-06-01,1600000"
"Maxime Colin,FC Metz,""RB LB RM"",70,33,68,46,58,67,71,68,180,Right,2023-07-27,2027-06-01,975000"
"Terry Yegbe,FC Metz,""CB"",70,24,79,37,44,53,79,91,195,Left,2025-09-01,2029-06-01,3500000"
"Bouna Sarr,FC Metz,""RB RM"",69,33,65,65,65,71,64,61,178,Right,2026-02-02,2026-06-01,850000"
"Joel Asoro,FC Metz,""RM ST RW RB"",67,26,89,63,55,71,72,69,176,Right,2023-08-24,2027-06-01,1400000"
"Urie-Michel Mboula,FC Metz,""CB"",67,22,64,27,36,53,69,71,185,Left,2025-07-01,2028-06-01,2500000"
"Alpha Touré,FC Metz,""CDM CM"",67,19,67,51,59,66,66,61,180,Left,2024-07-12,2028-06-01,2700000"
"Giorgi Abuashvili,FC Metz,""LM LW"",66,22,74,59,59,70,59,58,175,Right,2024-02-15,2026-06-01,2300000"
"Yannis Lawson,FC Metz,""LB LM"",66,20,73,45,47,60,71,77,179,Left,2025-07-03,2028-06-01,2100000"
"Lucas Michal,FC Metz,""LM RM LW"",66,20,75,57,57,70,41,41,172,Right,2024-11-01,2026-06-30,2400000"
"Pape Sy,FC Metz,""GK"",65,28,29,15,24,28,50,80,206,Right,2024-07-26,2026-06-01,775000"
"Nathan Mbala,FC Metz,""LM LW"",61,17,72,57,54,62,53,65,179,Left,2026-02-01,2026-06-01,975000"
"Cléo Mélières,FC Metz,""RB"",61,20,69,38,47,61,51,44,175,Right,2025-06-11,2026-06-01,900000"
"Joseph Mangondo,FC Metz,""ST"",60,19,78,56,47,57,59,68,185,Left,2024-12-09,2028-06-01,750000"
"Ismaël Guerti,FC Metz,""CAM CM"",57,20,62,48,52,58,52,49,178,Right,2025-05-10,2027-06-01,475000"
