player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Anthony Lopes,FC Nantes,""GK"",77,34,65,20,27,51,58,73,184,Left,2024-12-30,2027-06-01,2100000"
"Matthis Abline,FC Nantes,""ST LW LM"",76,22,87,77,65,79,66,69,182,Right,2024-07-03,2028-06-01,14500000"
"Ibrahima Sissoko,FC Nantes,""CDM CM"",75,27,57,60,66,62,81,87,193,Right,2026-01-12,2028-06-01,7000000"
"Frédéric Guilbert,FC Nantes,""RB"",75,30,70,49,62,70,74,67,178,Right,2026-01-28,2026-06-01,5500000"
"Deiver Machado,FC Nantes,""LB LM"",75,31,81,67,68,75,77,76,180,Left,2025-12-08,2028-06-01,4800000"
"Rémy Cabella,FC Nantes,""LM CAM RM LW"",75,35,60,72,76,77,52,45,171,Right,2025-07-16,2026-06-30,2700000"
"Francis Coquelin,FC Nantes,""CM CDM"",74,34,58,64,71,72,73,76,177,Right,2025-01-31,2026-06-01,2300000"
"Johann Lepenant,FC Nantes,""CM CAM CDM"",73,22,66,59,70,74,72,66,176,Right,2025-07-01,2029-06-01,7500000"
"Kelvin Amian,FC Nantes,""RB CB RM"",73,27,77,50,59,68,79,77,180,Right,2024-01-25,2028-06-01,3500000"
"Youssef El Arabi,FC Nantes,""ST"",73,38,59,77,66,69,63,75,182,Right,2025-07-18,2026-06-01,1200000"
"Mostafa Mohamed,FC Nantes,""ST"",72,27,70,73,59,65,76,84,185,Right,2023-07-01,2027-06-01,3000000"
"Abakar Sylla,FC Nantes,""CB"",71,22,66,33,50,69,75,76,188,Left,2023-07-15,2026-06-30,4600000"
"Ignatius Ganago,FC Nantes,""ST"",71,26,80,69,59,74,65,75,176,Right,2022-09-01,2027-06-01,2600000"
"Chidozie Awaziem,FC Nantes,""CB"",71,28,72,37,43,63,77,77,189,Right,2025-07-23,2028-06-01,2100000"
"Patrik Carlgren,FC Nantes,""GK"",71,33,42,24,36,48,47,64,188,Right,2024-08-30,2026-06-01,725000"
"Bahereba Guirassy,FC Nantes,""LW RW LM"",71,18,88,60,62,66,52,52,186,Right,2024-08-18,2028-06-01,4700000"
"Louis Leroux,FC Nantes,""CM LB CDM"",71,19,68,61,64,70,64,53,184,Left,2024-08-18,2030-06-01,5000000"
"Nicolas Cozza,FC Nantes,""LB LM"",70,26,70,43,54,67,67,64,178,Left,2023-01-25,2026-06-30,2000000"
"Fabien Centonze,FC Nantes,""RB LB RM"",69,29,67,54,67,66,68,69,182,Right,2022-09-22,2027-06-01,1400000"
"Ali Youssif,FC Nantes,""CB"",69,23,63,34,40,54,69,74,188,Right,2026-01-19,2028-06-01,2200000"
"Tylel Tati,FC Nantes,""CB"",69,17,69,36,47,55,72,84,192,Left,2025-08-01,2028-06-01,3500000"
"Dehmaine Tabibou,FC Nantes,""CM RM CDM"",68,20,67,58,65,67,61,58,181,Left,2024-01-28,2030-06-01,3100000"
"Mohamed Kaba,FC Nantes,""CDM CM"",67,23,61,51,53,61,69,73,185,Right,2023-08-14,2026-06-30,2500000"
"Uroš Radaković,FC Nantes,""CB"",67,31,37,34,39,48,68,85,194,Right,2025-07-01,2027-06-01,825000"
"Adel Mahamoud,FC Nantes,""LW ST LM"",65,22,74,60,51,71,40,43,178,Right,2024-01-01,2026-06-01,1900000"
"Bahmed Deuff,FC Nantes,""CDM CM"",64,19,65,50,55,59,73,87,196,Right,2025-07-09,2029-06-01,1600000"
"Sékou Doucouré,FC Nantes,""CB"",64,20,60,25,37,52,63,66,187,Right,2024-10-06,2027-06-01,1600000"
"Amady Camara,FC Nantes,""ST CAM"",63,20,78,60,53,64,63,66,180,Left,2024-01-01,2026-06-30,1400000"
"Mathieu Acapandié,FC Nantes,""RB"",63,20,71,33,44,57,63,61,182,Right,2026-01-25,2028-06-01,1200000"
"Alexis Mirbach,FC Nantes,""GK"",58,20,38,14,20,30,39,53,192,Right,2025-07-01,2028-06-01,500000"
