player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Alexsandro,LOSC Lille,""CB"",80,25,65,38,57,59,80,84,191,Left,2022-07-01,2028-06-01,31000000"
"Benjamin André,LOSC Lille,""CDM CM"",80,34,55,65,70,75,84,79,180,Right,2019-07-17,2028-06-01,8500000"
"Hákon Arnar Haraldsson,LOSC Lille,""CAM LM CM"",78,22,77,67,73,81,72,57,178,Right,2023-07-17,2028-06-01,26500000"
"Berke Özer,LOSC Lille,""GK"",78,25,45,20,29,43,47,61,190,Right,2025-08-14,2029-06-01,18000000"
"Olivier Giroud,LOSC Lille,""ST"",78,38,48,82,69,71,76,88,193,Left,2025-07-01,2026-06-01,5500000"
"Ayyoub Bouaddi,LOSC Lille,""CDM CM"",77,17,75,57,69,73,74,72,186,Right,2023-08-21,2029-06-01,24000000"
"Gaëtan Perrin,LOSC Lille,""RM LM RW"",77,29,81,69,76,79,67,61,169,Right,2026-02-02,2028-06-01,12000000"
"Nabil Bentaleb,LOSC Lille,""CDM CM"",77,30,51,74,75,76,72,76,187,Left,2023-08-28,2026-06-01,10500000"
"Aïssa Mandi,LOSC Lille,""CB RB CDM"",77,33,57,49,67,70,75,78,186,Right,2024-08-01,2026-06-01,6000000"
"Fernandez-Pardo,LOSC Lille,""LM RM LW"",76,20,92,72,66,77,71,73,188,Right,2024-08-30,2029-06-01,19500000"
"Tiago Santos,LOSC Lille,""RB RM"",76,22,84,59,67,75,65,60,175,Right,2023-07-06,2028-06-01,12500000"
"Osame Sahraoui,LOSC Lille,""LM CAM LW"",76,24,83,60,65,82,56,43,171,Right,2024-08-01,2029-06-01,13500000"
"Romain Perraud,LOSC Lille,""LB LM"",76,27,72,74,75,75,74,65,173,Left,2025-08-08,2028-06-01,8500000"
"Chancel Mbemba,LOSC Lille,""CB"",76,30,67,56,56,68,74,80,182,Right,2025-09-02,2026-06-01,7000000"
"Thomas Meunier,LOSC Lille,""RB RM"",76,33,63,74,71,67,81,84,191,Right,2024-07-19,2026-06-01,4600000"
"Félix Correia,LOSC Lille,""LM RM LW"",75,24,85,68,67,77,66,58,178,Right,2025-07-17,2029-06-01,9000000"
"Hamza Igamane,LOSC Lille,""ST CAM"",75,22,80,70,62,76,77,84,181,Right,2025-08-29,2030-06-01,15000000"
"Ngal'ayel Mukau,LOSC Lille,""CDM CM CAM"",74,20,70,58,62,72,76,73,186,Left,2024-07-11,2028-06-01,10500000"
"André Gomes,LOSC Lille,""CDM CM"",73,31,41,66,73,69,68,73,190,Right,2024-09-06,2026-06-01,3500000"
"Nathan Ngoy,LOSC Lille,""CB"",73,22,79,41,42,67,76,83,183,Right,2025-07-24,2029-06-01,7500000"
"Arnaud Bodart,LOSC Lille,""GK"",73,27,54,19,29,47,39,55,186,Right,2025-07-10,2027-06-01,3500000"
"Calvin Verdonk,LOSC Lille,""LB CB"",73,28,76,57,69,70,75,75,174,Left,2025-09-01,2028-06-01,3300000"
"Ethan Mbappé,LOSC Lille,""RM CM RW"",72,18,77,61,65,71,57,48,180,Left,2024-07-04,2027-06-01,6000000"
"Marius Broholm,LOSC Lille,""RM RW"",69,20,75,59,61,69,58,44,176,Left,2025-07-01,2030-06-01,4000000"
"Noah Edjouma,LOSC Lille,""RM CAM RW"",70,19,70,63,57,67,50,53,181,Right,2026-02-02,2030-06-01,3400000"
"Marc-Aurèle Caillard,LOSC Lille,""GK"",67,31,44,17,18,38,50,75,192,Right,2024-08-30,2026-06-01,625000"
"Ousmane Touré,LOSC Lille,""CB"",65,20,71,27,44,60,64,70,187,Right,2023-08-11,2028-06-01,1900000"
"Maxima Goffi,LOSC Lille,""CB RB"",64,17,64,39,49,57,63,67,180,Right,2025-07-01,2028-06-01,1500000"
"Soriba Diaoune,LOSC Lille,""LM LW"",64,17,76,55,55,68,53,49,174,Right,2025-08-17,2028-06-01,1600000"
"Rafael Fernandes,LOSC Lille,""CB"",63,23,49,40,48,50,65,73,191,Right,2024-01-31,2028-06-01,1200000"
