player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Abdoulaye Touré,Le Havre AC,""CDM CM"",75,31,42,64,61,60,77,87,188,Right,2023-07-26,2026-06-01,4600000"
"Arouna Sangante,Le Havre AC,""CB RB CDM"",74,23,55,36,53,62,76,81,189,Right,2021-04-05,2026-06-01,7000000"
"Gautier Lloris,Le Havre AC,""CB"",74,29,37,37,47,58,76,84,191,Left,2022-07-12,2026-06-01,4200000"
"Sofiane Boufal,Le Havre AC,""CAM LM ST CM"",74,31,74,70,71,78,57,61,175,Right,2026-01-14,2026-06-01,4100000"
"Yassine Kechta,Le Havre AC,""CM CAM CDM"",73,23,58,58,69,75,64,53,174,Left,2019-07-01,2026-06-01,7000000"
"Issa Soumaré,Le Havre AC,""LM ST LW"",73,24,83,65,59,75,62,62,182,Right,2023-07-04,2026-06-01,4900000"
"Ayumu Seko,Le Havre AC,""CDM CB CM"",72,25,66,37,48,64,74,73,186,Right,2025-07-22,2027-06-01,3700000"
"Mory Diaw,Le Havre AC,""GK"",72,32,43,25,25,35,50,72,197,Right,2025-07-12,2027-06-01,1400000"
"Étienne Youté Kinkoué,Le Havre AC,""CB"",71,23,55,33,46,52,76,90,195,Right,2023-01-11,2026-06-01,3200000"
"Reda Khadra,Le Havre AC,""CAM LM ST CM"",71,23,85,64,66,77,68,72,175,Right,2023-07-21,2026-06-30,3500000"
"Ally Samatta,Le Havre AC,""ST"",71,32,74,69,60,68,73,74,183,Right,2025-08-05,2026-06-01,1800000"
"Loïc Négo,Le Havre AC,""RB RM"",71,34,74,64,67,70,67,65,181,Right,2023-07-01,2026-06-01,800000"
"Fodé Doucouré,Le Havre AC,""RB RM"",70,24,86,57,58,73,68,61,172,Right,2025-07-22,2027-06-01,2500000"
"Timothée Pembélé,Le Havre AC,""RB CB"",70,22,79,48,58,70,65,60,183,Right,2023-09-01,2026-06-30,4000000"
"Rassoul Ndiaye,Le Havre AC,""CM CDM CAM"",70,23,69,58,58,71,72,70,179,Right,2023-07-17,2028-06-01,2800000"
"Yanis Zouaoui,Le Havre AC,""LB LM"",70,27,64,51,65,67,67,62,183,Left,2024-07-05,2027-06-01,2000000"
"Lucas Gourna-Douath,Le Havre AC,""CDM CM"",69,21,76,53,57,68,73,73,185,Right,2022-07-13,2026-06-30,3500000"
"Lionel Mpasi,Le Havre AC,""GK"",69,30,46,25,29,42,46,68,182,Right,2025-07-13,2027-06-01,1100000"
"Simon Ebonog,Le Havre AC,""CM CDM"",68,20,69,55,58,66,63,64,180,Right,2022-07-02,2027-06-01,3100000"
"Godson Kyeremeh,Le Havre AC,""RM LM ST RW"",68,25,87,65,60,71,48,38,175,Right,2025-07-11,2027-06-01,1900000"
"Félix Mambimbi,Le Havre AC,""ST LM RM CAM"",67,24,86,64,53,75,57,54,171,Right,2025-07-11,2027-06-01,1800000"
"Kenny Quetant,Le Havre AC,""ST CAM"",63,18,68,59,40,57,62,68,189,Right,2025-12-14,2028-06-01,1300000"
"Enzo Koffi,Le Havre AC,""LB LM"",63,19,76,46,53,65,58,57,175,Left,2025-09-21,2026-06-01,1300000"
"Daren Mosengo,Le Havre AC,""CM CDM"",63,18,53,53,58,62,56,59,188,Right,2024-07-01,2027-06-01,1300000"
"Noam Obougou,Le Havre AC,""ST RM RW"",62,19,76,56,43,62,61,74,180,Right,2025-12-08,2028-06-01,1100000"
"Stephan Zagadou,Le Havre AC,""CB"",62,16,61,35,44,52,59,64,186,Right,2025-10-22,2028-06-01,1000000"
"Guy Noël Zohouri,Le Havre AC,""CM CDM"",61,18,53,51,58,59,54,62,185,Right,2024-08-31,2027-06-01,900000"
"Paul Argney,Le Havre AC,""GK"",61,19,44,15,23,35,36,47,186,Right,2024-07-01,2027-06-01,875000"
