player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Jonathan Clauss,OGC Nice,""RB RM"",79,32,85,65,75,78,72,63,178,Right,2024-07-25,2028-06-01,14500000"
"Yehvann Diouf,OGC Nice,""GK"",78,25,50,16,24,40,50,62,190,Right,2025-07-03,2030-06-01,19500000"
"Melvin Bard,OGC Nice,""LB LM CB"",77,24,78,54,64,74,77,74,173,Left,2021-07-31,2028-06-01,16500000"
"Charles Vanhoutte,OGC Nice,""CDM CM"",77,26,56,63,75,71,77,75,182,Right,2025-09-01,2029-06-01,14500000"
"Moïse Bombito,OGC Nice,""CB"",76,25,93,43,51,63,77,81,191,Right,2024-08-19,2028-06-01,16000000"
"Youssouf Ndayishimiye,OGC Nice,""CB CDM CM"",76,26,66,52,65,70,78,83,183,Right,2023-01-25,2027-06-01,9500000"
"Hicham Boudaoui,OGC Nice,""CM CDM"",76,25,74,64,72,77,79,67,175,Right,2019-09-02,2027-06-01,11500000"
"Sofiane Diop,OGC Nice,""LW LM CAM"",76,25,77,69,74,79,57,37,175,Right,2022-08-30,2027-06-01,11000000"
"Morgan Sanson,OGC Nice,""CM CAM"",76,30,62,73,75,75,75,72,180,Right,2024-05-14,2027-06-01,8500000"
"Dante,OGC Nice,""CB"",76,41,32,52,64,63,72,81,188,Left,2016-08-23,2026-06-01,600000"
"Mohamed-Ali Cho,OGC Nice,""RW RM ST"",75,21,81,67,65,73,60,62,181,Left,2024-01-08,2028-06-01,13500000"
"Ali Abdi,OGC Nice,""LB LM"",75,31,86,59,65,72,77,71,183,Left,2024-09-02,2027-06-01,4800000"
"Maxime Dupé,OGC Nice,""GK"",76,32,45,19,22,39,49,71,188,Right,2024-01-28,2026-06-01,3300000"
"Elye Wahi,OGC Nice,""ST"",74,22,84,74,65,76,67,71,181,Right,2025-01-24,2026-06-30,10000000"
"Mohamed Abdelmonem,OGC Nice,""CB"",73,26,60,41,55,64,73,77,183,Right,2024-08-29,2028-06-01,4200000"
"Tiago Gouveia,OGC Nice,""RW LW LM RM"",73,24,83,65,64,74,58,50,176,Right,2020-04-30,2026-06-30,5500000"
"Tanguy Ndombele,OGC Nice,""CM CDM"",73,28,57,67,73,77,65,75,181,Right,2024-07-04,2026-06-01,3600000"
"Abdulai Juma Bah,OGC Nice,""CB"",73,19,66,28,46,57,75,81,195,Right,2025-01-28,2026-06-30,7000000"
"Tom Louchet,OGC Nice,""RM CM RW"",72,22,71,62,65,70,62,52,178,Right,2023-04-16,2027-06-01,6000000"
"Antoine Mendy,OGC Nice,""CB RB RM"",72,21,67,45,52,66,73,74,187,Right,2022-07-01,2028-06-01,6000000"
"Salis Abdul Samed,OGC Nice,""CDM CM"",72,25,56,48,57,67,74,73,179,Right,2025-08-14,2028-06-01,3100000"
"Isak Jansson,OGC Nice,""LW ST CAM LM"",71,23,84,63,54,74,71,63,174,Right,2025-07-10,2029-06-01,3300000"
"Kevin Carlos,OGC Nice,""ST"",71,24,66,69,48,66,80,91,186,Right,2025-08-18,2030-06-01,3400000"
"Kojo Peprah Oppong,OGC Nice,""CB"",70,21,74,26,39,59,74,77,185,Right,2025-07-25,2029-06-01,3900000"
"Gabin Bernardeau,OGC Nice,""CAM RW CM"",66,19,66,57,61,67,56,65,181,Left,2025-07-01,2029-06-01,2200000"
"Zoumana Diallo,OGC Nice,""ST"",64,20,77,59,44,59,64,81,185,Right,2025-12-14,2028-06-01,1500000"
"Kaïl Boudache,OGC Nice,""RM RW"",63,19,71,50,57,71,44,39,175,Left,2026-01-25,2028-06-01,1300000"
"Everton,OGC Nice,""CDM CM"",63,18,59,47,50,59,62,58,179,Right,2026-01-03,2028-06-01,1200000"
"Brad-Hamilton Mantsounga,OGC Nice,""CB"",62,17,60,27,34,52,67,75,182,Left,2025-11-01,2028-06-01,1000000"
"Bartosz Żelazowski,OGC Nice,""GK"",62,20,47,14,20,37,47,66,193,Right,2024-12-21,2026-06-01,1000000"
"Djibril Coulibaly,OGC Nice,""CM CDM"",61,16,71,47,52,59,66,72,190,Right,2025-12-01,2027-06-01,875000"
