player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Corentin Tolisso,Olympique Lyonnais,""CM CDM CAM"",82,30,69,79,78,76,83,81,181,Right,2022-07-01,2027-06-01,34500000"
"Moussa Niakhaté,Olympique Lyonnais,""CB"",80,29,68,51,59,65,80,84,190,Left,2024-07-04,2028-06-01,21000000"
"Dominik Greif,Olympique Lyonnais,""GK"",79,28,24,17,29,33,38,60,197,Right,2025-08-18,2029-06-01,19000000"
"Malick Fofana,Olympique Lyonnais,""LM LW"",78,20,87,66,66,82,52,36,170,Right,2024-01-10,2028-06-01,36500000"
"Pavel Šulc,Olympique Lyonnais,""CAM ST RM"",78,24,73,73,71,78,71,64,175,Right,2025-08-04,2029-06-01,22500000"
"Nicolás Tagliafico,Olympique Lyonnais,""LB LM"",78,32,71,56,66,78,79,72,172,Left,2022-07-23,2027-06-01,11500000"
"Endrick,Olympique Lyonnais,""ST RW RM"",77,18,87,75,64,79,73,71,173,Left,2024-07-08,2026-06-30,26500000"
"Tyler Morton,Olympique Lyonnais,""CDM CM"",77,22,66,64,78,76,71,63,185,Right,2025-08-05,2030-06-01,18500000"
"Ainsley Maitland-Niles,Olympique Lyonnais,""RB RM CDM"",77,27,77,67,69,75,74,73,180,Right,2023-08-08,2027-06-01,12000000"
"Clinton Mata,Olympique Lyonnais,""CB"",77,32,79,60,68,74,80,75,180,Right,2023-07-06,2028-06-01,8000000"
"Tanner Tessmann,Olympique Lyonnais,""CDM CM"",76,23,57,62,68,71,78,84,188,Right,2024-08-27,2029-06-01,13000000"
"Orel Mangala,Olympique Lyonnais,""CDM CM"",76,27,65,57,67,78,71,70,178,Right,2024-07-02,2028-06-01,9500000"
"Ernest Nuamah,Olympique Lyonnais,""RM RW"",75,21,82,66,68,77,57,62,178,Left,2024-07-07,2028-06-01,13500000"
"Rémy Descamps,Olympique Lyonnais,""GK"",75,29,42,15,19,34,46,63,196,Left,2024-08-23,2027-06-01,5000000"
"Afonso Moreira,Olympique Lyonnais,""LM LW"",74,20,87,64,65,73,67,61,176,Right,2025-07-22,2029-06-01,11000000"
"Abner Vinícius,Olympique Lyonnais,""LB LM"",74,25,79,58,70,74,67,61,182,Left,2024-07-05,2029-06-01,6000000"
"Roman Yaremchuk,Olympique Lyonnais,""ST"",74,29,73,73,65,67,75,79,191,Right,2024-07-30,2026-06-30,5000000"
"Hans Hateboer,Olympique Lyonnais,""CB RB RM"",74,31,70,54,61,69,76,75,187,Right,2024-08-06,2026-06-30,3400000"
"Adam Karabec,Olympique Lyonnais,""RM CAM RW"",73,21,70,70,73,73,63,64,187,Left,2020-05-01,2026-06-30,6000000"
"Rachid Ghezzal,Olympique Lyonnais,""RM RW"",72,33,61,71,76,74,53,57,182,Left,2025-09-05,2026-06-01,1700000"
"Ruben Kluivert,Olympique Lyonnais,""CB"",70,24,90,34,50,65,76,82,187,Right,2025-07-25,2030-06-01,3500000"
"Khalis Merah,Olympique Lyonnais,""CAM CM"",70,18,66,53,66,75,45,39,177,Right,2025-07-01,2029-06-01,4000000"
"Mathys De Carvalho,Olympique Lyonnais,""CDM CM"",68,20,59,52,59,64,63,60,183,Right,2025-07-01,2028-06-01,2900000"
"Noah Nartey,Olympique Lyonnais,""CM ST CDM"",67,19,68,56,58,68,62,62,180,Right,2026-01-19,2030-06-01,2800000"
"Noham Kamara,Olympique Lyonnais,""CB"",66,18,69,43,53,62,62,62,185,Right,2025-04-19,2026-06-30,2400000"
"Achraf Laâziri,Olympique Lyonnais,""LB LM"",65,21,74,48,58,67,57,50,177,Left,2022-07-05,2027-06-01,1800000"
"Lassine Diarra,Olympique Lyonnais,""GK"",64,22,35,15,18,28,42,62,190,Right,2023-11-04,2027-06-01,1300000"
"Rémi Himbert,Olympique Lyonnais,""LW RW LM"",62,17,70,55,55,64,44,47,178,Right,2026-01-18,2028-06-01,1200000"
"Adil Hamdani,Olympique Lyonnais,""LM LW"",62,16,76,53,60,68,44,38,173,Right,2025-11-23,2028-06-01,1200000"
