player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Mason Greenwood,Olympique de Marseille,""RM CAM RW"",83,23,83,83,78,83,66,60,181,Left,2024-07-18,2029-06-01,61500000"
"Benjamin Pavard,Olympique de Marseille,""CB"",82,29,74,67,70,75,80,75,186,Right,2023-08-30,2026-06-30,30000000"
"Pierre-Emile Højbjerg,Olympique de Marseille,""CDM CM"",82,29,50,70,76,73,81,78,187,Right,2025-07-01,2028-06-01,30500000"
"Pierre-Emerick Aubameyang,Olympique de Marseille,""ST"",82,36,83,83,73,77,64,70,187,Right,2025-07-31,2027-06-01,12500000"
"Nayef Aguerd,Olympique de Marseille,""CB"",81,29,75,51,61,67,82,83,190,Left,2025-09-01,2030-06-01,28000000"
"Gerónimo Rulli,Olympique de Marseille,""GK"",80,33,54,24,34,45,53,73,189,Right,2024-08-11,2027-06-01,10000000"
"Igor Paixão,Olympique de Marseille,""LM LW"",80,25,83,77,74,81,74,68,168,Right,2025-08-01,2030-06-01,33000000"
"Quinten Timber,Olympique de Marseille,""CM CDM CAM"",80,24,78,74,73,81,83,85,179,Right,2026-01-23,2030-06-01,37500000"
"Leonardo Balerdi,Olympique de Marseille,""CB"",79,26,76,48,57,69,80,81,187,Right,2021-07-03,2028-06-01,29000000"
"Amine Gouiri,Olympique de Marseille,""ST CAM"",79,25,77,80,76,78,72,71,181,Right,2025-01-31,2029-06-01,28000000"
"Facundo Medina,Olympique de Marseille,""CB LB"",79,26,73,44,62,73,81,81,184,Left,2020-07-02,2026-06-30,25500000"
"Arthur Vermeeren,Olympique de Marseille,""CM CDM CAM"",77,20,70,56,72,78,67,61,180,Right,2025-01-15,2026-06-30,27000000"
"Himad Abdelli,Olympique de Marseille,""CAM CM CDM"",77,25,62,74,76,76,73,73,185,Right,2026-02-02,2030-06-01,15500000"
"Timothy Weah,Olympique de Marseille,""RM RB LM"",77,25,87,73,70,78,69,59,182,Right,2023-07-01,2026-06-30,15000000"
"Hamed Junior Traoré,Olympique de Marseille,""LM CAM LW"",77,25,78,70,71,76,65,58,177,Right,2023-07-01,2026-06-30,15000000"
"Emerson,Olympique de Marseille,""LB LM LW"",77,30,71,64,76,75,72,68,176,Left,2025-09-01,2027-06-01,10500000"
"Geoffrey Kondogbia,Olympique de Marseille,""CDM CB"",76,32,60,64,68,69,80,85,188,Left,2023-07-01,2027-06-01,8500000"
"Ethan Nwaneri,Olympique de Marseille,""RW CM CAM RM"",76,18,82,67,72,78,55,51,180,Left,2022-09-18,2026-06-30,18500000"
"Amir Murillo,Olympique de Marseille,""RB CB RM"",76,29,83,57,71,71,77,74,184,Right,2023-08-30,2028-06-01,8000000"
"CJ Egan-Riley,Olympique de Marseille,""CB"",75,22,75,34,56,67,80,83,183,Right,2025-07-01,2029-06-01,12500000"
"Bamo Meïté,Olympique de Marseille,""CB"",74,23,59,35,42,56,74,75,183,Right,2024-07-01,2026-06-30,7000000"
"Jeffrey de Lange,Olympique de Marseille,""GK"",74,27,56,16,27,38,37,51,190,Right,2024-08-08,2027-06-01,4900000"
"Bilal Nadir,Olympique de Marseille,""CM CAM CDM"",73,21,56,62,67,71,66,63,179,Left,2021-07-01,2026-06-01,7500000"
"Tochukwu Nnadi,Olympique de Marseille,""CDM CM"",70,22,68,51,62,63,72,62,176,Right,2026-02-02,2030-06-01,2100000"
"Yanis Sellami,Olympique de Marseille,""CM CDM"",62,18,57,53,63,64,45,47,178,Right,2024-07-01,2027-06-01,1100000"
"Keyliane Abdallah,Olympique de Marseille,""RM ST RW"",62,19,76,54,56,62,44,51,185,Left,2024-08-17,2028-06-01,1000000"
"Jelle Van Neck,Olympique de Marseille,""GK"",61,21,29,13,22,28,42,63,191,Right,2025-07-01,2027-06-01,825000"
"Théo Vermot,Olympique de Marseille,""GK"",60,28,24,15,20,25,42,63,190,Right,2025-07-01,2026-06-01,250000"
"Tadjidine Mmadi,Olympique de Marseille,""LM CAM LW"",60,18,65,46,53,60,46,47,180,Right,2025-03-20,2028-06-01,725000"
