player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Kevin Trapp,Paris FC,""GK"",79,34,47,20,21,43,52,75,189,Right,2025-08-19,2028-06-01,3500000"
"Ciro Immobile,Paris FC,""ST CAM"",78,35,68,81,64,75,73,72,185,Right,2026-02-01,2026-06-01,7000000"
"Ilan Kebbal,Paris FC,""RW RM CAM"",77,26,77,71,74,83,55,40,169,Left,2023-07-10,2028-06-01,13500000"
"Pierre Lees-Melou,Paris FC,""CDM CM"",76,32,58,70,76,75,70,65,186,Right,2025-08-28,2027-06-01,8500000"
"Hamari Traoré,Paris FC,""RB RM"",77,33,77,56,68,75,77,73,175,Right,2025-09-02,2027-06-01,6500000"
"Maxime Lopez,Paris FC,""CM CDM"",76,27,65,68,77,82,61,32,167,Right,2024-08-29,2027-06-01,9500000"
"Moses Simon,Paris FC,""LW LM"",75,29,89,73,68,80,61,66,168,Right,2025-07-01,2028-06-01,8500000"
"Jonathan Ikoné,Paris FC,""RW RM"",75,27,81,68,72,79,58,50,175,Left,2025-09-02,2027-06-01,7000000"
"Otávio,Paris FC,""CB"",74,23,73,43,48,62,80,80,187,Left,2025-07-23,2030-06-01,7000000"
"Diego Coppola,Paris FC,""CB"",74,21,52,39,51,58,73,72,192,Right,2025-06-17,2026-06-30,7500000"
"Obed Nkambadio,Paris FC,""GK"",74,22,30,15,22,35,34,47,190,Right,2020-07-01,2027-06-01,9500000"
"Marshall Munetsi,Paris FC,""CM CAM CDM"",74,29,67,66,65,67,80,77,188,Right,2025-02-03,2026-06-30,4800000"
"Jean-Philippe Krasso,Paris FC,""ST CAM"",73,27,65,72,62,68,67,83,187,Left,2024-07-06,2027-06-01,3900000"
"Luca Koleosho,Paris FC,""RW LW RM"",72,20,89,64,61,74,55,40,175,Right,2023-07-25,2026-06-30,5500000"
"Moustapha Mbow,Paris FC,""CB"",72,25,62,34,46,58,75,82,192,Right,2023-07-20,2026-06-01,3400000"
"Willem Geubbels,Paris FC,""ST"",72,23,79,72,57,70,67,70,185,Right,2025-08-17,2030-06-01,4200000"
"Mathieu Cafaro,Paris FC,""LW RW LM"",72,28,74,68,71,75,66,59,178,Right,2025-02-03,2027-06-01,2800000"
"Adama Camara,Paris FC,""CM CDM"",71,28,61,63,63,72,58,54,180,Right,2023-07-01,2027-06-01,2200000"
"Thibault De Smet,Paris FC,""LB"",71,27,66,48,59,66,72,68,183,Left,2025-07-01,2027-06-01,2100000"
"Samir Chergui,Paris FC,""CB RB CDM"",70,26,49,43,58,66,65,71,185,Right,2021-01-01,2026-06-01,2200000"
"Vincent Marchetti,Paris FC,""CM CDM"",70,27,62,59,66,70,71,70,178,Left,2024-01-29,2026-06-01,2000000"
"Alimami Gory,Paris FC,""ST RM LM CAM"",69,28,90,63,55,72,62,63,182,Right,2022-07-09,2026-06-01,1700000"
"Timothée Kolodziejczak,Paris FC,""CB"",69,33,55,44,60,60,71,76,183,Left,2023-09-06,2026-06-01,775000"
"Nhoa Sangui,Paris FC,""LB CM LM"",69,19,77,44,57,69,62,51,178,Left,2025-07-01,2030-06-01,3400000"
"Tuomas Ollila,Paris FC,""LB LM"",68,25,79,54,62,65,68,66,174,Left,2024-01-29,2027-06-01,1700000"
"Nouha Dicko,Paris FC,""ST"",68,33,74,67,57,70,70,71,174,Right,2025-01-31,2026-06-01,900000"
"Pierre-Yves Hamel,Paris FC,""ST"",67,31,45,68,50,65,61,73,189,Right,2022-06-28,2026-06-01,1000000"
"Julien Lopez,Paris FC,""LW CAM ST LM"",67,33,70,61,66,72,49,48,173,Right,2017-07-01,2026-06-01,750000"
"Rémy Riou,Paris FC,""GK"",67,37,49,21,28,40,51,75,191,Right,2024-01-09,2026-06-01,130000"
"Sofiane Alakouch,Paris FC,""RB RM"",65,26,66,45,56,66,62,59,175,Right,2024-06-28,2026-06-01,900000"
"Rudy Matondo,Paris FC,""CM CDM"",65,17,71,50,54,70,67,84,180,Right,2026-02-02,2028-06-01,2100000"
"Lamine Gueye,Paris FC,""RW RM"",64,27,69,65,63,66,53,56,178,Right,2023-07-05,2026-06-01,725000"
"Mohamed Dao,Paris FC,""RW ST RM"",63,18,81,55,50,66,55,63,175,Right,2026-01-04,2028-06-01,1300000"
