player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Vitinha,Paris Saint-Germain,""CM CDM CAM"",90,25,72,80,84,90,73,59,172,Right,2022-06-30,2029-06-01,175500000"
"Ousmane Dembélé,Paris Saint-Germain,""ST RW CAM"",90,28,91,87,81,90,72,69,178,Left,2023-08-12,2028-06-01,144500000"
"Achraf Hakimi,Paris Saint-Germain,""RB RM"",89,26,92,78,80,83,82,72,181,Right,2021-07-06,2029-06-01,131000000"
"Nuno Mendes,Paris Saint-Germain,""LB LM"",89,23,95,76,78,85,80,73,180,Left,2021-08-31,2029-06-01,136000000"
"João Neves,Paris Saint-Germain,""CM CDM"",87,20,74,75,79,86,86,78,174,Right,2024-08-05,2029-06-01,139000000"
"Willian Pacho,Paris Saint-Germain,""CB"",87,23,80,34,56,69,86,89,188,Left,2024-08-09,2029-06-01,114500000"
"Khvicha Kvaratskhelia,Paris Saint-Germain,""LW RW LM"",87,24,86,78,82,86,80,76,183,Right,2025-01-17,2029-06-01,128500000"
"Marquinhos,Paris Saint-Germain,""CB"",87,31,78,54,67,76,82,79,183,Right,2013-07-19,2028-06-01,64000000"
"Désiré Doué,Paris Saint-Germain,""RW LW CM RM"",85,20,84,78,76,88,73,77,181,Right,2024-08-17,2029-06-01,99000000"
"Fabián Ruiz,Paris Saint-Germain,""CM CDM"",85,29,61,76,77,78,72,67,189,Left,2022-08-31,2027-06-01,62000000"
"Bradley Barcola,Paris Saint-Germain,""LW RW LM"",84,22,92,75,75,81,69,64,188,Right,2023-08-31,2028-06-01,72500000"
"Lucas Chevalier,Paris Saint-Germain,""GK"",81,23,49,17,27,39,45,53,189,Right,2025-08-09,2030-06-01,43500000"
"Warren Zaïre-Emery,Paris Saint-Germain,""CM CDM RB CAM"",81,19,80,66,72,80,83,83,178,Right,2022-07-15,2029-06-01,59000000"
"Lucas Hernández,Paris Saint-Germain,""LB CB"",81,29,71,53,65,74,80,78,184,Left,2023-07-09,2028-06-01,26500000"
"Illia Zabarnyi,Paris Saint-Germain,""CB"",80,22,80,37,57,67,81,85,189,Right,2025-08-12,2030-06-01,34500000"
"Gonçalo Ramos,Paris Saint-Germain,""ST"",80,24,73,78,61,76,81,79,185,Right,2023-11-22,2028-06-01,36000000"
"Lee Kang In,Paris Saint-Germain,""RW CM RM"",80,24,72,76,81,83,68,56,173,Left,2023-07-08,2028-06-01,37500000"
"Matvey Safonov,Paris Saint-Germain,""GK"",81,26,44,17,27,44,51,65,192,Right,2024-06-14,2029-06-01,27000000"
"Lucas Beraldo,Paris Saint-Germain,""CB"",78,21,66,39,60,68,76,76,182,Left,2024-01-01,2028-06-01,23000000"
"Senny Mayulu,Paris Saint-Germain,""CM ST CDM"",76,19,75,69,70,76,61,49,183,Left,2024-01-14,2027-06-01,19000000"
"Ibrahim Mbaye,Paris Saint-Germain,""RW LW RM"",74,17,90,62,60,77,53,48,176,Right,2024-08-16,2026-06-01,10500000"
"Quentin Ndjantou,Paris Saint-Germain,""LW ST CM LM"",69,17,77,62,58,71,60,52,182,Right,2025-09-27,2028-06-01,3700000"
"Renato Marin,Paris Saint-Germain,""GK"",68,18,23,15,21,33,33,41,193,Left,2025-07-17,2030-06-01,2900000"
"Noham Kamara,Paris Saint-Germain,""CB"",66,18,69,43,53,62,62,62,185,Right,2025-04-19,2026-06-30,2400000"
"Noah Nsoki,Paris Saint-Germain,""LW RW LM"",64,18,77,57,54,69,48,52,179,Right,2025-12-20,2027-06-01,1800000"
"Dro,Paris Saint-Germain,""CAM CM"",64,17,68,50,56,65,55,60,178,Right,2026-01-26,2030-06-01,2200000"
"Mathis Jangeal,Paris Saint-Germain,""CAM CM"",63,17,69,56,60,65,48,48,180,Right,2024-07-27,2026-06-01,1400000"
