player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Facundo Medina,RC Lens,""CB LB"",79,26,73,44,62,73,81,81,184,Left,2020-07-02,2026-06-30,25500000"
"Florian Thauvin,RC Lens,""RW ST RM"",79,32,71,79,79,79,69,62,181,Left,2025-08-08,2028-06-01,16500000"
"Adrien Thomasson,RC Lens,""CM CAM"",78,31,58,72,78,78,73,65,175,Right,2023-01-12,2026-06-01,13500000"
"Robin Risser,RC Lens,""GK"",77,20,40,17,28,34,51,71,193,Right,2025-07-04,2030-06-01,23500000"
"Mamadou Sangaré,RC Lens,""CM CDM CAM"",77,23,83,65,68,78,73,59,181,Left,2025-08-20,2030-06-01,27500000"
"Matthieu Udol,RC Lens,""LB LM CB"",77,29,71,52,68,73,78,69,178,Left,2025-07-16,2028-06-01,11000000"
"Ruben Aguilar,RC Lens,""RB RM"",77,32,68,54,64,75,77,66,172,Right,2023-09-01,2026-06-01,8500000"
"Jonathan Gradit,RC Lens,""CB"",77,32,66,35,55,71,79,79,180,Right,2019-08-20,2028-06-01,8000000"
"Allan Saint-Maximin,RC Lens,""LW LM"",77,28,90,69,69,82,68,73,173,Right,2026-02-02,2026-06-01,12500000"
"Hervé Koffi,RC Lens,""GK"",76,28,56,16,22,50,51,71,186,Right,2024-07-01,2026-06-30,7500000"
"Malang Sarr,RC Lens,""CB"",76,26,59,46,63,66,71,78,183,Left,2024-07-26,2026-06-01,10500000"
"Wesley Saïd,RC Lens,""LW ST LM"",76,30,74,74,65,81,61,59,171,Right,2021-07-01,2026-06-01,8500000"
"Samson Baidoo,RC Lens,""CB"",75,21,75,30,46,62,77,85,190,Right,2025-07-17,2030-06-01,14000000"
"Saud Abdulhamid,RC Lens,""RB RM"",75,25,86,49,62,73,72,64,175,Right,2024-08-27,2026-06-30,7500000"
"Amadou Haidara,RC Lens,""CM CDM"",75,27,64,67,73,77,69,65,178,Right,2026-01-01,2029-06-01,7000000"
"Odsonne Edouard,RC Lens,""ST"",75,27,67,73,66,71,69,75,187,Right,2025-09-02,2028-06-01,7000000"
"Arthur Masuaku,RC Lens,""LB LM"",75,31,79,63,75,76,77,80,179,Left,2025-08-10,2026-06-30,4800000"
"Abdallah Sima,RC Lens,""LW LM"",74,24,87,71,64,72,74,74,188,Right,2025-08-29,2029-06-01,7500000"
"Florian Sotoca,RC Lens,""ST RW CAM"",74,34,64,73,72,69,79,80,187,Right,2019-06-11,2026-06-01,2400000"
"Morgan Guilavogui,RC Lens,""LW ST RW LM"",73,27,74,69,65,69,73,74,189,Right,2023-06-29,2027-06-01,3800000"
"Rémy Labeau Lascary,RC Lens,""ST RM LM RW"",72,22,76,70,60,68,62,62,184,Right,2023-01-01,2026-06-30,5500000"
"Goduine Koyalipou,RC Lens,""ST RM"",72,25,75,69,61,68,70,78,184,Right,2025-01-09,2026-06-30,3700000"
"Jhoanner Chávez,RC Lens,""LB LM"",71,23,84,60,61,70,68,64,182,Left,2024-05-30,2028-06-01,3300000"
"Mathieu Gorgelin,RC Lens,""GK"",70,34,48,20,15,40,44,70,187,Left,2026-01-19,2026-06-01,325000"
"Rayan Fofana,RC Lens,""ST"",70,19,86,67,50,67,64,64,182,Right,2025-03-01,2027-06-01,4100000"
"Ismaëlo Ganiou,RC Lens,""CB RB RM"",70,20,72,55,55,60,79,78,185,Right,2025-07-01,2027-06-01,4300000"
"Régis Gurtner,RC Lens,""GK"",69,38,43,18,19,39,51,68,182,Right,2025-07-07,2026-06-01,180000"
"Andrija Bulatović,RC Lens,""CM CDM"",69,18,68,54,70,68,64,57,180,Right,2025-06-30,2028-06-01,3800000"
"Anthony Bermont,RC Lens,""LM LB"",68,20,75,52,60,70,59,49,176,Right,2024-08-19,2029-06-01,3100000"
"Kyllian Antonio,RC Lens,""CB"",68,17,64,36,48,58,64,70,183,Right,2024-10-06,2028-06-01,2200000"
"Fodé Sylla,RC Lens,""CM CDM"",65,19,59,55,57,61,65,70,182,Right,2025-07-01,2028-06-01,2000000"
"Nidal Čelik,RC Lens,""CB"",64,18,60,36,45,52,68,81,192,Right,2025-02-03,2029-06-01,1500000"
"Ilan Jourdren,RC Lens,""GK"",62,16,26,13,19,32,28,30,188,Right,2025-07-01,2029-06-01,1000000"
"Alpha Diallo,RC Lens,""CM CDM"",62,19,59,53,60,66,46,48,179,Right,2024-08-13,2027-06-01,1100000"
